Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tyler Kalinoski,32,30,1112,24.3,0.597,0.577,0.524,0.185,528,5,13.2,9.2,22.2,2.1,1.2,9,22.7,,4.5,1.4,5.8,0.21,,8.2,0.9,9.1
2,Jack Gibbs,25,22,750,26.7,0.639,0.582,0.487,0.452,412,3.1,10.8,7,30.1,3,0,16.4,26.1,,3.3,0.9,4.2,0.227,,8.5,0,8.5
3,Jordan Barham,31,14,671,26.9,0.614,0.606,0.068,0.402,340,11.3,20.1,15.8,10.6,1.1,1.9,9.9,25.5,,2.7,0.9,3.6,0.214,,4.4,-0.1,4.3
4,Brian Sullivan,32,30,1066,15.6,0.54,0.513,0.684,0.211,404,0.6,9.2,5,20.3,1.2,0.1,10.7,20.4,,2.5,0.9,3.4,0.128,,4.2,-1.6,2.6
5,Peyton Aldridge,32,30,972,15.9,0.567,0.55,0.461,0.22,302,6.9,12,9.5,8.6,0.8,3.7,8.9,15.5,,2.3,1,3.3,0.137,,3.5,1.7,5.2
6,Oskar Michelsen,32,5,570,11.9,0.532,0.516,0.744,0.167,163,2.4,9.3,5.9,8,1,0.9,8.7,16.7,,0.9,0.5,1.4,0.096,,2.2,-1.3,0.9
7,Andrew McAuliffe,32,1,404,12.7,0.55,0.571,0,0.329,95,8.8,16.7,12.9,5,1.8,1.8,14.7,12.1,,0.6,0.5,1.1,0.109,,-0.2,1.7,1.5
8,Jordan Watkins,23,0,241,14,0.587,0.557,0.547,0.434,75,3.3,9.7,6.6,12.4,2,0.4,16.9,16.5,,0.5,0.2,0.7,0.115,,2,-0.5,1.6
9,Nathan Ekwu,31,12,364,10,0.458,0.465,0.094,0.435,100,8.9,20.7,14.9,5.1,2.1,4.6,21.4,18.5,,-0.1,0.7,0.6,0.063,,-4.2,2.8,-1.4
10,Jake Belford,6,5,122,16.3,0.589,0.561,0.303,0.333,45,2.8,19.1,11.1,19,0.5,2.5,19.1,20,,0.2,0.1,0.4,0.129,,0.8,0.6,1.4
11,Ali Mackay,18,1,66,13.7,0.759,0.75,0.333,0.667,14,3.5,10.1,6.8,11.9,2.7,0,20.2,7.7,,0.1,0.1,0.2,0.134,,2.5,1,3.6
12,Connor Perkey,8,0,15,15.8,0.886,0.833,0.333,0.667,5,0,7.4,3.8,0,0,0,20.2,17,,0,0,0.1,0.151,,2.6,-4.9,-2.2
13,Kamau Faines,7,0,8,30.6,0.8,1.25,0.5,2.5,4,0,0,0,0,0,0,18.6,34.7,,0,0,0,0.066,,7.3,-8.6,-1.3
14,Manu Giamoukis,11,0,17,4.8,0.375,0.375,0.75,0,4,6.8,0,3.3,9.2,0,0,0,12.1,,0,0,0,0.054,,0.5,-3.5,-3.1
15,Rusty Reigel,12,0,26,-3.4,0.2,0.2,0.6,0,4,4.4,8.5,6.5,11.6,0,0,28.6,13.9,,-0.1,0,0,-0.072,,-7,-1.7,-8.6
16,Matt Williams,11,0,21,0.1,0.508,0.5,0,1,4,11,15.8,13.4,7.3,0,0,50.4,14.6,,0,0,0,-0.019,,-6,-0.5,-6.5
