Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan Sibert,36,35,1215,21.4,0.609,0.559,0.59,0.474,513,0.9,10.8,6.1,14.1,3.2,0.5,12,25,,3.3,2.4,5.7,0.188,,6,1.6,7.6
2,Dyshawn Pierre,36,35,1202,19.7,0.546,0.516,0.294,0.384,487,8.3,21.4,15.2,20.2,1.1,1.4,14.7,22.9,,2.6,2.4,5,0.167,,2.9,3.1,6
3,Scoochie Smith,36,35,1181,14.1,0.542,0.494,0.422,0.398,364,1.3,9.9,5.8,24.8,2.7,0.4,19.1,17.9,,1.6,2.2,3.7,0.126,,1.6,2.2,3.8
4,Kyle Davis,36,35,1050,13.6,0.564,0.506,0.45,0.678,267,0.5,10.9,6,17.2,3.1,1.8,17.5,14.7,,1.4,2.2,3.5,0.134,,1.3,4,5.3
5,Kendall Pollard,35,26,1020,17.8,0.571,0.557,0.031,0.736,404,5,17.3,11.5,9,1.8,3.6,17.9,26.1,,1.3,2.2,3.4,0.135,,-1.4,3.2,1.8
6,Darrell Davis,36,0,673,9.3,0.566,0.55,0.738,0.163,149,0.6,9.9,5.5,7.1,1.3,0.5,14.1,14.8,,0.5,1,1.5,0.092,,0.5,0.7,1.2
7,Bobby Wehrli,29,0,407,9.5,0.644,0.652,0.522,0.239,75,9.1,10,9.5,4.9,0.9,2.5,22.7,9.1,,0.5,0.6,1.2,0.113,,1,2.6,3.6
8,Devon Scott,9,9,249,18.6,0.641,0.636,0,0.955,83,11.1,22.1,16.9,6.3,1,1.8,19,17.8,,0.6,0.5,1.1,0.173,,0.5,2.2,2.7
9,Ryan Bass,8,0,76,7.4,0.381,0.328,0.241,0.276,26,1.7,12.6,7.4,17.9,0.8,0,8.4,26.5,,-0.1,0.1,0.1,0.034,,-5.1,-1.5,-6.6
10,Jalen Robinson,9,0,138,8.1,0.332,0.303,0.211,0.316,37,10.5,9.5,10,10.5,2.7,1.7,12.1,20.2,,-0.1,0.3,0.1,0.039,,-4.1,2.5,-1.6
11,William Dupuy,5,0,4,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.032,,-4,2.2,-1.9
12,Joey Gruden,7,0,7,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.032,,-4,2.2,-1.8
13,Nick Haldes,4,0,3,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.032,,-4,2.2,-1.9
