Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Davon Usher,35,35,1282,22.4,0.583,0.54,0.489,0.455,632,4.2,13.5,8.8,9.7,2.7,1.1,10.9,24.9,,3.7,1.5,5.2,0.162,,4.9,-0.4,4.5
2,Jarvis Threatt,26,25,964,22.9,0.509,0.428,0.138,0.784,509,3.9,12.9,8.4,28,3.7,0.4,12.6,26.5,,2.3,1.3,3.6,0.149,,2.9,1.3,4.2
3,Carl Baptiste,35,34,965,19.7,0.596,0.573,0,0.338,378,9.4,21.5,15.4,2.9,0.6,5,14.7,19.3,,2,1.3,3.3,0.135,,-1.1,0.3,-0.8
4,Devon Saddler,28,19,1037,20.2,0.534,0.493,0.296,0.406,542,3.1,9.2,6.1,20.2,1.3,0.7,10.6,27.2,,2.6,0.7,3.3,0.127,,3,-2,1
5,Kyle Anderson,35,35,1216,12.2,0.553,0.528,0.713,0.199,351,2.6,8.7,5.7,4.7,1.3,0.9,7.7,15.1,,2,0.9,2.8,0.092,,2.4,-1,1.4
6,Marvin King-Davis,27,19,440,14.8,0.536,0.49,0,0.569,147,11.1,13.2,12.1,0.8,0.4,4.9,9.8,15.9,,0.8,0.4,1.2,0.113,,-2.1,-1.1,-3.2
7,Devonne Pinkard,34,6,601,5.1,0.434,0.404,0.73,0.157,97,4.6,8.9,6.8,4.8,0.9,1.1,13.6,9,,0.2,0.4,0.6,0.039,,-1.4,-0.3,-1.7
8,Cazmon Hayes,32,0,313,6.1,0.468,0.417,0.463,0.519,65,4.4,7.9,6.1,3.2,0.5,0.6,10.6,11.7,,0.2,0.2,0.3,0.044,,-2.2,-2.2,-4.4
9,Maurice Jeffers,18,0,84,8.4,0.627,0.625,0,0.625,15,7.6,9,8.3,0,0,3.5,0,6,,0.2,0.1,0.2,0.097,,-1.7,-1.8,-3.5
10,Barnett Harris,29,1,92,4.1,0.759,0.833,0,0.667,16,11.6,11.7,11.6,1.8,1.2,3.2,47,7.9,,0,0.1,0.1,0.061,,-2.4,0.7,-1.7
11,Thomas Allshouse,7,0,6,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,-0.001,,-4.6,-0.1,-4.7
12,Sean Locke,7,0,8,-11.6,0.127,0,1,0.667,1,0,0,0,0,0,0,0,24.1,,0,0,0,-0.225,,-10.8,-8.6,-19.4
13,Dylan Miller,7,0,7,-10.7,,,,,0,0,0,0,0,0,0,100,7,,0,0,0,-0.138,,-11.1,0,-11.1
14,Tommy Williams,9,1,12,-6.7,0,0,0,0,1,8.9,35.8,22.3,0,0,0,33.3,12.2,,0,0,0,-0.098,,-16.2,-4.7,-20.9
