Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tucker DeVries,33,33,1085,24.3,0.593,0.551,0.487,0.307,566,3.3,16.5,10.2,11.3,1.9,0.7,8.8,28.6,,3.7,2.4,6.1,0.225,,5.8,1.3,7.1
2,Roman Penn,33,31,1027,20.9,0.562,0.517,0.127,0.32,479,2.8,14.3,8.8,33.9,1.7,0.7,14.7,22.7,,3.1,2.1,5.2,0.203,,2.2,2.2,4.4
3,Garrett Sturtz,34,34,1006,18.7,0.651,0.609,0.09,0.37,312,5.5,19.3,12.7,6.8,2,0.8,11.7,14.9,,2.6,2.3,4.9,0.194,,1.9,2.7,4.6
4,Darnell Brodie,34,34,837,17.8,0.548,0.533,0.004,0.421,318,10.9,23.9,17.7,8.2,0.6,4.6,17,21.1,,1.3,2,3.3,0.158,,-0.5,1.5,1
5,D.J. Wilkins,34,33,980,9.8,0.526,0.506,0.729,0.127,265,1.1,6.9,4.2,9.4,1.2,0.4,11.6,16.4,,1,1.7,2.6,0.107,,-0.4,0.9,0.5
6,Conor Enright,34,4,638,10.5,0.53,0.512,0.484,0.238,158,2.2,11.5,7,14.4,2.3,0.4,18.6,14,,0.5,1.3,1.9,0.118,,-2.8,2.8,0
7,Sardaar Calhoun,31,1,563,12.7,0.533,0.51,0.574,0.144,194,3.3,10,6.8,3.4,1.6,1.4,12.6,22.6,,0.5,1.1,1.6,0.111,,0.7,0.9,1.6
8,Nate Ferguson,26,0,321,17.5,0.704,0.673,0.019,0.538,95,8.6,16.5,12.7,6.1,0.9,2.9,17.7,13.2,,0.8,0.7,1.5,0.186,,-0.4,1.7,1.3
9,Okay Djamgouz,27,0,207,16.5,0.71,0.702,0.877,0.105,67,0.6,5,2.9,4.5,0.9,0,7.7,16.8,,0.6,0.3,0.9,0.177,,1.9,-0.4,1.4
10,Eric Northweather,23,0,215,10.9,0.387,0.369,0.475,0.213,62,7.6,18.2,13.1,12.1,1.7,6.4,14.1,19.4,,-0.1,0.5,0.5,0.09,,-4.7,2.6,-2.1
11,Bryceson Burns,15,0,60,5,0.503,0.444,0.667,0.222,11,2.1,3.8,3,8.1,1,3.9,23.2,11.5,,0,0.1,0.1,0.076,,-5.1,0.5,-4.6
12,Issa Samake,1,0,-12,59.6,0.503,0.571,0.143,0.286,11,52.1,19.2,34.9,49.6,10,19.3,11.2,39.9,,0.1,0.1,0.1,0.452,,,,
