Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Bennett Stirtz,G,33,33,1298,26.8,0.605,0.349,0.402,648.0,2.3,14.2,8.2,33.9,3.6,1.0,11.1,25.7,5.7,2.9,8.6,0.265,7.2,3.1,10.3,
2.0,Mitch Mascari,G,33,33,1270,11.0,0.606,0.864,0.21,279.0,0.6,7.8,4.1,6.4,2.4,0.1,11.9,13.6,2.0,2.2,4.2,0.132,0.3,1.2,1.5,
3.0,Daniel Abreu,F,33,33,1108,15.4,0.602,0.581,0.466,322.0,6.0,8.5,7.2,6.0,2.0,3.0,9.5,16.2,2.7,2.0,4.7,0.171,1.3,1.0,2.3,
4.0,Isaiah Jackson,G,32,32,655,11.9,0.486,0.288,0.5,156.0,5.7,18.6,12.1,17.9,3.2,0.4,22.8,14.5,0.4,1.5,1.9,0.114,-1.5,2.4,0.9,
5.0,Tavion Banks,G,32,1,635,24.2,0.584,0.108,0.686,314.0,14.7,21.6,18.1,12.2,2.2,2.0,14.3,28.3,2.1,1.4,3.5,0.219,2.4,0.5,2.8,
6.0,Cam Manyawu,F,33,33,621,24.0,0.565,0.006,0.521,244.0,16.2,25.4,20.7,10.7,4.5,5.5,15.3,22.8,1.3,1.8,3.2,0.206,0.5,3.0,3.5,
7.0,Isaia Howard,G,28,0,432,16.4,0.489,0.368,0.248,134.0,10.0,15.0,12.4,11.7,4.9,3.0,12.1,19.6,0.5,1.1,1.7,0.156,0.5,3.8,4.3,
8.0,Kael Combs,G,29,0,358,13.2,0.564,0.179,0.333,105.0,7.2,13.6,10.4,12.2,1.7,0.8,20.3,18.0,0.4,0.6,1.1,0.119,-0.6,-0.4,-1.0,
9.0,Nate Ferguson,F,31,0,292,14.1,0.635,0.0,0.508,82.0,7.9,15.6,11.7,3.7,2.3,0.0,21.4,18.2,0.3,0.6,0.9,0.118,-3.3,-0.3,-3.7,
10.0,Andrew Alia,G,7,0,54,11.3,0.39,0.615,0.385,14.0,10.6,10.9,10.8,10.7,4.9,2.7,11.5,18.3,0.0,0.1,0.2,0.111,-6.2,1.7,-4.5,
,Team Totals,,33,33,6723,,0.58,0.372,0.426,,,,,,,,,,15.6,14.3,29.8,0.177,1.6,1.8,3.4,
