Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Marvin Bagley III,29,28,964,30.9,0.634,0.63,0.137,0.466,555,13.8,22.9,18.7,9.1,1.5,3,12.5,27.1,,4,2,6,0.249,,7.3,3.4,10.6
2,Wendell Carter Jr.,33,33,895,28.7,0.632,0.597,0.142,0.519,455,13.2,23.2,18.5,13.1,1.6,7.9,15.7,22.6,,3.3,2.1,5.4,0.243,,6.2,7.7,13.9
3,Grayson Allen,33,33,1158,19,0.59,0.545,0.621,0.301,515,1.8,8.3,5.3,20.7,2.7,0.2,14.6,21.1,,3.5,1.7,5.3,0.182,,7.1,2.3,9.4
4,Gary Trent Jr.,33,33,1103,16.5,0.569,0.53,0.553,0.243,412,2.7,10.2,6.8,6.9,1.9,0.4,8,19.3,,2.9,1.6,4.5,0.163,,5.3,1.9,7.2
5,Trevon Duval,33,30,963,13.6,0.48,0.464,0.295,0.275,392,2.4,5.1,3.9,30.1,3,0.5,20.9,21.2,,1.2,1.4,2.6,0.107,,1.5,1.9,3.5
6,Javin DeLaurier,29,5,375,19.6,0.636,0.638,0.108,0.492,115,15.2,18.5,17,6.1,3,5,18.3,12.4,,0.9,0.9,1.7,0.184,,4.6,6.9,11.6
7,Marques Bolden,25,2,335,20.1,0.613,0.62,0,0.338,103,10.8,18.3,14.8,7.6,1.3,7.7,13.6,13.5,,0.8,0.7,1.4,0.173,,3,7.1,10
8,Alex O'Connell,32,1,359,15.6,0.638,0.624,0.518,0.224,111,5.8,8.4,7.2,7.8,1.4,1.1,13.8,14.4,,0.8,0.5,1.3,0.145,,4.8,1.9,6.7
9,Jordan Goldwire,24,0,163,8.4,0.412,0.385,0.654,0.154,35,2.1,5.6,4,20.7,3.1,0,20.1,10.1,,0.1,0.2,0.4,0.093,,1.2,2.2,3.5
10,Jack White,26,0,150,10.8,0.456,0.429,0.571,0.095,25,7.8,18.8,13.7,4.7,2.6,3.3,21.5,8.8,,0.1,0.3,0.4,0.101,,0.7,5.8,6.5
11,Justin Robinson,15,0,77,11.7,0.619,0.625,0.938,0.125,17,0,10.5,5.6,3.9,0,11.5,19.1,12.9,,0.1,0.1,0.2,0.098,,1.1,6.3,7.4
12,Antonio Vrankovic,13,0,64,10.9,0.504,0.5,0,0.333,18,9.1,15.7,12.7,16.4,0,3.1,22.3,13.2,,0.1,0.1,0.2,0.105,,0.3,3.6,3.9
13,Mike Buckmire,4,0,5,31.9,0.606,0.5,0,0.5,3,0,40.2,21.6,35.7,0,0,0,23.4,,0,0,0,0.368,,7.1,3.4,10.5
14,Jordan Tucker,2,0,14,6.4,0.606,0.625,0.5,0.5,4,0,7.2,3.9,0,0,0,28.8,23.5,,0,0,0,0,,-3.6,-3.2,-6.8
