Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,T.J. Cromer,35,33,1110,21.6,0.6,0.564,0.532,0.287,615,1.8,8.5,5.3,21,1.8,1.5,14.8,28.9,,3.4,1.6,5,0.179,,4.5,-0.9,3.6
2,Desonta Bradford,34,33,1041,16.5,0.587,0.527,0.34,0.535,389,2.5,13.8,8.4,22.2,2,3.1,21.1,18,,2,1.8,3.8,0.146,,1.1,2.8,3.9
3,Tevin Glass,35,34,785,19.7,0.59,0.547,0.07,0.516,310,9.8,22.6,16.5,7.4,1.9,2.9,16.1,19.7,,1.7,1.6,3.3,0.168,,-0.3,2.3,2
4,A.J. Merriweather,35,34,826,16.7,0.62,0.583,0.302,0.452,295,5.4,12.3,9,11.6,3.8,0.3,21.2,18.2,,1.4,1.6,3,0.147,,1.5,2.4,4
5,Hanner Mosquera-Perea,35,35,767,18.4,0.584,0.582,0.005,0.775,283,8.9,15.9,12.6,6,1.7,6.7,15.3,18.8,,1.4,1.5,2.9,0.153,,-0.9,3.9,3.1
6,David Burrell,35,1,597,19.6,0.607,0.604,0.394,0.259,234,7.3,14.6,11.1,6.2,1.3,3.8,9.6,19.7,,1.6,1,2.6,0.171,,2,0.7,2.7
7,Devontavius Payne,35,1,534,15.4,0.574,0.55,0.663,0.215,207,3.5,8.3,6,9.1,2.5,0.9,13.4,21.2,,1,0.8,1.9,0.139,,2,-0.7,1.3
8,Isaac Banks,35,2,556,11.9,0.579,0.616,0,0.453,126,8.9,17.1,13.2,4,1.5,4.3,21.1,11.7,,0.5,1,1.5,0.107,,-1.9,3.2,1.3
9,Jermaine Long,34,1,447,14.2,0.497,0.426,0.364,0.852,152,4.4,11.1,7.9,22.4,5.3,1.9,26.2,18.4,,0.2,1,1.3,0.115,,-1,4.1,3.1
10,Julian Walters,9,0,93,20.6,0.684,0.63,0.696,0.304,40,5.3,14.6,10.2,26.9,2.4,0,23.3,18.1,,0.3,0.2,0.5,0.196,,4.4,0,4.4
11,Jason Williams,23,1,214,6.5,0.463,0.39,0.61,0.39,57,0.6,11.1,6.1,22.5,2.4,0,32.1,16.4,,-0.1,0.3,0.2,0.047,,-3.9,-0.1,-4.1
12,Peter Jurkin,14,0,91,9.2,0.456,0.391,0.087,0.304,25,8.2,18.6,13.7,1.9,3.1,9.2,26.8,20.1,,-0.1,0.2,0.1,0.045,,-8.5,5.1,-3.3
13,Dillon Reppart,8,0,14,42.1,0.764,0.8,0.6,1.2,10,8.9,8.1,8.5,15.4,4,0,11.3,31,,0.1,0,0.1,0.367,,13.9,-1.8,12.1
