Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Glenn Cosey,34,34,1234,22.7,0.614,0.562,0.621,0.405,634,2.2,10.2,6,23.3,2,0.2,10.8,25.2,,4.6,1.1,5.7,0.184,,5.4,-3.1,2.3
2,Corey Walden,34,34,1072,21.1,0.622,0.561,0.395,0.51,473,3.1,15.2,8.9,18.5,4.2,0.1,15.4,22.3,,3,1.6,4.6,0.173,,2.8,0.2,3
3,Eric Stutz,34,30,856,19.1,0.687,0.654,0.024,0.55,312,7.8,17.8,12.6,13.8,2,3.6,18.4,16.3,,2.5,1.1,3.6,0.166,,1.1,1.6,2.6
4,Tarius Johnson,34,33,865,16.8,0.607,0.569,0.412,0.537,325,6.3,13.4,9.7,9,2.1,0.4,11.4,19,,2.2,0.9,3.1,0.142,,1.4,-1.9,-0.5
5,Marcus Lewis,34,34,917,15.5,0.572,0.563,0.304,0.377,308,2.3,8.2,5.2,9.9,3.6,1.6,12.9,19.5,,1.3,1.1,2.4,0.104,,-0.7,-0.2,-0.9
6,Orlando Williams,34,0,677,18.3,0.621,0.593,0.527,0.319,287,1.6,12.3,6.8,12.8,2,0.8,13,23.7,,1.6,0.7,2.3,0.133,,1.4,-3.1,-1.7
7,Isaac McGlone,33,0,349,13.4,0.688,0.679,0.755,0.434,81,0.8,6.9,3.7,9.1,3.6,0,11.1,11,,0.7,0.4,1.1,0.123,,1.6,-1.4,0.2
8,Jeff Johnson,34,1,348,10.3,0.558,0.519,0.528,0.208,90,6.1,13.4,9.6,18.3,0.7,1.1,18.3,11,,0.6,0.3,0.9,0.102,,-0.8,-1.9,-2.7
9,Timmy Knipp,31,4,325,12.7,0.604,0.578,0.649,0.338,99,4.5,9.1,6.7,4.6,1.8,5.6,17.5,17.9,,0.4,0.3,0.7,0.088,,-1.3,-0.4,-1.7
10,Herb Harrison,4,0,9,27.1,0.506,0.333,0,0.667,5,29.5,31.4,30.4,0,0,0,0,23.5,,0,0,0.1,0.246,,-3.6,-12.6,-16.1
11,Deverin Muff,29,0,111,4.1,0.485,0.6,0,1.8,19,7.2,11.5,9.2,0,2.1,5.8,27.4,12.3,,-0.1,0.1,0.1,0.027,,-7.4,-0.3,-7.7
12,Tommy Matthews,10,0,19,1.1,0.302,0.25,0.25,2.25,5,0,14.9,7.2,8.9,6.2,0,19.5,29,,-0.1,0,0,-0.101,,-13.7,-0.7,-14.4
13,Robbie Stenzel,6,0,12,8.2,,,,,1,0,23.5,11.4,25.8,4.9,0,100,4.5,,0,0,0,0.06,,-6.8,3.6,-3.2
14,Monte Burney,3,0,3,-60.9,0,0,1,0,0,0,0,0,0,0,0,33.3,53.6,,-0.1,0,-0.1,-0.843,,-41.2,-13.4,-54.6
15,Ryan Parsons,10,0,27,-6.4,0.155,0.091,0.818,0.364,4,0,15.7,7.6,0,4.4,0,7.2,27.6,,-0.2,0,-0.1,-0.206,,-16.4,-6.6,-23
