Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tanner Groves,23,23,615,26.6,0.624,0.59,0.204,0.388,340,6,27.1,17.3,11.2,0.5,3.8,12.2,28.2,,2.3,1.2,3.5,0.229,,3.5,0.8,4.3
2,Kim Aiken,23,23,700,21.3,0.588,0.541,0.557,0.366,276,7.2,23.5,15.9,11.6,2.5,3.6,13.7,19,,1.8,1.6,3.4,0.195,,3,2.2,5.2
3,Tyler Robertson,22,6,564,20,0.603,0.559,0.508,0.35,257,3.9,11.6,8,21.7,1.5,0.2,13.1,21.2,,1.8,0.8,2.6,0.188,,3,-0.2,2.8
4,Jacob Groves,23,13,487,16.3,0.598,0.579,0.257,0.224,187,5.8,14.9,10.7,8.2,1.1,0.4,14.3,20.3,,1,0.7,1.7,0.142,,-0.2,0,-0.2
5,Michael Meadows,18,14,524,14.1,0.558,0.51,0.248,0.275,189,3.3,5.3,4.4,13.6,1.1,0.2,12,18.4,,1.1,0.6,1.6,0.125,,-0.3,-1.3,-1.6
6,Jacob Davison,21,11,447,14.9,0.515,0.475,0.481,0.24,197,2.5,10.8,6.9,12.6,1.7,1.8,13.6,26.6,,0.5,0.7,1.2,0.107,,-0.8,-0.4,-1.1
7,Jack Perry,19,7,413,10.6,0.694,0.696,0.786,0.196,86,1.2,6.2,3.9,12,1.5,0,19.7,9.3,,0.6,0.5,1.1,0.111,,0.6,1.2,1.8
8,Ellis Magnuson,21,13,344,9.5,0.545,0.492,0.302,0.317,95,1.4,5.6,3.7,20.8,1.1,0.3,24.9,14.1,,0.3,0.4,0.7,0.084,,-2.2,-1.1,-3.3
9,Steele Venters,16,0,162,15.5,0.556,0.538,0.558,0.115,59,3,12.5,8.1,13.3,1.7,3.1,11.3,19.2,,0.3,0.3,0.6,0.143,,1.2,1.2,2.4
10,Victor Radocaj,10,0,31,14.9,0.701,0.6,0,1.2,11,7.9,20.7,14.8,5.4,0,0,20.3,16,,0.1,0,0.1,0.177,,-1.7,-0.8,-2.5
11,Isaiah Amato,11,0,51,1.8,0.379,0.385,0.308,0.462,12,0,16.8,9,9.9,0,0,15.9,18.6,,-0.1,0.1,0,-0.005,,-10,-2.7,-12.7
12,Austin Fadal,4,0,10,-12.1,0,0,0,0,0,0,0,0,0,0,0,50,10.1,,0,0,0,-0.149,,-13.8,-5.3,-19.1
13,Jordan Veening,4,0,12,9.7,0.263,,,,2,0,26.7,14.3,12,4.7,0,0,8,,0,0,0,0.097,,-2.5,5.5,3
14,Casson Rouse,18,5,240,2.4,0.372,0.351,0.567,0.134,58,1,7.6,4.5,12.9,0.7,0,21,18.9,,-0.4,0.3,-0.1,-0.021,,-4.5,-1.7,-6.2
