Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Darnell Edge,34,33,1261,19.4,0.641,0.597,0.481,0.309,519,1.3,9.7,5.7,12.8,2.1,0.1,13,21.1,,3.8,1.2,5,0.159,,3.5,-3.4,0.1
2,Jahlil Jenkins,34,33,1255,17.2,0.551,0.492,0.34,0.332,495,0.7,9.3,5.2,23.3,2.5,0.3,14.1,20.4,,2.9,1.3,4.2,0.133,,0.7,-2.9,-2.1
3,Mike Holloway,34,33,967,19.7,0.556,0.526,0.075,0.507,417,8.6,15.6,12.3,10.5,2,4.5,15.2,23.9,,1.9,1.4,3.3,0.136,,-1.4,-0.4,-1.8
4,Elyjah Williams,34,16,873,19.3,0.645,0.653,0.114,0.581,300,9.4,16,12.8,14.3,2.3,4.6,22,16.2,,1.9,1.3,3.2,0.147,,1,1.4,2.4
5,Kaleb Bishop,33,24,893,17.8,0.595,0.57,0.355,0.322,324,11,17.7,14.5,4.3,1.2,4.5,17,19.4,,1.7,1.2,2.9,0.13,,-0.3,-1.7,-2
6,Xzavier Malone,29,28,900,13.8,0.545,0.533,0.476,0.211,312,3.3,11.5,7.6,11.8,2.1,1.4,16.8,20.9,,1,1,2,0.088,,-0.7,-2.3,-3
7,Brandon Powell,31,1,290,8.6,0.49,0.422,0.667,0.549,68,1.3,11.6,6.7,11.5,3,0,18.9,14.1,,0.1,0.4,0.5,0.071,,-2.5,-2.4,-4.9
8,Tyler Jones,26,1,176,9.7,0.632,0.613,0.581,0.258,48,1.5,7.9,4.8,18.7,4.3,0,37.6,16.4,,0,0.2,0.3,0.061,,-2.8,-2.2,-5
9,Pat McNamara,18,0,75,6.6,0.486,0.5,0.813,0.063,16,1.7,10.9,6.5,9.3,0.8,0,15.4,13.4,,0,0.1,0.1,0.043,,-2.8,-4.9,-7.7
10,Nadi Beciri,2,0,19,16.1,0.533,0.5,0.429,0.714,9,13.5,18.4,16,0,3.1,0,24.2,33.6,,0,0,0,0.052,,-7.3,-9.8,-17.1
11,Oscar Okeke,28,1,96,1.9,0.491,0.533,0.133,0.467,17,6.7,10.9,8.9,0,1.8,5.9,35.3,15.2,,-0.2,0.1,0,-0.009,,-8.9,-1.9,-10.8
12,Bassel Sabliba Jr.,19,0,95,3.5,0.425,0.425,0.45,0,19,4,6.1,5.1,10.8,1.8,0,23.1,14.1,,0,0.1,0,0.014,,-4.9,-3.9,-8.7
