Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,KeVaughn Allen,36,36,1029,19.6,0.583,0.539,0.549,0.268,443,0.9,8.5,4.7,10.5,2.5,1,9.6,22.9,,2.8,1.9,4.7,0.183,,6.5,3.1,9.6
2,Devin Robinson,36,35,952,20.1,0.576,0.547,0.368,0.338,372,7.3,18.5,12.9,4.8,1.9,3,10.1,20,,2.3,2.1,4.5,0.187,,4.4,4.7,9.1
3,Canyon Barry,35,1,747,21.1,0.57,0.495,0.433,0.443,359,4.4,10.2,7.3,6,1.4,1.8,8.1,25.1,,2.3,1.3,3.6,0.195,,5.2,1.8,7.1
4,Chris Chiozza,36,0,797,17.6,0.54,0.485,0.475,0.396,304,2.1,14.6,8.4,30.8,3.4,0,19,18.2,,1.6,1.8,3.4,0.17,,5,5,9.9
5,Kevarrius Hayes,36,16,659,21.8,0.634,0.606,0,0.795,226,11.8,15.4,13.6,2,2.1,9.2,13.7,15.2,,1.7,1.6,3.3,0.203,,3.2,8.5,11.7
6,Justin Leon,36,36,804,13.9,0.572,0.547,0.577,0.202,252,6.9,13.3,10.1,3.9,1.2,0.6,10.7,16,,1.5,1.4,3,0.149,,4.4,2.8,7.2
7,Kasey Hill,36,36,1041,12.7,0.466,0.42,0.141,0.428,401,1.6,9.4,5.5,28.8,3.3,0.5,22.7,23,,0.2,2.1,2.3,0.088,,0,4.7,4.7
8,John Egbunu,24,19,534,16.7,0.524,0.496,0.008,0.8,195,12.2,20.5,16.4,2.4,1,6.5,19.1,20.3,,0.5,1.2,1.8,0.133,,-1,5.6,4.6
9,Keith Stone,34,0,410,12.4,0.518,0.495,0.442,0.298,128,7.7,12.3,10,8,1.5,1.7,16.2,17,,0.4,0.8,1.2,0.119,,2.2,4,6.1
10,Eric Hester,18,0,111,20.6,0.863,0.891,0.826,0.174,35,1,9.1,5,10.4,3.1,0,10.8,12.4,,0.4,0.2,0.6,0.222,,9.2,3.4,12.6
11,Schuyler Rimmer,21,1,111,8.5,0.497,0.45,0.05,0.65,28,9.1,10.1,9.6,3.1,0.5,2.8,16,13.8,,0.1,0.2,0.3,0.101,,-0.5,3.5,3
12,Gorjok Gak,15,0,80,11.8,0.529,0.647,0,0.588,24,15.5,16.7,16.1,0,0.7,3.8,24.3,17.7,,0,0.2,0.2,0.081,,-2.8,0.9,-1.9
