Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Will Richard,G,34,34,1072,18.8,0.626,0.582,0.215,416.0,4.0,10.7,7.5,9.3,3.0,1.1,11.7,18.4,2.9,2.1,5.0,0.186,5.1,4.5,9.6,
2.0,Walter Clayton Jr.,G,33,33,1069,21.0,0.585,0.574,0.219,557.0,1.2,10.6,6.1,23.4,2.3,1.7,13.2,25.2,3.4,1.9,5.4,0.201,7.2,3.5,10.7,
3.0,Alijah Martin,G,32,30,960,20.0,0.577,0.553,0.267,432.0,4.1,11.6,8.0,13.3,3.1,0.8,10.7,22.1,2.7,1.9,4.6,0.191,5.8,4.2,10.0,
4.0,Thomas Haugh,F,34,5,816,21.5,0.635,0.412,0.629,346.0,10.3,15.7,13.1,13.4,1.8,3.0,12.5,16.7,2.9,1.6,4.6,0.224,6.2,4.2,10.5,
5.0,Alex Condon,F,31,29,780,24.4,0.561,0.205,0.628,378.0,13.2,19.7,16.6,14.7,1.7,5.9,10.7,21.1,2.6,1.8,4.4,0.226,6.7,4.7,11.4,
6.0,Denzel Aberdeen,G,33,5,663,12.2,0.51,0.404,0.274,252.0,1.8,7.0,4.5,13.0,1.4,0.0,10.7,20.8,1.1,0.9,2.0,0.121,1.1,2.0,3.1,
7.0,Rueben Chinyelu,C,34,34,653,18.4,0.605,0.0,0.302,219.0,13.4,21.8,17.8,6.2,1.6,5.2,16.6,14.8,1.3,1.5,2.9,0.176,1.9,4.0,6.0,
8.0,Sam Alexis,F,23,0,285,16.3,0.494,0.198,0.257,115.0,14.3,16.3,15.4,5.3,1.4,5.5,14.4,22.0,0.3,0.6,0.9,0.133,-0.2,2.5,2.3,
9.0,Urban Klavzar,G,23,0,242,9.4,0.502,0.623,0.156,79.0,0.9,5.8,3.5,13.0,1.4,0.0,12.7,18.5,0.3,0.3,0.6,0.1,-0.3,2.0,1.7,
10.0,Micah Handlogten,C,10,0,145,22.6,0.73,0.0,0.571,38.0,16.0,23.0,19.6,12.3,3.5,6.5,10.1,6.5,0.4,0.4,0.9,0.235,6.5,7.1,13.7,
11.0,Isaiah Brown,G,17,0,70,18.9,0.556,0.304,0.696,30.0,9.5,17.3,13.6,2.4,2.4,1.5,8.9,22.7,0.2,0.2,0.3,0.172,0.8,3.5,4.4,
12.0,Kajus Kublickas,G,6,0,25,10.2,0.336,0.2,0.4,6.0,13.2,16.2,14.8,11.2,0.0,0.0,0.0,11.3,0.0,0.0,0.1,0.126,-1.9,1.9,0.1,
13.0,Bennett Andersen,G,7,0,8,-4.8,0.333,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.004,-16.1,0.4,-15.7,
14.0,Viktor Mikic,C,4,0,6,-2.5,0.0,0.0,0.0,0.0,0.0,33.7,17.6,0.0,9.4,0.0,0.0,7.9,0.0,0.0,0.0,0.081,-18.9,7.9,-11.0,
15.0,Cooper Josefsberg,G,3,0,3,8.6,,,,1.0,36.8,0.0,17.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.159,-1.9,2.3,0.4,
16.0,Kevin Pazmino,G,3,0,3,-57.5,0.0,0.5,0.0,1.0,36.8,0.0,17.6,0.0,0.0,0.0,50.0,63.1,-0.1,0.0,-0.1,-0.894,-53.0,-27.4,-80.3,
,Team Totals,,34,34,6800,,0.578,0.436,0.326,,,,,,,,,,18.2,13.3,31.5,0.186,4.6,3.9,8.5,
