Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Johnell Davis,32,11,806,24.3,0.613,0.569,0.352,0.336,394,4.8,18.1,11.7,11.4,3.5,0.5,13.7,25.6,,2.5,2,4.5,0.225,,4.8,3.3,8.1
2,Vladislav Goldin,34,34,702,26.3,0.641,0.643,0,0.579,335,12.5,22.1,17.5,4.3,1.2,6.2,14,23.5,,2.3,1.8,4.1,0.234,,3,2.2,5.2
3,Alijah Martin,31,16,795,22,0.576,0.54,0.54,0.293,388,7.7,15.7,11.9,11.2,2.4,0.9,12.4,25.6,,2.3,1.8,4.1,0.208,,5.4,2,7.4
4,Nick Boyd,33,32,778,18.7,0.597,0.589,0.606,0.177,301,3.6,15.6,9.9,18.5,2.1,0.1,12.3,18.5,,2.2,1.7,3.8,0.196,,3.3,2.5,5.8
5,Giancarlo Rosado,34,0,573,19.4,0.646,0.61,0,0.534,213,9.8,14.4,12.2,14.3,1.4,2.8,19.1,16.1,,1.6,1.2,2.8,0.197,,1.7,2.6,4.3
6,Michael Forrest,32,1,704,15,0.535,0.514,0.593,0.183,272,2,10.2,6.3,14.3,1.7,0.4,11.9,21.7,,1.3,1.3,2.6,0.147,,1.4,1.4,2.8
7,Bryan Greenlee,34,29,834,11,0.538,0.522,0.563,0.194,247,1.3,9.9,5.8,15,2,0.4,20.2,17,,0.7,1.6,2.3,0.11,,-0.4,1.8,1.3
8,Brandon Weatherspoon,34,23,537,13.6,0.523,0.51,0.69,0.155,172,6.3,8.1,7.3,7.9,1.7,0,6.2,16.7,,1.1,0.9,2.1,0.153,,2.2,1.7,4
9,Jalen Gaffney,33,23,763,9,0.474,0.441,0.592,0.191,186,1.1,11,6.2,17.4,1.4,0,16.6,13.1,,0.7,1.4,2,0.107,,-1.5,1.8,0.3
10,Tre Carroll,18,0,102,26.4,0.724,0.718,0.282,0.205,52,4.6,29.8,17.7,15.1,0,1,17.4,25.6,,0.4,0.2,0.6,0.238,,4.4,2.5,6.9
11,Isaiah Gaines,25,1,140,16.7,0.62,0.635,0.038,0.769,48,11.7,21,16.5,7.3,2.5,3,23.7,16.7,,0.2,0.4,0.6,0.172,,-1.7,2.4,0.8
12,Brenen Lorient,21,0,74,10.4,0.52,0.538,0,0.385,18,9.5,5.9,7.6,4.5,2.4,7.1,24.5,13.9,,0,0.2,0.2,0.103,,-5.3,2.5,-2.8
13,Alejandro Ralat,14,0,42,3.7,0.292,0.292,0.583,0,9,0,2.6,1.3,18.9,1.4,0,7.7,15.6,,0,0.1,0,0.034,,-5.8,0.7,-5.2
