Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Marc Eddy Norelia,35,34,1148,25.7,0.574,0.545,0.005,0.448,570,10.6,19.5,15.3,7.9,1.9,2.6,10.8,25,,3.5,2.2,5.7,0.2,,1.4,1.2,2.6
2,Christian Terrell,35,24,1021,20,0.543,0.511,0.367,0.317,432,4.2,14,9.4,14.7,2.4,1.3,10.1,22,,2.5,1.8,4.2,0.166,,2.2,1,3.3
3,Zach Johnson,35,20,941,16,0.545,0.518,0.238,0.403,389,1.3,8.5,5.1,22.1,1.9,2.1,18.8,22.8,,1.3,1.4,2.7,0.114,,-0.6,0.2,-0.4
4,Antravious Simmons,34,16,562,21.7,0.558,0.541,0.005,0.348,261,11.9,21.8,17.1,8.1,1.4,2.6,13,24.3,,1.3,1.1,2.4,0.173,,-0.8,0.3,-0.5
5,Rayjon Tucker,35,1,649,15.3,0.645,0.603,0.322,0.81,205,4.2,13,8.8,7.2,1.9,1.3,19.7,15.8,,1.2,1,2.2,0.138,,0.3,0.8,1
6,Julian DeBose,33,33,914,12.1,0.495,0.485,0.358,0.179,271,3.6,8.2,6,7.6,2.2,2,12.9,18,,0.7,1.4,2.1,0.09,,-1.3,1.1,-0.3
7,Demetris Morant,23,18,423,15.6,0.559,0.576,0,0.576,131,10.8,19.7,15.4,2.9,0.4,8,18.2,16.7,,0.5,0.8,1.3,0.124,,-3.4,2.8,-0.6
8,Reggie Reid,34,14,572,10.6,0.46,0.431,0.457,0.379,167,1,7.2,4.2,29.5,2.3,0.6,23,15.3,,0.4,0.8,1.2,0.083,,-2.2,-1.2,-3.4
9,Filip Cvjeticanin,32,12,466,9.7,0.514,0.519,0.902,0.068,121,1.7,10.4,6.3,4.3,0.9,0.5,8.7,15.8,,0.5,0.6,1,0.089,,-0.1,-2.1,-2.2
10,Brian Greene,18,3,106,11.9,0.555,0.548,0.476,0.333,30,0,8.7,4.6,21.4,2.7,1,19.8,14.1,,0.1,0.2,0.3,0.117,,-1.2,-0.3,-1.5
11,Kevin Mickle,31,0,323,6.8,0.508,0.491,0,0.382,74,9.5,11.5,10.5,4,1.2,1.3,31.6,14.5,,-0.1,0.5,0.3,0.039,,-5.2,0.4,-4.8
12,Dolan Mahoney,10,0,20,16.8,0.625,0.625,0.5,0,4,0,5.1,2.7,8.3,5.7,0,0,9.8,,0,0,0.1,0.166,,1.8,2,3.8
13,Maxx Bleecher,12,0,23,6.5,0.5,0.5,0.6,0,6,4.9,13.4,9.4,14.1,2.5,0,37.5,17.1,,0,0,0,0.02,,-4.9,0.4,-4.5
14,Alvin Cunningham,4,0,8,-4.1,0,0,0,1,0,0,25.7,13.5,0,0,0,0,9.1,,0,0,0,-0.066,,-14.4,-3.1,-17.5
