Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jonathan Isaac,32,32,839,24.6,0.614,0.568,0.348,0.461,364,7.7,25,16.7,7.5,2.4,6.2,13.3,20.3,,2.4,1.9,4.3,0.205,,4.7,6.2,10.9
2,Dwayne Bacon,35,35,1008,20.8,0.544,0.51,0.35,0.282,545,4,12,8.1,11.6,1.9,0.4,11.4,29.4,,2.5,1.3,3.8,0.151,,3.8,0.5,4.3
3,Terance Mann,35,34,876,17.6,0.612,0.593,0.116,0.449,309,8.6,11.5,10.1,10.9,2.2,0.7,14.9,15.3,,2.1,1.2,3.3,0.152,,4.8,3.5,8.4
4,Xavier Rathan-Mayes,35,35,969,17,0.526,0.52,0.419,0.395,416,2.6,10,6.4,28.8,1.9,0.4,15.6,20.4,,2,1.2,3.2,0.134,,4.5,1.5,6
5,Michael Ojo,35,34,426,21.4,0.636,0.564,0,0.713,178,14.9,14.4,14.6,2.7,1.3,7.5,16.6,18.1,,1.3,0.7,2,0.185,,2.9,4.4,7.3
6,Trent Forrest,35,0,538,17.9,0.525,0.477,0.062,0.55,194,6.7,12.6,9.7,16.3,4.4,1,17.7,17.4,,0.8,1,1.9,0.139,,2.5,5.3,7.8
7,Braian Angola-Rodas,34,0,402,18,0.584,0.543,0.435,0.357,159,3.2,11.8,7.6,17.1,2.1,1.1,11.8,18,,1.1,0.6,1.6,0.164,,4.7,2,6.7
8,Jarquez Smith,35,3,460,15.2,0.559,0.535,0.087,0.4,154,8.5,15.2,12,6.1,1,6.9,15.4,16.7,,0.7,0.7,1.5,0.128,,0.9,5.1,6
9,Chris Koumadje,35,0,355,17.5,0.635,0.654,0.012,0.309,103,6.2,13.9,10.2,1.9,1.1,12,15.5,14.7,,0.6,0.6,1.2,0.135,,0.3,7.4,7.7
10,PJ Savoy,28,0,227,24.4,0.604,0.588,0.877,0.263,125,2,9,5.6,5.8,2.4,0.5,6.6,28.7,,0.9,0.3,1.2,0.207,,9.1,-2.3,6.8
11,CJ Walker,33,0,414,14.3,0.497,0.46,0.412,0.404,167,3.6,8.6,6.2,17.4,2.7,0.5,13.4,21.4,,0.6,0.6,1.2,0.116,,2.5,1.5,4
12,Brandon Allen,14,0,87,18,0.637,0.625,0.719,0.063,35,1.3,6.2,3.8,8.1,1.3,2.4,8.3,19.6,,0.3,0.1,0.4,0.162,,5.9,-0.1,5.8
13,Phil Cofer,32,2,399,6.9,0.503,0.488,0.19,0.238,93,6.1,11.1,8.7,2.7,0.6,0.8,21.1,14.1,,0,0.4,0.4,0.045,,-1.4,1.1,-0.3
