Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Marvelle Harris,35,34,1284,23.1,0.516,0.463,0.345,0.404,704,1.6,12.7,7,26.1,3.4,2,9.9,29.9,,3.4,2.2,5.5,0.173,,4.7,1.5,6.2
2,Karachi Edo,32,30,785,22.2,0.568,0.556,0.004,0.547,322,14.2,14.3,14.2,3.4,0.9,8.1,9.9,19.7,,2.1,1.2,3.3,0.167,,0.9,2.5,3.4
3,Cullen Russo,34,15,868,17,0.489,0.443,0.258,0.484,284,6.8,19.5,13,12.4,3.9,2.8,13.4,17.8,,1,1.9,2.9,0.133,,0.3,4.3,4.6
4,Cezar Guerrero,35,35,889,12.8,0.531,0.494,0.573,0.291,285,2.3,11.3,6.7,17,2,0,14.7,17.3,,1.2,1.1,2.4,0.107,,1.5,-0.3,1.2
5,Julien Lewis,34,10,789,14.3,0.509,0.483,0.258,0.223,278,1.9,10.6,6.2,13.9,3,0.8,12,20.7,,0.9,1.2,2.1,0.105,,-0.1,0.6,0.5
6,Torren Jones,21,17,553,19.1,0.546,0.52,0,0.358,224,13.9,19.3,16.5,5.2,1.7,2.6,16.2,21.5,,0.9,0.9,1.8,0.132,,-0.6,0.7,0.1
7,Paul Watson,31,24,748,11.6,0.509,0.479,0.39,0.257,220,3.8,10.9,7.2,5.2,1.6,2.6,12.6,17.8,,0.6,1,1.6,0.084,,-1.1,0.5,-0.6
8,Jahmel Taylor,19,1,261,16.4,0.62,0.6,0.892,0.246,85,3.7,8.7,6.1,11.9,2.2,0.5,7.6,14.8,,0.7,0.3,1,0.159,,4.8,-0.9,3.9
9,Terrell Carter,29,5,300,13.9,0.617,0.592,0,0.408,107,10.4,15.1,12.7,4,1.1,3.2,24.2,19.7,,0.3,0.4,0.8,0.103,,-2.4,0,-2.4
10,Lionel Ellison III,31,0,433,5.7,0.393,0.256,0.4,0.933,67,2.2,10.5,6.3,12.5,2.2,0.6,21.7,9.4,,0,0.6,0.5,0.05,,-3.2,1.4,-1.8
11,Sam Bittner,17,4,165,5.4,0.517,0.531,0.875,0.313,19,1.3,10.3,5.7,4.9,1,0.7,5.2,5.8,,0.1,0.2,0.3,0.072,,-1.3,0.1,-1.2
12,Ountae Campbell,7,0,12,7.2,0.333,0.333,0,0,2,0,28.3,13.8,14.7,0,0,0,12.3,,0,0,0,0.06,,-6.3,-0.5,-6.8
13,Grant Shell,6,0,13,-11.1,0.2,0.2,0.6,0,3,16.6,0,8.5,13.4,4.4,0,44.4,34.1,,-0.1,0,-0.1,-0.297,,-14.9,0.1,-14.9
