Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Mike Bothwell,34,34,1149,23.2,0.634,0.58,0.361,0.476,583,4.7,7.4,6.1,16.6,1.6,0.5,10.4,23.6,,4.8,1.2,6,0.207,,4.5,-1.1,3.3
2,Jalen Slawson,34,34,1046,27.1,0.651,0.614,0.297,0.489,534,7.3,19.9,13.7,19.7,3,5.4,17.3,23.9,,3.8,2.1,5.9,0.226,,4.9,2.8,7.6
3,Marcus Foster,34,27,990,15.6,0.563,0.529,0.571,0.232,335,5.1,15.7,10.5,6.4,2.2,0.8,10.1,18.2,,1.9,1.4,3.4,0.136,,0.7,-0.2,0.5
4,JP Pegues,34,34,1079,15.1,0.545,0.521,0.559,0.267,422,1.3,12.5,7.1,21.7,1.1,0.6,13.8,20.3,,2.2,1.2,3.4,0.125,,1.3,-1.1,0.2
5,Garrett Hien,32,29,691,17.8,0.6,0.608,0.376,0.28,251,5.8,16.2,11.1,13.6,1.9,2.2,12.3,17.8,,1.7,1,2.7,0.156,,1.1,0.5,1.6
6,Ben VanderWal,34,7,557,15.6,0.606,0.569,0.532,0.651,179,10.2,12.9,11.5,4.1,1.6,1.7,12.3,14.7,,1.3,0.7,2.1,0.149,,0.7,-0.9,-0.1
7,Tyrese Hughey,33,2,374,21.2,0.664,0.657,0.426,0.183,148,6.4,17.6,12.1,10.6,2.8,2,11.3,19,,1.2,0.7,1.8,0.194,,0.4,1.2,1.6
8,Alex Williams,27,1,394,18,0.578,0.568,0.598,0.197,161,10.4,13.2,11.8,7.8,1.2,0.8,8.8,20.2,,1.1,0.5,1.6,0.158,,2.3,-1.9,0.4
9,Joe Anderson,19,1,204,9,0.431,0.429,0.714,0.057,44,0,6.2,3.2,23.1,2.5,0.5,18.2,10.9,,0.2,0.2,0.4,0.079,,-2.7,0.9,-1.8
10,Carter Whitt,27,0,344,7.5,0.404,0.401,0.64,0.105,100,1.8,13.8,7.9,27.1,1.8,0.9,27.9,18.3,,-0.2,0.4,0.2,0.029,,-3.9,-1.5,-5.4
11,Jonny Lawrence,5,0,26,12,0.588,0.6,1,0.4,5,0,8.9,4.5,0,2.2,4.1,0,11.5,,0,0,0.1,0.117,,-9.4,-2.7,-12.1
12,Blake Harris,4,0,4,15.2,,,,,0,0,0,0,0,14.4,0,,0,,0,0,0,0.137,,-2.4,-2.1,-4.5
13,Rett Lister,12,1,17,-12.5,0.25,0.25,0,0,2,0,6.8,3.5,9,0,0,42.9,20.7,,-0.1,0,-0.1,-0.188,,-17.2,-5.6,-22.8
