Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,David Efianayi,34,34,1135,23.4,0.616,0.572,0.404,0.551,588,2,10.4,6.6,17.5,2,2.8,13.7,27,,3.8,1.5,5.2,0.184,,3.1,-1,2.1
2,Jose Perez,34,25,1066,20.2,0.549,0.507,0.348,0.463,518,4.2,16.4,10.8,18.7,1.4,0.9,12.6,26.2,,2.7,1.5,4.1,0.154,,0.6,-1.5,-0.9
3,Nate Johnson,34,34,1048,16.1,0.606,0.586,0.629,0.207,307,1.2,12.7,7.5,9.7,2.8,2,10.4,15.4,,2,1.6,3.7,0.139,,1.8,0.7,2.4
4,DJ Laster,33,32,864,22.2,0.604,0.594,0.153,0.251,407,10,14.3,12.3,3.8,0.9,2.7,11.6,25.6,,2.4,1.1,3.5,0.16,,-0.4,-3.1,-3.5
5,Jaheam Cornwall,34,10,794,13.1,0.58,0.559,0.559,0.317,235,0.2,11.2,6.1,20.8,2.2,0.2,20.2,15.3,,1.1,1,2.1,0.108,,-0.4,-1.5,-1.8
6,Eric Jamison,32,9,669,15.4,0.625,0.606,0.075,0.275,216,6.5,17,12.2,6.5,1.7,1.1,21,17.9,,0.9,1,1.9,0.113,,-2.2,-0.8,-3
7,Christian Turner,32,24,629,10.6,0.654,0.588,0.509,0.579,125,0.6,7.1,4.1,18.5,2.6,0.2,24.8,8.1,,1,0.7,1.7,0.109,,-0.4,-1.1,-1.5
8,Ludovic Dufeal,18,0,163,21.1,0.6,0.576,0.242,0.182,48,13.4,16.6,15.2,3.3,1.8,10.7,5.3,12.2,,0.4,0.3,0.8,0.185,,0.1,3.8,3.9
9,Brandon Miller,28,1,220,11.4,0.537,0.545,0.068,0.614,67,13.5,14.8,14.2,0.8,2.1,2.3,20.9,17.1,,0.2,0.3,0.5,0.095,,-4.5,-2.4,-6.9
10,Justin Jenkins,31,1,291,8.3,0.459,0.413,0.683,0.444,76,4,11.2,7.9,9.1,2,0.9,18.2,16.8,,0,0.4,0.4,0.053,,-3.3,-1.7,-5.1
11,Jaylen Alston,9,0,60,26.5,0.549,0.472,0.111,0.667,32,19.3,28.9,24.5,15.5,3.9,2.1,20.2,25.9,,0.2,0.2,0.3,0.209,,-0.4,1.8,1.5
12,Kennedy Kincaid,4,0,12,-6.9,0.279,0.313,0.625,0.25,6,0,9,4.9,33,0,0,18.3,47.8,,-0.1,0,-0.1,-0.26,,-14,-8,-22
