Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Isaiah Armwood,33,33,1056,19.7,0.54,0.492,0.034,0.653,416,8.6,20.5,14.8,10.1,1.4,5.3,13.7,21.4,,2,2.2,4.2,0.159,,0.7,4.1,4.8
2,Kevin Larsen,33,33,1030,18.6,0.568,0.549,0.007,0.436,373,9,15.7,12.5,11,1,2.4,12.2,18.4,,2.3,1.7,4,0.155,,2.3,2.2,4.5
3,Maurice Creek,32,30,940,16.7,0.561,0.529,0.571,0.311,401,2.9,9.8,6.5,12.4,2.1,0.6,14.7,25.1,,1.7,1.5,3.2,0.136,,3.8,-0.4,3.5
4,Patricio Garino,26,14,747,20.8,0.598,0.59,0.171,0.6,301,7.1,10,8.6,14.2,3.2,3.2,16.2,21.1,,1.6,1.4,3.1,0.164,,3.9,3.6,7.5
5,Joe McDonald,32,32,948,15.2,0.519,0.452,0.327,0.638,321,6,11.2,8.7,25,3.1,0.3,21.5,17.2,,1.3,1.7,3.1,0.129,,2.5,2.5,5
6,Kethan Savage,19,17,486,24.1,0.573,0.537,0.146,0.604,238,6.8,12.1,9.5,22,4.4,2.7,16.6,26.1,,1.2,1.1,2.3,0.186,,4.4,4.2,8.6
7,Nemanja Mikic,33,4,544,8.5,0.503,0.5,0.767,0.144,137,1.9,8.4,5.3,5.8,1.2,1.6,10.3,16,,0.4,0.8,1.2,0.088,,0.8,-0.3,0.5
8,John Kopriva,33,0,395,7.9,0.462,0.438,0,0.646,71,8.7,14.6,11.7,5.7,1.8,2.8,25.1,10.6,,0,0.7,0.7,0.074,,-2.4,3.4,1
9,Nick Griffin,31,1,149,12.1,0.637,0.651,0.674,0.047,44,3.2,7.3,5.3,4.1,0.8,0,13.7,17.1,,0.2,0.2,0.4,0.111,,2.3,-2.6,-0.3
10,Skyler White,16,0,25,27,0.639,0.6,0.8,0.2,12,4.7,17.4,11.3,8.4,2.4,4.4,0,22,,0.1,0.1,0.2,0.283,,8.9,0.5,9.4
11,Paris Maragkos,30,0,96,1.2,0.424,0.414,0.207,0.207,25,7.4,10.2,8.8,0,0.6,0,22,21.3,,-0.2,0.1,0,-0.009,,-7.7,-4.6,-12.3
12,Miguel Cartagena,32,1,206,-1,0.299,0.265,0.49,0.265,46,0,6.3,3.3,26.8,1.1,0,29.4,19,,-0.5,0.3,-0.2,-0.046,,-7.3,-2.7,-10
