Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,D'Vauntes Smith-Rivera,32,32,1102,23.4,0.583,0.517,0.499,0.424,499,3,11.5,7.4,20.2,2.9,0.7,10.4,24,,4.1,1.5,5.6,0.203,,8.1,1.6,9.7
2,Joshua Smith,33,32,677,28.2,0.635,0.621,0,0.682,347,15.5,18.5,17,14.3,3.1,3.9,19.3,27.1,,2.3,1.3,3.6,0.215,,6,4.4,10.4
3,Jabril Trawick,33,33,921,16,0.603,0.575,0.407,0.518,297,3.4,12,7.8,17.3,2.2,1.7,19.7,17.7,,1.8,1.2,3,0.129,,4,2.5,6.5
4,Mikael Hopkins,33,24,733,15.5,0.5,0.438,0,0.835,208,12.8,18.6,15.8,10.9,2.8,8.6,27.2,16.7,,0.4,1.5,1.9,0.104,,-0.2,8.5,8.2
5,Isaac Copeland,33,11,661,15.4,0.545,0.508,0.293,0.255,209,5.7,17.3,11.7,7.4,0.7,3.5,14.9,19.4,,1,0.8,1.8,0.112,,0.7,1.6,2.4
6,Aaron Bowen,33,0,496,17.8,0.559,0.561,0.214,0.371,176,6.6,9.7,8.2,14.4,3.5,2,17.9,21.4,,0.8,0.7,1.5,0.12,,2.6,2.8,5.5
7,Paul White,33,0,607,12.6,0.509,0.483,0.418,0.233,163,2.7,15.3,9.2,13.5,1.4,3.8,15.6,16.7,,0.6,0.8,1.5,0.096,,0.7,3,3.8
8,L.J. Peak,33,32,834,11.1,0.477,0.431,0.299,0.377,246,3.6,7.2,5.5,7.9,2.1,1.7,13.9,20.1,,0.6,0.9,1.4,0.069,,-0.1,1.3,1.2
9,Tre Campbell,33,1,452,12.1,0.512,0.485,0.592,0.265,110,1.1,7.8,4.6,12.5,2.6,0,8.3,14.1,,0.7,0.5,1.2,0.106,,2.6,0.6,3.2
10,Bradley Hayes,17,0,69,20,0.598,0.636,0,0.455,20,21.8,20.5,21.1,5.9,1.8,3.5,13,11.8,,0.2,0.1,0.3,0.178,,4.1,2.9,7
11,Tyler Adams,1,1,0,,1,1,0,0,,,,,0,,,0,,,0,0,0,,,,,
12,David Allen,10,0,20,-4.9,0.146,0,1,1.5,1,0,5.9,3,0,3.1,0,22.6,11.7,,-0.1,0,0,-0.085,,-6.3,0.6,-5.6
13,Reggie Cameron,23,0,105,5.4,0.418,0.362,0.828,0.241,26,1.2,6.7,4,9.2,0.6,2.3,15.7,19.3,,0,0.1,0,0.018,,-1.5,-1.3,-2.9
14,Trey Mourning,6,0,12,-9,0,0,0.75,0,2,10.4,9.8,10.1,41.9,0,0,20,22,,-0.1,0,0,-0.162,,-7.1,-2.1,-9.3
15,Riyan Williams,8,0,10,11.8,0.253,0,0.333,0.667,3,25,11.8,18.2,0,0,12.1,0,20.9,,0,0,0,0.065,,-4.6,-0.8,-5.4
