Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,J.J. Frazier,32,16,943,17.6,0.581,0.514,0.599,0.491,317,2.9,11.4,7.4,23.8,2.4,0.6,15.5,17.4,,2.3,1.5,3.8,0.163,,5.7,2.4,8.1
2,Marcus Thornton,31,31,905,20.8,0.543,0.496,0.107,0.53,355,7.1,20.5,14.2,8.8,1.6,4.3,11.6,23.4,,2,1.9,3.8,0.17,,1.7,4,5.7
3,Nemanja Djurisic,33,32,991,16.8,0.559,0.529,0.36,0.353,348,7.6,12,9.9,11.5,1.4,1.8,15.8,20.7,,1.8,1.5,3.3,0.131,,3.6,2.4,6
4,Kenny Gaines,31,29,930,16.7,0.532,0.505,0.502,0.264,328,3,9.6,6.5,12.8,2.3,3.3,12.1,22.2,,1.5,1.5,3.1,0.132,,3.7,3.1,6.8
5,Charles Mann,33,32,1009,13.3,0.506,0.427,0.196,0.846,391,2.8,14.9,9.2,26.2,1.3,0.4,22.5,24.8,,0.7,1.6,2.3,0.09,,0.4,2,2.4
6,Yante Maten,32,2,583,14.6,0.469,0.416,0.007,0.518,167,11.6,14.7,13.3,3,1.1,8.6,14.9,18.3,,0.4,1.1,1.5,0.105,,-2.3,5.2,2.9
7,Cameron Forte,31,1,401,17.9,0.571,0.567,0.011,0.433,129,10.8,13.7,12.3,13.5,1.5,1.9,18.1,17.6,,0.7,0.6,1.3,0.134,,1.9,3,4.9
8,Juwan Parker,18,14,364,10.6,0.488,0.418,0.329,0.493,90,5.3,15,10.5,8.7,1.9,0.6,18.9,16.2,,0.2,0.6,0.8,0.086,,-0.5,2.6,2.1
9,Kenny Paul Geno,22,6,251,7.3,0.484,0.452,0.29,0.419,39,4.3,10.3,7.5,6.4,1.5,1.8,17.7,9.6,,0.1,0.4,0.5,0.074,,-0.9,3.2,2.3
10,Taylor Echols,25,1,162,3.2,0.502,0.516,0.969,0.188,29,0,8.6,4.6,5.1,1.1,0,25.6,15.4,,-0.1,0.2,0.1,0.015,,-1.8,-0.2,-1.9
11,Houston Kessler,29,1,181,3.7,0.423,0.404,0.346,0.385,27,6.7,10.1,8.5,0,0.7,2.5,22.6,11.7,,-0.1,0.2,0.1,0.029,,-4.3,0.2,-4
12,Osahen Iduwe,11,0,27,1.2,0,0,0,0,0,0,4,2.1,0,4.6,4.1,0,3.9,,0,0.1,0,0.025,,-5,7.8,2.8
13,Brandon Young,7,0,5,-14.6,0,0,0.5,0,0,0,21.5,11.4,0,0,0,0,21.3,,0,0,0,-0.223,,-17.7,-5.3,-23
14,Dusan Langura,5,0,3,-45.8,0,0,0.667,0,0,0,0,0,0,0,0,0,53.1,,-0.1,0,-0.1,-0.688,,-31.3,-14.7,-46
