Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Silas Demary Jr.,G,32,32,1003,17.1,0.559,0.475,0.475,431,2.8,11.4,7.3,18.7,3.1,0.7,16.1,22.8,2.1,1.6,3.7,0.147,3.1,3.3,6.4,
2,Asa Newell,F,32,32,923,26.2,0.609,0.254,0.365,463,13.8,13.7,13.7,6.7,2.1,3.9,7.6,23.5,3.7,1.5,5.1,0.223,7.7,2.2,9.9,
3,Blue Cain,G,32,32,864,15.1,0.55,0.522,0.261,291,3.1,14.4,9,10.2,2.9,0.3,12.5,18.5,1.5,1.4,2.9,0.133,2.7,3.3,6,
4,Dakota Leffew,G,31,5,789,13.2,0.551,0.596,0.204,275,1.9,7.4,4.8,12.3,1.6,1.6,13,19.5,1.3,0.9,2.2,0.11,2.4,1.8,4.2,
5,Tyrin Lawrence,G,29,20,736,13.8,0.548,0.414,0.446,255,2.3,11.7,7.2,17.6,2.5,0.8,19.3,18.9,0.9,1.1,2,0.108,1.3,2.6,4,
6,RJ Godfrey,F,32,32,627,13.2,0.559,0.066,0.474,209,8,14.7,11.5,9.1,1.7,3.4,20.8,18.7,0.6,1,1.5,0.098,-1.5,2.8,1.3,
7,Somto Cyril,C,32,0,446,17.7,0.586,0.012,0.918,147,11,20.5,16,7.1,0.8,13,22.3,17.6,0.4,0.9,1.4,0.122,-0.8,4.8,3.9,
8,Dylan James,F,31,7,420,11.8,0.544,0.284,0.309,105,7.3,11,9.2,7.6,1.5,4.3,17.7,13.4,0.4,0.6,1,0.093,1.3,2.9,4.3,
9,Justin Abson,F,27,0,264,17.6,0.558,0.106,0.383,75,10.7,15,12.9,14.2,1.5,9,17.8,12.8,0.4,0.5,0.9,0.137,3.5,4.8,8.3,
10,De'Shayne Montgomery,G,16,0,257,12.8,0.5,0.3,0.422,103,4.8,10.7,7.9,9.9,4.1,1.3,21.2,26.6,0,0.5,0.4,0.065,-1.1,3.4,2.3,
11,Savo Drezgic,G,8,0,55,13,0.573,0.75,1.417,22,0,18,9.5,12.5,3.2,0,25.9,24.6,0,0.1,0.1,0.094,-2.5,1.6,-0.9,
12,Brandon Klatsky,G,5,0,8,-21.5,0,0.667,0,0,0,13.7,7.2,0,0,0,25,24.9,-0.1,0,-0.1,-0.325,-24.8,-10.2,-35,
13,Jaden Newell,F,6,0,8,16.5,0.335,0,0.25,4,30.6,0,14.5,0,7.3,0,0,27.9,0,0,0,0.131,-9.6,-3.2,-12.8,
,Team Totals,,32,32,6400,,0.562,0.368,0.398,,,,,,,,,,11.1,10,21.2,0.132,2.3,2.9,5.3,
