Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,D'Marcus Simonds,34,34,1184,23.9,0.528,0.493,0.234,0.356,738,4.6,14,9.5,29.1,2.9,2.6,15.3,35.1,,2.6,2.3,4.9,0.166,,1.4,1.4,2.9
2,Malik Benlevi,34,34,1188,16.9,0.59,0.579,0.632,0.163,330,4.9,15.8,10.6,8.7,2.5,3.5,7.6,13.1,,2.5,2.3,4.8,0.163,,2.5,2.9,5.4
3,Jeff Thomas,34,29,1077,16.2,0.609,0.585,0.558,0.181,331,2.8,12.2,7.7,6.8,1.8,3.1,9.6,15.9,,2.2,1.8,4,0.148,,1.7,0.9,2.6
4,Devin Mitchell,34,34,968,16.2,0.61,0.604,0.678,0.158,374,1.2,8.5,5,13,1.5,0.7,12.3,20.8,,2.2,1.3,3.4,0.141,,3,-2.2,0.8
5,Jordan Session,34,34,880,17.2,0.563,0.565,0.075,0.516,278,9.6,16.9,13.4,6.4,2.8,6.2,16.9,16.4,,1.3,2,3.3,0.148,,-1.2,4.3,3
6,Isaiah Williams,33,3,655,14.6,0.572,0.527,0.572,0.267,234,1.3,6.4,3.9,14.2,1.3,0.2,12.1,18.9,,1.3,0.7,2,0.125,,0.7,-3.1,-2.3
7,Kane Williams,33,2,366,15.5,0.566,0.471,0.174,1.101,138,4.2,10.2,7.3,19.8,3.4,0.7,22.2,19.1,,0.6,0.7,1.3,0.14,,-1.4,0.2,-1.1
8,Jordan Tyson,34,0,344,7.5,0.523,0.536,0,0.375,71,7,14.6,11,2,0.5,8.5,25.8,13.4,,-0.1,0.6,0.5,0.062,,-6.4,2.7,-3.8
9,Matt Chism,13,0,19,17.7,0.886,1,0,0.667,6,0,11.5,6,10.4,0,0,20.2,13.5,,0.1,0,0.1,0.152,,0.1,-3.3,-3.2
10,Josh Linder,22,0,110,7.3,0.456,0.481,0.037,0.63,35,12,10.9,11.4,5,1.1,3.6,22.2,21.2,,-0.1,0.2,0.1,0.039,,-6.7,-0.9,-7.6
11,Chris Clerkley,17,0,47,-0.9,0,0,0,0.25,3,5.1,16.3,10.9,9.6,0,5.7,40.1,8.2,,-0.1,0.1,0,-0.03,,-10.6,3.3,-7.3
12,Nile Felton,12,0,13,-7,0,0,0.667,0,1,9.2,16.8,13.2,0,0,0,0,11.9,,0,0,0,-0.08,,-11.9,-5.8,-17.7
13,Denis Alibegovic,18,0,24,-10.7,0.192,0.192,0.615,0,5,0,0,0,7.1,0,0,7.1,30.2,,-0.1,0,-0.1,-0.216,,-15.2,-10,-25.2
