Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Moses Wright,25,25,0,26.6,0.568,0.548,0.088,0.336,437,11.1,17.6,14.3,13.5,2.5,5.2,9.7,25.3,,3.1,1.4,4.5,0.203,,5.7,1.8,7.6
2,Jose Alvarado,25,25,925,22.7,0.624,0.587,0.42,0.29,381,2.6,9.8,6.1,21,4.7,0.1,14.3,20.3,,2.9,1.4,4.3,0.186,,4.9,3.9,8.8
3,Michael Devoe,25,25,870,18.2,0.578,0.55,0.493,0.278,365,2.6,13.2,7.8,18.3,2.1,0.9,16.6,23.7,,1.8,1,2.8,0.126,,4.4,0.7,5.1
4,Jordan Usher,25,25,733,17.8,0.557,0.541,0.361,0.223,280,2.5,15.5,8.9,17.8,3.2,2.6,17.3,22.4,,1.1,1.1,2.2,0.12,,2.3,2.7,5
5,Bubba Parham,24,13,635,11.8,0.548,0.519,0.687,0.201,159,2.7,9.4,6,9.3,2.1,0,7.6,13.2,,1.1,0.6,1.7,0.107,,1.2,1.3,2.6
6,Khalid Moore,24,10,566,8.9,0.473,0.434,0.545,0.414,116,3.3,13,8.1,6.1,1.8,2.2,14.4,12.9,,0.2,0.6,0.9,0.06,,-0.4,1.6,1.2
7,Kyle Sturdivant,25,0,299,10.9,0.531,0.486,0.306,0.319,89,0.8,9.4,5,15.7,1,0.4,15.3,17.2,,0.4,0.2,0.6,0.079,,-0.6,-0.3,-0.8
8,Rodney Howard,18,2,137,10.2,0.531,0.5,0,0.292,29,4.5,18.6,11.5,3.7,1.3,5.7,12.8,12,,0.1,0.2,0.3,0.094,,-3.9,1.9,-2
9,Saba Gigiberia,8,0,35,7.4,0.392,0.409,0.182,0.091,11,14.2,36.4,25.2,10.1,0,0,14.8,20.3,,0,0.1,0.1,0.06,,-8.2,-2.6,-10.8
10,Coleman Boyd,2,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.006,,-4.2,-2.9,-7.1
11,Niko Broadway,2,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.006,,-4.2,-2.9,-7.1
12,David Didenko,5,0,9,-6.7,0,0,1,0,0,0,28.3,14,0,0,0,0,11.7,,0,0,0,-0.128,,-8.9,-4.7,-13.6
13,Jehloni James,4,0,10,6.1,,,,,1,12.4,38.2,25.2,0,0,0,,0,,0,0,0,0.11,,-3.7,-0.7,-4.4
14,Tristan Maxwell,1,0,8,9.5,0.438,0,1,1.5,3,0,0,0,0,0,0,0,22.5,,0,0,0,0.074,,-6.4,-6,-12.3
15,Shaheed Medlock,2,0,2,51.8,1,1,0,0,1,0,0,0,0,0,0,0,26.3,,0,0,0,0.305,,10.6,0.4,11
16,Jordan Meka,1,0,8,-3.8,0,0,0,0,0,0,15.9,7.9,0,0,0,0,6.6,,0,0,0,-0.069,,-4.8,-2.4,-7.2
17,Malachi Rice,1,0,2,89,0.769,1,0,2,3,0,0,0,100,0,0,0,51.3,,0,0,0,0.951,,24.6,2.1,26.7
