Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Nigel Williams-Goss,38,38,1248,25.2,0.594,0.533,0.258,0.4,661,2.2,15.6,9.8,25.6,2.9,0.2,13.1,24.6,,4.5,3.6,8.1,0.26,,6.3,5.5,11.8
2,Przemek Karnowski,39,39,902,24.2,0.592,0.586,0.003,0.393,463,7.7,18.1,13.6,16.1,1.1,3.9,14.9,25.9,,2.5,2.6,5.1,0.225,,2.7,5.9,8.5
3,Johnathan Williams,39,39,951,21.1,0.617,0.622,0.153,0.481,379,9.1,18.1,14.2,5.7,1.6,3.6,14.1,19.5,,2.3,2.8,5.1,0.216,,3.1,5.6,8.7
4,Zach Collins,39,0,673,30.9,0.703,0.676,0.101,0.715,360,12,23.2,18.3,4.4,1.5,9.8,17.8,24.8,,2.6,2.4,5,0.298,,4,7.5,11.5
5,Jordan Mathews,39,39,1090,15.7,0.563,0.535,0.666,0.276,387,3,8.9,6.3,8.5,1.8,0.4,8,18.2,,2.4,2.6,5,0.183,,5,3.2,8.2
6,Silas Melson,39,4,929,13,0.579,0.546,0.507,0.23,272,2.4,7.9,5.5,9.9,1.6,0.7,11.4,14.4,,1.7,2.2,3.9,0.166,,3.6,3.9,7.5
7,Josh Perkins,38,35,1106,11.2,0.581,0.554,0.681,0.302,328,1,6.7,4.2,16.6,1.7,0.5,22,15.2,,1.3,2.5,3.8,0.139,,3.1,3.6,6.7
8,Killian Tillie,33,0,404,19.5,0.62,0.572,0.256,0.5,143,8,19.1,14.3,8.3,3.3,2.4,15.9,16.2,,1,1.3,2.3,0.229,,3.4,6.9,10.3
9,Rui Hachimura,28,0,130,24.4,0.567,0.566,0.264,0.453,66,11.4,18.3,15.3,3,2.6,2.9,11,27.6,,0.3,0.4,0.7,0.225,,1.6,2.1,3.7
10,Bryan Alberts,23,0,135,14.6,0.391,0.367,0.592,0.204,51,0.9,8.5,5.2,28.4,3.8,1.4,6.9,21.2,,0.1,0.4,0.5,0.154,,1.7,3.8,5.4
11,Ryan Edwards,17,0,46,36.2,0.622,0.625,0.042,0.292,31,13.5,24.8,19.9,21.2,0,2.1,3.5,30.5,,0.3,0.1,0.4,0.347,,8.7,3.1,11.8
12,Jeremy Jones,23,0,82,14.3,0.408,0.375,0.25,0.313,22,12.1,20.9,17.1,11,3.4,3.5,21.4,14.1,,0,0.3,0.3,0.154,,-0.3,8.4,8
13,Dustin Triano,25,0,75,11.3,0.75,0.75,1,0,13,3.3,11.4,7.9,2,1.5,0,0,6.6,,0.2,0.2,0.3,0.179,,4.6,2.9,7.5
14,Rem Bakamus,17,1,29,-5.2,0.112,0,1,0.25,3,4.3,9.8,7.4,9.4,0,0,30.9,11.1,,-0.1,0.1,0,-0.014,,-5.2,2.7,-2.5
