Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Ryan Nembhard,G,33,33,1156,18.4,0.542,0.309,0.295,493,1,8.5,4.9,41.6,2.7,0.2,18.8,17.2,3,2.1,5.1,0.176,5,3,8,
2,Nolan Hickman,G,33,32,993,15.4,0.618,0.585,0.092,325,1.9,7.2,4.7,11.6,1.9,1.1,9.5,16.1,2.2,1.6,3.8,0.151,4.1,3,7.1,
3,Khalif Battle,G,33,29,870,17.7,0.595,0.502,0.413,381,1.6,12.7,7.4,8.9,2.5,0.4,11.4,23.2,2.1,1.7,3.8,0.174,2.8,3.3,6,
4,Graham Ike,F,33,31,744,32.4,0.651,0.084,0.44,499,11.1,25.8,18.8,12.7,1.7,3,11.1,32.2,3.5,1.8,5.3,0.284,8.4,3.4,11.8,
5,Ben Gregg,F,33,20,679,23.9,0.655,0.352,0.429,306,11.3,16.8,14.2,10.4,1.9,2.5,8.2,18.6,2.7,1.4,4.1,0.239,6.4,3.2,9.6,
6,Michael Ajayi,G,32,13,619,16.8,0.519,0.254,0.473,227,10.7,21,16.1,6.3,2.3,2,10,18.2,1.1,1.4,2.5,0.165,1.5,2.9,4.4,
7,Dusty Stromer,G,32,1,584,9.4,0.543,0.634,0.195,134,2.2,11,6.8,5.6,1.9,1.4,13,13,0.5,1,1.5,0.104,-0.3,3.3,3.1,
8,Braden Huff,F,33,2,527,27.2,0.596,0.108,0.154,303,9.4,13.2,11.4,12.2,1,4.1,4.5,29.2,2.1,1,3,0.229,6.3,2.4,8.6,
9,Emmanuel Innocenti,F,29,3,335,9.2,0.427,0.577,0.077,61,4.9,12.3,8.8,10.2,2.9,2,8.5,8.6,0.3,0.7,1,0.116,-0.6,5.5,5,
10,Ismaila Diagne,C,9,0,60,26.4,0.856,0,0.923,26,9.9,19.9,15.1,0,4.7,7.6,24.3,20.2,0.2,0.2,0.4,0.25,0.3,7.4,7.7,
11,Jun Seok Yeo,F,13,0,54,13.1,0.594,0.588,0.294,18,4.4,12.1,8.4,3,1.1,2.1,9.4,19.4,0.1,0.1,0.2,0.131,-3,1.5,-1.5,
12,Joe Few,G,13,1,35,1.1,0.334,0.2,0.1,8,3.4,6.2,4.9,12.2,3.2,0,22.3,18.9,-0.1,0.1,0,-0.001,-10.6,2.4,-8.2,
13,Joaquim ArauzMoore,G,4,0,10,24,0.417,0.5,0,5,23.6,21.7,22.6,0,5.7,0,0,29.5,0,0,0,0.191,3.1,4.4,7.5,
14,Noah Haaland,F,3,0,9,-2.8,0,1,0,0,0,36.2,18.9,0,0,0,0,5.5,0,0,0,0.02,-10.1,2.3,-7.8,
,Team Totals,,33,33,6675,,0.594,0.335,0.309,,,,,,,,,,17.6,13,30.6,0.184,3.9,3.2,7.1,
