Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Dozier Kintavious,34,28,911,18.5,0.556,0.509,0.331,0.415,404,3.2,10.1,6.7,8.6,2.4,0.6,11.7,26,,1.8,1.1,2.9,0.128,,1.8,-1.2,0.6
2,Tra'michael Moton,34,29,995,15.9,0.523,0.469,0.355,0.355,403,3,9,6.1,19.4,3.5,0.4,16.2,23.9,,1.2,1.4,2.6,0.106,,-0.7,-0.2,-1
3,Jourdan Smith,30,24,828,15.3,0.515,0.436,0.19,0.535,291,6.1,14.2,10.2,8.4,2,4.2,13.2,20.6,,1,1.2,2.3,0.111,,-2.8,-0.8,-3.5
4,Antwan Burnett,24,24,795,13.4,0.56,0.525,0.38,0.436,241,4.7,17.9,11.4,10.6,1.5,0.4,17.9,17.3,,0.9,1.1,1.9,0.098,,-1.1,-1.4,-2.5
5,Jalen Johnson,34,13,724,14.4,0.51,0.491,0.037,0.339,252,9,13.6,11.4,5.3,1.6,1.3,11.5,20.6,,0.8,0.9,1.7,0.096,,-2.9,-1.7,-4.6
6,Jonathan Aku,34,32,771,11.3,0.556,0.577,0,0.505,167,10.1,18.1,14.2,3.3,1.1,5,24.2,12.3,,0.3,1.2,1.5,0.076,,-4.5,-0.2,-4.7
7,Terrence Lewis,23,6,409,18.5,0.652,0.649,0.496,0.137,154,4.6,11,7.9,4.7,1.6,1.1,11.4,20.1,,1,0.5,1.5,0.148,,3.5,-0.9,2.6
8,Mikale Stevenson,34,8,596,11.1,0.497,0.445,0.372,0.336,180,2.1,10.2,6.2,24.2,3.2,1.1,27.1,19.1,,-0.1,0.9,0.7,0.05,,-3.4,-1.3,-4.7
9,Jimel Cofer,23,2,214,12.4,0.533,0.48,0.34,0.46,65,7.6,10.2,9,5.7,3.3,1.5,19.8,18.5,,0.1,0.3,0.5,0.086,,-2.6,0.1,-2.5
10,Quintin Murrell,20,2,168,4.4,0.427,0.339,0.357,0.714,36,6.7,8.7,7.7,5.6,1.8,0,19.4,14.4,,-0.1,0.2,0.1,0.03,,-7.4,-1,-8.4
11,Malik Lamin,18,0,116,-1.8,0.361,0.364,0,0.545,10,2.2,10.5,6.4,1.6,1,0,26.5,8.5,,-0.1,0.1,0,-0.006,,-9.8,-1,-10.8
12,Elvis Nnaji,3,0,18,7.1,0.256,0,1,2,2,14,27,20.6,0,0,6,33.9,8.6,,0,0,0,0.021,,-6.8,-6,-12.8
13,William Reynolds,5,0,20,6.9,0.429,0.429,0.714,0,6,0,6.1,3.1,10.3,0,0,0,18.3,,0,0,0,0.057,,-0.4,-5,-5.3
14,Zahad Munford,30,2,301,2.6,0.325,0.301,0.411,0.247,58,3.3,9.7,6.6,8.9,2.6,0.7,21.2,18,,-0.7,0.4,-0.3,-0.036,,-8.9,-1.5,-10.5
