Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Rayshon Harrison,35,35,1119,21.4,0.556,0.497,0.331,0.519,617,2.4,11.4,7.2,24.2,1.2,0.6,13.4,29.8,,3.6,1.5,5.1,0.182,,4.1,-0.7,3.3
2,Gabe McGlothan,35,35,1009,21.5,0.604,0.579,0.332,0.37,431,10.5,19.6,15.4,6.4,1.2,2.2,13.9,22.2,,2.9,1.8,4.7,0.186,,2.7,-0.3,2.5
3,Chance McMillian,35,23,1007,15.3,0.599,0.587,0.451,0.188,357,2.7,9.2,6.2,14.2,1.5,0.5,15.1,19.1,,2.2,1.3,3.5,0.138,,1.2,-0.4,0.9
4,Noah Baumann,35,3,751,15.5,0.624,0.589,0.742,0.29,236,3.1,14.8,9.4,6,1,0.8,10.2,16.3,,1.9,1.1,3,0.158,,3.4,0.3,3.7
5,Kobe Knox,33,15,521,17.6,0.621,0.611,0.492,0.352,177,4.7,7.4,6.2,14.3,2,4.7,15.4,16.8,,1.3,0.8,2.1,0.161,,2.1,0.9,3
6,Walter Ellis,32,1,468,15.9,0.704,0.668,0.796,0.276,139,1.8,15.3,9,8.3,1.5,0.2,12.6,14.1,,1.3,0.7,2,0.174,,0.9,0.8,1.8
7,Yvan Ouedraogo,27,26,652,12,0.503,0.495,0,0.718,157,10.8,16.2,13.7,3,1.6,3,16.9,13.2,,0.6,1.2,1.8,0.108,,-2,1,-1.1
8,Josh Baker,30,16,642,10.7,0.52,0.497,0.6,0.219,193,1.2,11.1,6.5,19.9,1.7,1.3,21.9,17.7,,0.5,0.9,1.5,0.091,,-1.6,0.2,-1.4
9,Jovan Blacksher,12,12,-331,15,0.48,0.432,0.347,0.271,127,1.5,7.7,4.8,17.4,3.3,0.9,11.9,23.7,,0.4,0.5,1,0.115,,-0.7,3.2,2.4
10,Aidan Igiehon,31,3,315,13.1,0.499,0.455,0.045,0.515,95,14.1,23.1,18.9,4.1,0.8,3.9,21.9,17.3,,0.2,0.6,0.9,0.108,,-2.8,0.4,-2.4
11,Logan Landers,13,0,95,13.5,0.598,0.591,0.455,0.136,30,9.1,13.5,11.4,12.3,0.6,0,17.6,15.5,,0.2,0.1,0.3,0.134,,-9.4,-0.9,-10.3
12,Isaiah Shaw,7,0,65,21.8,0.587,0.58,0.52,0.12,30,11.4,8.2,9.7,13,1.8,0,10.2,23.5,,0.2,0.1,0.3,0.192,,7,-1.6,5.4
13,Isaiah Carr,8,6,74,8.7,0.37,0.286,0,1.143,11,8.3,15.9,12.4,2.2,2.4,11.1,21.7,9.7,,0,0.2,0.2,0.085,,-5.9,1.1,-4.8
