Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Rayshon Harrison,G,33,33,1041,13.3,0.538,0.387,0.381,386.0,2.3,7.4,4.9,16.6,2.0,0.5,13.8,19.0,1.6,1.8,3.4,0.13,-0.3,0.2,-0.1,
2.0,JaKobe Coles,F,33,33,935,21.9,0.595,0.254,0.348,453.0,4.8,17.4,11.3,16.2,2.2,3.2,11.7,23.7,2.5,2.1,4.7,0.2,3.3,2.0,5.4,
3.0,Collin Moore,G,32,27,826,14.8,0.564,0.5,0.44,254.0,3.4,11.5,7.6,14.1,3.9,3.6,17.3,15.4,1.0,2.0,3.0,0.146,0.1,4.0,4.2,
4.0,Makaih Williams,G,33,20,805,10.8,0.506,0.416,0.561,294.0,3.7,7.2,5.5,18.0,2.7,0.9,20.8,20.3,0.4,1.5,2.0,0.098,-2.9,1.0,-2.0,
5.0,Duke Brennan,F,29,29,774,21.5,0.661,0.005,0.562,307.0,14.8,24.0,19.6,4.0,1.6,1.6,13.0,16.6,2.2,1.8,4.0,0.208,2.3,0.0,2.3,
6.0,Lok Wur,F,33,4,717,16.6,0.562,0.459,0.278,252.0,7.4,12.1,9.8,6.4,2.7,5.5,12.6,18.0,1.1,1.6,2.8,0.155,0.6,2.1,2.7,
7.0,Tyon Grant-Foster,G,25,16,681,19.7,0.498,0.325,0.604,350.0,4.7,19.6,12.4,14.8,3.6,6.1,15.1,30.1,0.5,1.9,2.5,0.144,0.7,2.9,3.6,
8.0,Caleb Shaw,G,31,3,529,13.5,0.594,0.435,0.384,184.0,5.6,10.8,8.3,9.7,1.7,0.4,16.0,17.5,0.8,0.9,1.8,0.134,-0.5,0.1,-0.4,
9.0,Styles Phipps,G,19,0,153,14.4,0.519,0.233,0.6,48.0,3.9,12.9,8.5,23.7,5.4,0.0,22.2,15.5,0.1,0.4,0.5,0.138,-5.0,2.3,-2.7,
10.0,Austin Maurer,C,19,0,80,12.7,0.531,0.375,0.25,22.0,10.3,10.9,10.6,8.7,0.7,5.2,10.1,11.9,0.1,0.1,0.3,0.137,-4.5,-1.7,-6.2,
11.0,Traivar Jackson,F,10,0,36,15.9,0.537,0.167,0.833,10.0,9.8,9.1,9.5,9.4,1.5,2.9,0.0,11.1,0.1,0.1,0.2,0.167,1.6,0.7,2.3,
12.0,Sammie Yeanay,F,5,0,28,15.6,0.594,0.2,0.2,11.0,12.6,15.6,14.2,0.0,2.0,3.7,21.5,23.8,0.0,0.1,0.1,0.091,-12.1,-3.4,-15.5,
13.0,Jason Amador,G,12,0,22,1.3,0.36,0.5,0.333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.007,-4.6,-2.7,-7.3,
,Team Totals,,33,33,6627,,0.559,0.339,0.442,,,,,,,,,,10.7,14.4,25.1,0.152,0.2,1.5,1.7,
