Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Carrington Love,36,35,1174,20.9,0.529,0.508,0.505,0.449,596,1.7,7.1,4.3,20.1,4.1,0.8,9.4,24.6,,2.7,1.5,4.3,0.146,,4.4,-0.7,3.7
2,Jordan Fouse,36,35,1137,20,0.511,0.466,0.349,0.362,488,6.3,21.3,13.5,17.8,3.5,4.2,14.9,20.5,,1.8,2.1,3.9,0.138,,1.4,3.9,5.3
3,Charles Cooper,36,36,962,18.6,0.542,0.482,0.106,0.682,471,6,15.4,10.5,9.9,2,0.6,14.3,24.3,,1.8,1.1,2.9,0.12,,-0.4,-1.3,-1.7
4,Khalil Small,36,28,859,15.7,0.556,0.528,0.352,0.31,349,6.4,9.1,7.7,8,2,1.1,12.5,19.5,,1.6,0.9,2.4,0.113,,1.4,-1.3,0.1
5,Jamar Hurdle,35,1,523,19.8,0.568,0.539,0.144,0.32,226,9,13.1,11,6.3,1.7,7.1,11.9,20.1,,1.1,0.7,1.8,0.141,,0,1.6,1.6
6,Kenneth Lowe,36,36,766,14.9,0.529,0.533,0,0.405,258,8.1,10.7,9.4,9.2,2.4,5.4,17.7,16.4,,0.7,1,1.7,0.091,,-1.4,2.9,1.5
7,Turner Botz,36,4,691,11.3,0.499,0.452,0.562,0.371,208,4.1,13.3,8.5,7.4,1.6,0.6,9.9,15,,0.8,0.7,1.5,0.088,,-0.2,-1.4,-1.6
8,Tevin Findlay,35,0,463,14.6,0.574,0.549,0.301,0.398,165,2.3,8.5,5.3,14.6,2.6,0.8,17,17,,0.7,0.5,1.2,0.101,,-0.1,-1.1,-1.2
9,Kerem Kanter,28,0,266,13.7,0.515,0.484,0.272,0.315,104,8.1,15.7,11.7,4,0.2,0.7,8.6,19.4,,0.4,0.2,0.7,0.1,,-1.6,-4.3,-5.9
10,Anthony Brown,29,5,324,8.4,0.528,0.472,0.226,0.679,75,1.5,10.5,5.8,9,2.4,0,21.3,12.2,,0.1,0.3,0.5,0.058,,-2.9,-0.6,-3.5
11,Avery Brown,15,0,81,11.9,0.427,0.448,0.517,0.276,29,6.1,10.5,8.2,12.4,2.6,0,10.9,20.2,,0,0.1,0.1,0.055,,-1.2,-2.3,-3.5
12,Henry Uwadiae,12,0,29,4.6,0.537,0.667,0,0.833,10,20.3,22.1,21.2,0,0,3.4,41.7,22.1,,-0.1,0,0,-0.029,,-10.1,-5.7,-15.9
