Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Quinton Chievous,27,27,922,22.2,0.581,0.597,0.182,0.458,433,9.4,24,16.5,13.9,1,0.4,15.4,23.7,,2.1,1.4,3.5,0.15,,1.7,-0.8,1
2,Reggie Johnson,32,32,1153,16.3,0.473,0.422,0.356,0.374,577,3.4,7.3,5.3,24.6,2.6,0.3,12.8,28.4,,1.6,1.4,3.1,0.106,,0.7,-1.9,-1.1
3,Brian Darden,32,32,1012,11.5,0.502,0.454,0.664,0.26,378,0.8,6.2,3.4,11.8,1.4,0.1,11.5,21.6,,1.3,1,2.3,0.09,,0.1,-3.4,-3.3
4,Lawrence Cooks,31,21,856,10.7,0.556,0.495,0.584,0.362,229,1.8,12.7,7,10.3,1.2,0.4,16.2,14.1,,1,1,2,0.094,,-1.1,-1.1,-2.2
5,Dionte Adams,32,21,618,16.3,0.518,0.484,0.024,0.476,179,12.6,18.4,15.4,5.6,1.2,6.2,15.7,13.9,,0.8,1.1,1.9,0.121,,-2.7,2.5,-0.2
6,Jervon Pressley,28,13,576,12.5,0.483,0.455,0,0.703,193,10.4,20.7,15.4,5.8,0.3,8.2,23.7,20.6,,-0.2,1,0.8,0.058,,-6.8,2.2,-4.6
7,Akim Mitchell,30,10,324,8.8,0.461,0.348,0.304,0.625,74,5.9,12.7,9.2,7.6,1.2,0.3,14.2,12.2,,0.2,0.4,0.6,0.077,,-3.7,-1.3,-5
8,Charles Wilson-Fisher,32,4,325,10.7,0.528,0.5,0.141,0.282,86,9.3,16.4,12.7,3.6,1.9,1.9,24.4,15.3,,0.1,0.5,0.6,0.07,,-4.9,-0.4,-5.3
9,Kalin Fisher,32,0,403,7.4,0.405,0.353,0.397,0.474,116,4.3,7.5,5.8,9.3,1.4,0.5,11.2,18.6,,0,0.4,0.4,0.042,,-4.3,-2.7,-7
10,Trevond Barnes,14,0,84,11.3,0.433,0.471,0.059,0.471,19,12.1,12.9,12.5,0,2,7.2,16.1,13.8,,0,0.1,0.1,0.068,,-6.7,0,-6.7
11,Devon Oakley,14,0,81,4.4,0.365,0.222,0.111,0.778,11,3.7,13.4,8.4,6.2,1.4,1.2,19.6,8.8,,0,0.1,0.1,0.038,,-6.7,0.1,-6.6
12,Branden Aughburns,13,0,32,6.9,0.268,0.192,0.077,0.308,9,12.7,17,14.7,0,0,15.8,6.3,23.2,,-0.1,0.1,0,0.012,,-13.4,0.3,-13.1
13,Imani Miller,24,0,121,2.8,0.313,0.222,0,0.889,15,4.2,8.1,6.1,16.4,2.8,0,43.9,8.8,,-0.1,0.2,0,0.004,,-7.3,0.4,-6.9
14,Gregory Hayden,9,0,18,-3.7,0.419,0.417,0.333,1.667,9,0,6,2.9,21.8,3.1,0,35.8,43.5,,-0.1,0,-0.1,-0.205,,-14.9,-4.6,-19.5
