Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Austin Williams,23,23,728,19.2,0.577,0.552,0.286,0.39,297,4.4,18.2,11.5,11.5,2.1,1.3,15.7,24,,1.5,1.5,2.9,0.161,,0.6,0.7,1.3
2,Traci Carter,23,23,726,16.9,0.507,0.479,0.421,0.202,277,1.2,10.5,6,23.8,4.9,1,17.2,23.7,,0.7,1.7,2.4,0.134,,-1,3.1,2.1
3,Hunter Marks,23,23,800,12.2,0.504,0.444,0.497,0.385,228,5,14.5,10,8,0.5,2.2,13.7,17.2,,0.9,1.3,2.1,0.106,,-0.7,-0.4,-1.1
4,DJ Mitchell,23,14,634,12,0.596,0.597,0.724,0.076,157,1.3,7.4,4.5,6.8,1.6,0,11.2,14.3,,1,0.9,1.9,0.117,,0.1,0.1,0.2
5,Miroslav Stafl,18,14,470,17.3,0.569,0.564,0.17,0.348,186,9.4,15.8,12.7,11.4,1.2,2.8,20,23.5,,0.7,0.9,1.5,0.132,,-1.3,-0.2,-1.5
6,PJ Henry,23,0,385,11.8,0.563,0.5,0.368,0.426,101,1.9,9.8,6,17.6,2.2,0,20.4,14.3,,0.5,0.6,1.1,0.119,,-2,0.8,-1.2
7,Michael Dunne,22,0,222,12.9,0.484,0.464,0.855,0.101,66,3.9,13.4,8.8,7.4,2.2,1.6,6.5,18.7,,0.3,0.4,0.7,0.125,,0.8,0.9,1.6
8,Thomas Webley,20,9,279,9.8,0.525,0.49,0,0.412,70,9.2,12.7,11,5,0,0.9,20.8,14.8,,0.2,0.4,0.6,0.082,,-2.8,-1.4,-4.3
9,Moses Flowers,9,9,275,12,0.487,0.447,0.479,0.287,100,4.4,17,10.9,9.5,4.2,0.9,24.1,27.5,,-0.3,0.7,0.4,0.058,,-4.1,1.3,-2.8
10,Matt Hobbs,6,0,7,-2.6,0,0,0,0,1,17.5,0,8.4,0,0,0,0,7.7,,0,0,0,-0.02,,-8,-2.8,-10.7
11,Cameron McCravy,9,0,12,9.5,0.808,1,0,0.5,3,0,0,0,0,0,0,28.8,15.6,,0,0,0,0.043,,-4.5,-1.6,-6.1
12,Rastislav Sipkovsky,7,0,9,-2.1,,,,,0,0,12.7,6.6,0,0,0,,0,,0,0,0,0.054,,-8.9,0.6,-8.4
13,Jakub Dombek,9,0,22,-5.1,0.188,0.188,0.875,0,3,5.6,31.1,18.8,0,0,0,11.1,22,,-0.1,0,-0.1,-0.097,,-9.7,-4.2,-13.9
14,AJ Gray,5,0,6,-23.9,0,0,0,0,0,0,19,9.8,0,0,0,33.3,26.9,,-0.1,0,-0.1,-0.383,,-22.4,-9,-31.5
15,Briggs McClain,12,0,25,-1.1,0.183,0.1,0.6,0.2,4,4.9,9.1,7.1,0,7.2,0,8.4,25.7,,-0.1,0.1,-0.1,-0.096,,-12.5,1.6,-10.9
