Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Wesley Saunders,30,29,1011,21,0.55,0.48,0.113,0.586,438,3.9,12.7,8.4,24.4,3.2,2.3,15.2,24,,2.4,2.4,4.7,0.187,,2.4,3.9,6.2
2,Laurent Rivard,32,31,1079,13.7,0.661,0.633,0.886,0.3,269,3,8,5.5,4.3,1.7,0.3,8.4,12.9,,2.4,1.9,4.3,0.16,,5.1,0.9,6.1
3,Steve Moundou-Missi,32,31,806,22.1,0.598,0.539,0.005,0.589,317,10.1,19.1,14.7,5.1,1.8,6,13,21.3,,2.1,2,4.1,0.206,,0.7,3.9,4.5
4,Siyani Chambers,32,32,1099,14.6,0.53,0.474,0.482,0.482,383,1.7,6.8,4.3,25.5,2.3,0.1,18.1,19.8,,1.6,2,3.6,0.132,,1.9,0.3,2.2
5,Kyle Casey,32,32,703,19.7,0.512,0.474,0.102,0.394,298,7.4,23.7,15.8,13.6,1.9,5.9,13.2,26.3,,1,1.9,3,0.169,,-1.3,4.7,3.4
6,Brandyn Curry,23,4,600,18.3,0.559,0.551,0.494,0.315,213,2.5,11.3,7,22.4,3.3,2.3,14.6,20.1,,1.1,1.4,2.5,0.167,,3.3,3,6.4
7,Jonah Travis,30,0,385,21.2,0.627,0.56,0,0.96,144,15.5,14.8,15.1,4.2,2.6,2,12.8,17.3,,1.2,0.9,2.1,0.222,,2.6,1.8,4.5
8,Evan Cummins,30,0,303,15.2,0.587,0.557,0,0.393,84,7.1,16.4,11.9,8,2,7.8,22.5,16.4,,0.3,0.8,1,0.138,,-2.2,6,3.9
9,Agunwa Okolie,25,0,225,13,0.571,0.58,0.045,0.659,63,7.4,14.5,11,6.3,1.9,1.5,20.6,17.2,,0.2,0.5,0.7,0.117,,-1.9,1.6,-0.3
10,Zena Edosomwan,22,0,126,20.1,0.474,0.439,0,0.386,65,20.2,17.3,18.7,5.9,0.5,5.4,11.8,32.3,,0.2,0.3,0.5,0.145,,-3.4,-0.9,-4.2
11,Matt Brown,10,0,21,13.1,0.877,,,,5,0,17.3,8.9,7.9,0,0,26,9.8,,0.1,0,0.1,0.178,,-0.2,-0.3,-0.5
12,Matt Fraschilla,7,0,17,22,1,1,1,0,4,0,0,0,12.1,7.3,0,25,12.5,,0,0,0.1,0.204,,6.6,0.9,7.5
13,Dee Giger,11,1,53,9.8,0.421,0.421,0.526,0,15,2.4,9.1,5.9,12,7,2.1,20.8,24.1,,-0.1,0.2,0.1,0.056,,-3.4,4.7,1.3
14,Alex Nesbitt,15,0,53,3.7,0.392,0.25,0.25,1.25,8,2.4,4.6,3.5,19.3,1.2,0,23.9,8.4,,0,0.1,0.1,0.074,,-3.2,-0.6,-3.8
15,Charlie Anastasi,6,0,10,-0.4,0,0,0,0,2,25.5,24.2,24.8,16.5,0,0,66.7,16,,0,0,0,-0.086,,-10.4,2.9,-7.5
16,Michael Hall,4,0,4,-20.5,,,,,0,0,0,0,0,0,0,100,13.3,,0,0,0,-0.224,,-16.4,1.9,-14.5
17,Hunter Myers,2,0,2,60.4,1.5,1.5,1,0,1,0,60.5,31,0,0,0,50,53.3,,0,0,0,-0.125,,9.9,-11,-1
18,Kenyatta Smith,2,0,3,-15.1,0,0,0,0,0,0,0,0,0,0,0,0,17.8,,0,0,0,-0.192,,-17.3,-3.4,-20.7
