Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Kezza Giffa,G,33,33,931,18.9,0.584,0.377,0.557,473.0,2.0,8.3,5.3,15.6,0.8,0.1,11.8,26.0,3.1,1.0,4.1,0.177,2.3,-2.1,0.3,
2.0,Kimani Hamilton,F,34,34,832,24.7,0.607,0.281,0.513,465.0,9.9,13.0,11.5,17.6,2.4,2.0,14.4,26.8,3.2,1.4,4.6,0.219,4.6,0.2,4.8,
3.0,D'maurian Williams,G,31,31,830,21.1,0.595,0.367,0.415,405.0,3.7,10.9,7.5,15.6,1.7,0.4,10.2,24.0,3.0,1.1,4.1,0.198,3.7,-0.9,2.8,
4.0,Chase Johnston,G,34,33,748,13.7,0.617,0.843,0.021,207.0,1.0,8.3,4.9,6.9,3.0,0.0,9.0,14.4,1.5,1.1,2.7,0.143,1.5,1.0,2.5,
5.0,Juslin Bodo Bodo,F,34,34,729,20.6,0.621,0.0,0.655,216.0,18.6,28.0,23.5,1.1,1.6,7.3,14.3,11.7,1.8,1.7,3.5,0.192,2.3,0.8,3.1,
6.0,Bobby Pettiford,G,29,0,621,22.3,0.649,0.108,0.273,280.0,2.4,10.8,6.8,29.1,2.9,0.2,15.7,19.3,2.2,1.0,3.2,0.208,2.7,1.1,3.8,
7.0,Trae Benham,G,34,1,506,11.7,0.588,0.869,0.168,130.0,6.2,13.0,9.8,2.8,1.3,0.4,8.7,12.7,1.0,0.7,1.7,0.133,1.5,-0.4,1.2,
8.0,Abdoulaye Thiam,G,34,4,477,15.6,0.603,0.468,0.208,172.0,1.3,9.5,5.6,4.9,1.4,0.2,10.1,20.1,1.1,0.6,1.6,0.138,0.8,-1.2,-0.5,
9.0,Terry Anderson,F,25,0,334,18.8,0.58,0.22,0.439,126.0,10.6,15.3,13.1,12.3,2.5,1.0,15.4,17.8,0.8,0.6,1.4,0.164,2.6,0.8,3.4,
10.0,Simon Hildebrandt,F,24,0,327,14.0,0.588,0.54,0.31,128.0,8.1,18.7,13.7,5.3,0.7,1.7,17.9,21.8,0.6,0.5,1.1,0.133,-1.7,-1.0,-2.7,
11.0,Josh Ibukunoluwa,F,24,0,236,19.4,0.602,0.107,0.268,80.0,11.2,22.6,17.2,6.6,1.8,6.1,11.2,15.3,0.6,0.5,1.1,0.189,-0.2,1.3,1.0,
12.0,Titas Sargiunas,G,13,0,87,-1.1,0.371,0.5,0.077,20.0,0.0,7.8,4.1,9.2,1.4,0.0,27.1,21.6,-0.2,0.1,-0.1,-0.057,-9.7,-2.8,-12.4,
13.0,Braden Hausen,F,7,0,57,11.0,0.673,0.727,0.455,17.0,0.0,4.0,2.1,11.2,0.0,3.9,18.3,14.6,0.1,0.1,0.2,0.123,-1.8,-0.9,-2.7,
14.0,Ivan Matlekovic,F,5,0,30,25.3,0.767,0.0,0.125,12.0,12.6,22.7,17.9,6.5,0.0,14.8,26.1,19.5,0.1,0.1,0.1,0.187,-8.1,-3.9,-12.0,
15.0,Liam Carney,G,9,0,28,18.7,0.527,0.222,0.778,13.0,13.5,16.2,14.9,0.0,2.1,0.0,0.0,22.4,0.1,0.0,0.1,0.21,-9.9,-1.7,-11.6,
16.0,David Fonville,G,5,0,22,20.7,0.563,0.375,0.0,8.0,0.0,10.3,5.4,8.5,5.4,0.0,0.0,18.5,0.1,0.0,0.1,0.189,4.2,1.1,5.3,
17.0,Andrew Sineway,G,9,0,18,31.4,0.692,0.286,0.286,9.0,7.0,18.9,13.3,12.7,3.3,0.0,0.0,22.5,0.1,0.0,0.1,0.302,3.9,5.2,9.0,
18.0,Birgir Irving,F,9,0,15,12.3,0.5,0.2,0.0,5.0,8.4,7.6,8.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.114,4.8,-1.8,3.0,
,Team Totals,,34,34,6828,,0.601,0.389,0.372,,,,,,,,,,19.0,10.7,29.7,0.174,2.0,-0.2,1.8,
