Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Malachi Alexander,35,35,1147,17.6,0.576,0.556,0.389,0.464,419,6,15.7,10.6,20.4,1.7,0.6,14.6,20.1,,2.3,1,3.3,0.114,,1.3,-1.1,0.2
2,Karl Charles,35,35,993,17.3,0.557,0.479,0.392,0.592,381,5,13.6,9.1,20,2.3,2.6,18.2,22.6,,1.5,1,2.5,0.101,,-0.4,-0.1,-0.5
3,Robert Champion,35,13,964,17.5,0.557,0.532,0.492,0.327,374,2.9,19.4,10.8,13.7,2.3,0.8,13.1,24.9,,1.3,1.1,2.4,0.098,,0.1,-1.7,-1.6
4,Cullen Hamilton,35,35,964,10.5,0.484,0.444,0.34,0.25,278,2,8.5,5.1,14.1,1.5,0.1,11.5,19.4,,0.4,0.5,1,0.04,,-3.5,-3,-6.5
5,Matt Husek,35,18,616,13.2,0.522,0.5,0.339,0.228,190,3.6,17.5,10.2,15.4,1,6,17.1,20.5,,0.3,0.7,0.9,0.059,,-4.2,0.7,-3.5
6,Anthony Thompson,35,33,1135,8.1,0.422,0.358,0.664,0.328,266,1.5,8.5,4.8,16.1,2,0,11,16,,0.1,0.7,0.9,0.031,,-3.1,-2.2,-5.4
7,Jehyve Floyd,29,0,272,15.2,0.598,0.644,0,0.373,78,7.4,13.4,10.2,11.8,2.3,9.9,23.2,18.3,,0.1,0.4,0.5,0.077,,-4.7,4.2,-0.5
8,Eric Green,19,6,327,11.9,0.47,0.482,0.059,0.212,81,5.1,11.9,8.3,6.5,2.3,0.8,8.8,17.3,,0.1,0.3,0.4,0.044,,-5.3,-1.6,-7
9,Matt Zignorski,32,0,435,8.2,0.47,0.451,0.54,0.133,105,1.6,7.2,4.3,10.7,2.4,0.3,15.5,18,,-0.1,0.3,0.2,0.015,,-4.7,-2.8,-7.5
10,Pat Benzan,27,0,155,6,0.353,0.25,0.125,0.75,30,4.6,14.2,9.2,15.3,2,0,17.7,14.1,,-0.1,0.1,0,0.01,,-7.8,-1.4,-9.2
11,Thomas Kennedy,11,0,16,-1.8,0,0,1,0,0,0,8.1,3.9,0,0,0,0,3.4,,0,0,0,-0.044,,-10,-3.2,-13.2
12,Derek Mountain,4,0,7,1.5,0.333,0.333,0,0,2,16.9,37.1,26.5,0,0,0,25,31.5,,0,0,0,-0.131,,-20.5,-11.5,-31.9
13,Patrick Rielly,11,0,14,3.2,0.276,0.25,0.25,0.75,3,0,37.1,17.7,0,0,0,0,21.4,,0,0,0,-0.062,,-16.4,-9.7,-26
14,Isaiah Baker,9,0,33,-0.8,0.341,0.4,0,1.6,7,7.2,11.8,9.4,6.3,0,3.9,25.4,19.7,,-0.1,0,-0.1,-0.084,,-12.7,-2.1,-14.8
15,Marcellis Perkins,18,0,47,2.5,0.281,0.286,0.286,0.571,12,12.6,13.8,13.2,0,1.3,0,10.6,22.1,,-0.1,0,-0.1,-0.062,,-11.6,-8.2,-19.7
