Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jamal Shead,34,34,1066,22.9,0.497,0.46,0.326,0.234,505,3.1,10.8,6.8,39.6,4.5,2.2,13,24.8,,2.9,3.1,6,0.225,,6.5,6.9,13.4
2,LJ Cryer,34,34,1091,18.3,0.546,0.52,0.602,0.143,458,2.1,6.2,4.1,11.8,2.1,0.4,5.7,23.9,,3.2,2.3,5.6,0.204,,6.1,3.3,9.4
3,J'Wan Roberts,33,33,880,23.4,0.578,0.582,0.004,0.328,323,10.7,18.2,14.4,14.1,3,4.7,12.1,17.9,,2.3,2.7,5,0.228,,5.6,6.1,11.7
4,Emanuel Sharp,34,29,945,17.6,0.54,0.477,0.611,0.362,374,4,11.3,7.5,6.4,3.4,0.1,8.8,23,,2.3,2.5,4.9,0.206,,3.7,4.6,8.4
5,Ja'Vier Francis,34,34,688,21.6,0.636,0.649,0,0.463,202,12.2,17.5,14.8,1.7,2.7,10.1,13.7,14.2,,1.6,2.2,3.8,0.219,,2.1,6,8.1
6,Joseph Tugler,28,1,-448,17.9,0.539,0.551,0.026,0.526,115,12.9,16.2,14.5,3.2,3.6,9.1,11.8,12.7,,0.7,1.5,2.2,0.2,,-0.7,6.5,5.8
7,Mylik Wilson,33,0,508,15.5,0.459,0.438,0.188,0.239,145,6.8,18.5,12.4,9.5,3.8,3.5,12.5,17.8,,0.4,1.6,2,0.158,,0.4,6,6.4
8,Damian Dunn,34,4,595,11.3,0.47,0.421,0.389,0.405,195,4.6,10.4,7.4,4,2.9,1.1,13.7,22.7,,0.2,1.5,1.8,0.119,,-1.1,3.5,2.4
9,Ramon Walker,24,0,-263,12,0.486,0.417,0.556,0.722,58,10.7,20.1,15.2,5.6,1.7,0,12.6,10.8,,0.4,0.7,1.1,0.165,,0.3,3.6,3.9
10,Terrance Arceneaux,11,0,-201,18.4,0.454,0.439,0.368,0.333,65,12.4,15.7,14,7.3,3.1,4.1,5.7,17.9,,0.4,0.6,1,0.189,,2.6,4.5,7.1
11,Cedric Lath,22,0,113,3.1,0.297,0.286,0,0.429,11,11.5,6.2,9,0,0.6,6,32.2,5.7,,0,0.2,0.2,0.072,,-4.8,3,-1.8
12,Ryan Elvin,19,1,52,3.6,0.385,0.333,0.733,0.267,12,0,4.5,2.2,6.7,1.2,0,10.6,18.7,,0,0.1,0.1,0.054,,-5,1.5,-3.5
