Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,LJ Cryer,G,34,34,1098,18.4,0.573,0.575,0.199,460,1.3,6.9,4.1,11,1.7,0.4,7.8,23.9,3.4,2.1,5.4,0.198,7.1,3.5,10.6,
2,Milos Uzan,G,34,34,1066,18.2,0.561,0.378,0.167,413,1.4,10.3,5.8,26.4,2,0.4,11.7,19.9,3,2.3,5.3,0.197,5.2,4.5,9.7,
3,J'Wan Roberts,F,31,31,850.5,18.3,0.525,0,0.329,348,9.5,15.4,12.5,10.7,2.1,3.3,14.2,21.2,1.6,2.3,3.9,0.166,3.6,4.7,8.3,
4,Emanuel Sharp,G,31,30,833,21.2,0.63,0.658,0.38,338,1.9,12.1,7,6.4,3.2,0,7.5,21.6,3.1,2,5.1,0.245,7,5.9,12.9,
5,Joseph Tugler,F,34,27,748,19.9,0.546,0.076,0.421,221,14,17.4,15.7,7.2,2.7,13.1,16.7,15,1.3,2.3,3.6,0.194,2.1,7.6,9.6,
6,Terrance Arceneaux,G,34,6,727,16.9,0.541,0.373,0.229,231,5.8,10.3,8,7.4,3,2.3,9.4,18.1,1.4,1.7,3.2,0.175,3.9,5.4,9.3,
7,Mylik Wilson,G,34,1,593,20.2,0.508,0.167,0.156,212,7.1,19.7,13.4,15,4.8,1.6,12.3,20.6,1,1.9,2.9,0.196,3.6,7.4,11,
8,Ja'Vier Francis,F,32,7,493,19.9,0.625,0.01,0.592,167,15.6,17.8,16.7,2.2,1.8,8.5,20.8,17.2,1,1.4,2.4,0.193,1.9,5.1,7,
9,Mercy Miller,G,20,0,175,11,0.407,0.439,0.526,59,6.2,19.3,12.7,7,2.2,1.6,10.1,24.3,0,0.5,0.5,0.114,-3.9,2.4,-1.5,
10,Cedric Lath,C,18,0,104,8.8,0.42,0,0.9,20,18.5,6.9,12.7,1.6,0.6,6.7,17.4,8.9,0.1,0.2,0.3,0.112,-3.9,2.4,-1.5,
11,Ramon Walker Jr.,G,8,0,92,12.6,0.596,0.333,0.25,16,7.8,17,12.4,0,1.4,3,6.9,8.4,0.1,0.2,0.4,0.159,0.9,4.1,5,
12,Kordelius Jefferson,G,14,0,50,-0.9,0.367,0.667,0,9,0,4.8,2.4,0,1.3,2.8,16.7,19.3,-0.1,0.1,0,-0.008,-10.5,1.5,-9.1,
,Team Totals,,34,34,6924,,0.557,0.345,0.282,,,,,,,,,,16,17,33,0.19,4.1,5.1,9.2,
