Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Elijah Hawkins,30,28,891,18.1,0.589,0.537,0.41,0.489,437,2.1,12.2,7.3,37.3,3.2,0,26.3,24.1,,1.8,1.4,3.2,0.145,,0.4,-0.4,0
2,Steve Settle,31,31,913,14.8,0.537,0.475,0.389,0.415,318,4.3,18.2,11.4,7.1,2.1,3.5,16.8,20,,1,1.6,2.7,0.116,,-0.6,0.5,-0.2
3,Shy Odom,30,22,654,20.6,0.577,0.549,0.058,0.547,314,10.5,13.3,11.9,13.1,2.2,2.7,15.9,24.5,,1.6,1.1,2.6,0.161,,0.8,0.4,1.2
4,Marcus Dockery,30,18,666,16.8,0.631,0.614,0.686,0.176,242,2.3,10.2,6.3,8.7,1.7,0.3,11.6,18.6,,1.7,0.8,2.5,0.148,,2.7,-1.2,1.5
5,Jelani Williams,34,16,865,14.3,0.526,0.488,0.297,0.348,324,6.3,13.9,10.2,15.8,2.7,0.3,18.3,20.3,,1.1,1.4,2.5,0.116,,-1.5,0.2,-1.3
6,Bryce Harris,33,16,533,21.4,0.625,0.611,0.229,0.259,219,13.4,12.3,12.8,7.3,1.6,4.2,14.3,19.6,,1.5,0.8,2.2,0.168,,1.6,-0.7,0.9
7,Jordan Wood,34,32,711,12.9,0.494,0.486,0.579,0.075,263,4.3,16.3,10.4,6.9,1.4,3,11.9,23.2,,0.6,1.1,1.7,0.096,,-1.5,-1.3,-2.8
8,Kobe Dickson,30,6,441,11.3,0.608,0.592,0.051,0.49,159,10,7,8.5,16.6,0.4,1.8,29.7,18.7,,0.4,0.4,0.8,0.077,,-3.6,-1.7,-5.4
9,Khalil Robinson,26,0,301,7.3,0.514,0.488,0.463,0.244,58,2.8,7.2,5,14.7,1.3,0,23.4,9.5,,0.2,0.3,0.5,0.068,,-2.6,-0.2,-2.7
10,Miles Stewart,21,0,161,13.4,0.539,0.541,0.351,0.216,42,8.1,24.2,16.3,3.4,1.7,4.8,16.4,14.5,,0.1,0.3,0.5,0.113,,-5,-0.7,-5.7
11,Ose Okojie,27,1,254,7.2,0.543,0.515,0,0.364,50,7.9,6.3,7.1,7.9,2.6,0.4,30.5,10.5,,0.1,0.3,0.4,0.064,,-6.2,1.1,-5.1
12,Reece Brown,9,0,72,12.8,0.634,0.727,0,1.364,24,6.6,11.1,8.9,15,1.5,1.5,27.9,16.7,,0.1,0.1,0.2,0.097,,-6.7,-1.7,-8.3
13,Talin Lewis,12,0,58,5.3,0.471,0.452,0.19,0.238,20,4.1,7.9,6,10.1,1,0,23,25.1,,-0.1,0.1,0,0.001,,-4.8,-2.1,-6.9
14,Freedom Rhames,17,0,87,1.6,0.413,0.3,1,0.7,15,6.8,5.3,6,8.9,1.3,0,34.4,11.2,,-0.1,0.1,0,0.016,,-6.3,-2.4,-8.7
15,Ayodele Taiwo,9,0,40,10.4,0.55,0.444,0,0.444,13,14.8,20.1,17.5,4.4,0,11.1,39.1,21.5,,0,0.1,0,0.028,,-9,0.1,-8.9
16,Thomas Weaver,25,0,176,1.1,0.458,0.468,0.581,0.194,30,0,6.5,3.3,8.5,1.6,0,30.7,13.3,,-0.2,0.2,0,-0.001,,-9.2,-1,-10.2
