Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Kofi Cockburn,26,26,786,32.8,0.615,0.598,0,0.52,477,12.9,26.5,19.8,6.9,1.5,2.8,11.5,32.4,,3.4,1.6,5,0.253,,7.6,1.7,9.3
2,Alfonso Plummer,31,27,935,16.7,0.604,0.567,0.66,0.24,380,1.4,7.8,4.7,7.2,0.5,0,9.3,22.6,,2.8,0.9,3.7,0.156,,4.6,0.3,4.9
3,Trent Frazier,29,28,1007,15.3,0.547,0.514,0.62,0.202,360,1.8,7.1,4.6,21.6,2.2,0.4,14,18.6,,2.3,1.3,3.6,0.142,,3,2.9,5.9
4,Jacob Grandison,28,23,500,17.3,0.598,0.578,0.598,0.152,279,5,12,8.6,17.3,0.8,0.6,13,18.9,,2.1,0.9,3,0.161,,5.3,2,7.3
5,Da'Monte Williams,31,28,901,9.3,0.42,0.404,0.566,0.235,170,4.1,15.1,9.8,14.4,1.6,1.2,15.2,10,,0.7,1.4,2.1,0.092,,0.7,3.9,4.6
6,Coleman Hawkins,31,12,576,16.4,0.535,0.504,0.426,0.418,199,9.1,16.1,12.7,14.7,2.6,2.7,20.7,18.7,,0.9,1.1,2,0.135,,2,4.2,6.3
7,RJ Melendez,21,1,167,23.6,0.682,0.641,0.326,0.413,70,6.3,17.2,11.9,14,2.1,1.7,15.4,19.6,,0.6,0.3,0.9,0.215,,6.7,3.9,10.6
8,Benjamin Bosmans-Verdonk,22,2,100,14.1,0.442,0.472,0,0.472,55,15.8,15.6,15.7,14.3,2.2,0,10.2,13.5,,0.3,0.3,0.6,0.141,,0.3,3.1,3.4
9,Luke Goode,27,0,230,10.1,0.492,0.479,0.792,0.125,57,7.1,14.4,10.8,11,0.3,1.2,12.1,12.7,,0.3,0.3,0.6,0.108,,1.3,1.7,3
10,Omar Payne,31,3,233,11.9,0.602,0.606,0,0.758,56,9.5,16.1,12.9,3.7,0.8,9.9,28.6,13.6,,0.1,0.5,0.6,0.106,,-4.3,5.9,1.5
11,Andre Curbelo,17,4,327,11.1,0.427,0.37,0.225,0.341,156,3.9,14.9,9.5,32.7,2.3,0.6,21.9,31.7,,-0.1,0.5,0.4,0.054,,-2.1,2.1,0
12,Brandin Podziemski,16,0,69,12.1,0.526,0.5,0.684,0.211,22,3.4,20.8,12.3,13.3,0.9,0,16.1,18.2,,0.1,0.1,0.2,0.112,,-1.6,1.9,0.2
13,Brandon Lieb,10,0,24,21.8,0.731,0.8,0,0.2,8,19.4,13.8,16.5,8.4,0,4,15.4,13.6,,0.1,0,0.1,0.188,,1.9,2,3.9
14,Austin Hutcherson,4,1,0,5,0.486,0.375,0.5,0.875,12,3.8,10.9,7.4,5.4,1.9,1.6,34.6,14.3,,-0.1,0.1,0,0.021,,-3,1.4,-1.6
15,Connor Serven,6,0,12,-2.5,0,0,1,0,0,0,9.2,4.7,0,0,0,0,4.2,,0,0,0,-0.021,,-5.6,-0.7,-6.3
