Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Kylan Boswell,G,33,32,1008,15.5,0.526,0.435,0.442,418.0,4.9,11.7,8.5,18.7,2.1,0.8,15.4,20.5,1.8,1.5,3.3,0.131,2.2,3.5,5.7,
2.0,Kasparas Jakucionis,G,31,31,977,18.0,0.597,0.492,0.498,493.0,4.7,13.7,9.4,25.9,1.6,0.8,22.2,24.0,2.2,1.4,3.6,0.149,4.3,2.7,7.0,
3.0,Ben Humrichous,F,33,26,876,12.1,0.528,0.753,0.136,249.0,5.1,9.8,7.6,5.8,1.0,2.3,6.0,14.2,1.5,1.1,2.6,0.118,3.6,3.0,6.5,
4.0,Will Riley,F,33,7,840,17.7,0.528,0.403,0.321,405.0,5.4,11.4,8.6,17.0,0.6,0.8,8.6,23.9,2.2,1.0,3.2,0.151,5.0,1.6,6.5,
5.0,Tomislav Ivisic,C,30,29,796,21.6,0.597,0.463,0.206,364.0,7.4,22.4,15.3,16.0,1.2,3.7,13.2,21.4,2.2,1.5,3.7,0.185,5.9,4.3,10.2,
6.0,Tre White,G,30,29,688,19.4,0.617,0.303,0.483,295.0,7.1,17.2,12.4,6.2,1.0,1.4,10.7,19.8,2.0,1.0,3.1,0.179,4.3,3.3,7.6,
7.0,Dra Gibbs-Lawhorn,G,33,2,515,12.2,0.544,0.563,0.207,189.0,5.6,5.7,5.7,5.8,1.2,0.3,10.7,19.5,0.9,0.5,1.4,0.109,0.7,1.9,2.6,
8.0,Morez Johnson Jr.,F,28,8,499,23.1,0.643,0.0,0.737,204.0,17.4,22.3,19.9,2.8,1.2,5.8,13.0,16.6,1.5,1.0,2.5,0.203,4.0,3.7,7.8,
9.0,Jake Davis,F,31,1,300,10.3,0.541,0.753,0.071,89.0,6.3,9.4,7.9,5.6,0.2,1.5,8.3,15.0,0.5,0.3,0.8,0.108,1.6,1.8,3.4,
10.0,Carey Booth,F,21,0,108,3.1,0.372,0.758,0.121,24.0,3.1,17.8,10.8,1.5,0.0,3.3,14.7,17.7,-0.1,0.2,0.0,0.009,-4.8,0.8,-4.0,
11.0,AJ Redd,G,14,0,28,5.1,0.191,0.0,1.2,5.0,7.9,21.6,15.1,10.5,2.0,3.1,11.3,14.8,-0.1,0.1,0.0,-0.006,-4.8,3.7,-1.2,
12.0,Keaton Kutcher,G,13,0,22,6.3,0.417,0.833,0.0,5.0,0.0,13.8,7.2,7.3,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.069,-3.9,0.7,-3.2,
,Team Totals,,33,33,6657,,0.562,0.469,0.346,,,,,,,,,,14.6,9.7,24.3,0.146,3.5,2.9,6.4,
