Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Yogi Ferrell,34,34,1186,21.7,0.586,0.539,0.478,0.313,571,2.1,8.6,5.4,26.7,1.2,0.1,12.1,23,,4.8,0.4,5.3,0.177,,7.9,-1.5,6.4
2,James Blackmon,33,33,989,21.2,0.548,0.512,0.473,0.257,477,6.3,14.3,10.4,10.2,1.3,0.2,10.1,26.9,,3.1,0.6,3.8,0.152,,5.4,-1.6,3.8
3,Troy Williams,32,28,882,24.3,0.587,0.55,0.044,0.403,416,9.5,21.7,15.7,14.7,2.2,1.7,16.7,24.5,,2.7,1,3.7,0.169,,4.1,2.4,6.6
4,Nick Zeisloft,34,7,665,15.5,0.68,0.674,0.886,0.108,194,3.9,9.3,6.6,5.9,1,0.3,7.8,13.7,,2,0.3,2.3,0.138,,7.5,-1.2,6.3
5,Collin Hartman,32,12,631,14.7,0.649,0.642,0.598,0.343,162,8.6,9.4,9,6.9,1.5,3,15.6,11.3,,1.5,0.4,1.9,0.119,,5.6,2.1,7.7
6,Robert Johnson,34,33,917,12.4,0.54,0.529,0.517,0.166,297,1.8,10.6,6.3,15.5,1.9,0.1,20.3,19.4,,1,0.6,1.6,0.069,,2.5,0.1,2.5
7,Hanner Mosquera-Perea,26,22,505,17.2,0.597,0.594,0,0.689,158,8.7,16.8,12.8,2.2,0.7,6.5,16.6,16.9,,0.9,0.5,1.4,0.112,,0.6,2.2,2.8
8,Emmitt Holt,29,0,332,20.5,0.627,0.65,0,0.833,107,13.5,16.6,15.1,2.7,1.3,6.2,11.6,14.5,,1,0.4,1.3,0.158,,3.3,2.4,5.7
9,Max Hoetzel,31,0,240,12,0.553,0.518,0.518,0.375,71,4.9,14.8,9.9,7.2,1,1.2,16.5,16.7,,0.4,0.2,0.5,0.088,,1.8,-0.6,1.2
10,Stanford Robinson,32,1,366,9.7,0.387,0.33,0.1,0.53,120,7.1,11.9,9.5,18.2,2.8,1.9,19.3,21.5,,0,0.4,0.3,0.035,,-2.1,2,-0.1
11,Ryan Burton,14,0,49,14.5,1,1,0,0,10,9.6,14,11.9,10.3,0,0,0,4.1,,0.2,0,0.2,0.146,,6.3,-0.5,5.8
12,Jeremiah April,4,0,17,29.1,1,1,0,0,5,7,27,17.1,11.8,3.5,11.6,25,11.9,,0.1,0,0.1,0.225,,6.1,9.5,15.6
13,Nate Ritchie,6,0,15,25.7,0.513,0,0,2,5,23.6,22.9,23.3,19.7,4,0,0,6.6,,0.1,0,0.1,0.245,,8.6,4.6,13.2
14,Jordan Fuchs,3,0,8,2.4,0,0,0,0,2,44.3,28.7,36.4,0,0,0,0,19,,0,0,0,-0.052,,-9.6,-9.8,-19.4
15,Tim Priller,8,0,23,-4.1,0.167,0.167,0.5,0,2,5.1,10,7.6,0,2.6,8.6,25,17.6,,-0.1,0,-0.1,-0.115,,-9.8,3.1,-6.7
