Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Nelly Junior Joseph,34,33,1079,25.1,0.576,0.551,0.015,0.639,507,13,20.9,17,6.9,2.3,5.2,12.8,23.7,,3.1,2.7,5.8,0.215,,2.3,0.8,3.2
2,Walter Clayton,31,30,938,25.5,0.596,0.545,0.413,0.264,484,2,14.1,8,20.6,3.7,2.1,11.1,26.4,,3.4,2.2,5.5,0.236,,5.4,3.2,8.6
3,Daniss Jenkins,34,34,1143,19.9,0.516,0.482,0.333,0.238,559,4,11,7.5,27.7,2.2,1.8,13.1,26,,2.7,2.1,4.9,0.171,,3.1,0.6,3.7
4,Osborn Shema,33,28,867,16.4,0.585,0.571,0.339,0.235,249,7.3,13.5,10.4,10.3,1.5,5.2,14,13.7,,1.7,1.7,3.4,0.156,,1.2,1.8,3
5,Berrick JeanLouis,31,29,882,14.9,0.532,0.517,0.295,0.167,249,5.1,11.9,8.5,12,2,4,11.3,14.5,,1.4,1.8,3.2,0.143,,0.1,2.2,2.3
6,Anton Brookshire,31,0,298,16.3,0.584,0.57,0.729,0.084,110,2.3,10.3,6.3,8,1.2,0.7,7.5,20.2,,0.7,0.5,1.2,0.161,,3.2,-0.5,2.7
7,Cruz Davis,23,7,-445,11.6,0.506,0.467,0.301,0.265,143,2.1,6.1,4.1,9,2.1,1.9,14,20,,0.4,0.7,1.1,0.098,,-1.8,0.2,-1.6
8,Quinn Slazinski,7,3,-186,16.6,0.522,0.493,0.456,0.235,76,6.1,18.3,12.3,12.8,1.2,1.2,13.7,23.6,,0.3,0.4,0.7,0.142,,1.8,-0.2,1.7
9,Sadiku Ibine Ayo,24,4,251,10,0.471,0.451,0.328,0.164,60,5.5,10.9,8.2,3.3,2.1,2.6,13.2,15.1,,0.1,0.5,0.6,0.092,,-2,0.7,-1.3
10,Silas Sunday,26,1,126,17.1,0.547,0.548,0,0.194,43,19.1,18.1,18.6,5.6,0.9,3.4,17.1,16.2,,0.2,0.3,0.5,0.157,,-1.4,-1.1,-2.5
11,Parker Weiss,29,1,282,4.2,0.47,0.484,0.781,0.063,31,2,3.2,2.6,3.2,1.9,0.4,13.2,6.7,,0.1,0.4,0.5,0.066,,-3.7,1.3,-2.4
12,Michael Jefferson,20,0,265,5.5,0.408,0.389,0.533,0.133,51,5.6,9.4,7.5,11.6,2,0.4,22.6,11.7,,0,0.5,0.4,0.067,,-4.7,0.9,-3.7
13,Keither Florence,11,0,45,4.2,0.471,0.583,0.333,0.5,9,7.6,12.6,10.1,14,1.3,2.4,35,12.7,,0,0.1,0.1,0.054,,-8.9,1.1,-7.8
14,Stephen Boateng,1,0,1,96.4,0.513,0,0,2,2,0,100,100,0,0,0,0,97.7,,0,0,0,1.033,,-2.2,12.2,10
15,James Carey,10,0,19,6.6,0.593,0.375,0.5,1,7,0,23.9,12,16.2,0,0,40.4,26.1,,0,0,0,0.03,,-7.6,-2.6,-10.2
