Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jarrod Uthoff,33,33,1016,28,0.559,0.515,0.355,0.308,539,5.1,16.7,11,7.6,1.8,9,6.4,29.1,,3.4,2,5.4,0.212,,5.1,5.1,10.2
2,Peter Jok,32,32,887,21.7,0.573,0.531,0.501,0.272,443,3.4,10,6.8,10.6,2.6,0.1,9.3,27.6,,2.6,1.3,3.9,0.176,,6.7,0.7,7.4
3,Adam Woodbury,33,33,836,17.4,0.587,0.55,0,0.526,276,13.2,21.6,17.5,6.1,1,1.3,17.1,15.3,,1.8,1.4,3.2,0.152,,2.2,3.2,5.5
4,Mike Gesell,33,33,987,15.3,0.483,0.427,0.198,0.401,350,1.8,9.4,5.6,35.3,2.6,0.5,19.1,17.1,,1.6,1.4,3,0.121,,1.9,2.3,4.2
5,Anthony Clemmons,33,33,976,13.2,0.511,0.49,0.351,0.347,315,1.6,7.9,4.8,21.7,1.9,0.7,14.8,17.2,,1.3,1.2,2.5,0.103,,2.3,2.1,4.5
6,Nicholas Baer,33,0,477,18.5,0.607,0.602,0.537,0.122,150,8.6,10.4,9.5,6.4,2.8,4.2,11.6,15.3,,1,0.8,1.9,0.156,,4.9,4.9,9.8
7,Dom Uhl,33,1,592,15,0.514,0.497,0.361,0.349,195,7,14.5,10.8,8.1,1.6,2.2,11.4,18.3,,0.8,0.9,1.7,0.118,,1.9,3,4.8
8,Ahmad Wagner,32,0,323,16.4,0.643,0.681,0.021,0.787,85,10.7,17,13.9,3.2,1.6,4.3,14.6,11.6,,0.7,0.6,1.2,0.152,,1.9,4.5,6.4
9,Brady Ellingson,27,0,247,10,0.57,0.557,0.721,0.164,65,0.9,6.8,3.9,8.6,1.2,0,14.3,15.4,,0.3,0.2,0.5,0.083,,2.1,0.1,2.2
10,Dale Jones,6,0,78,14.6,0.55,0.55,0.667,0,27,2.8,21.7,12.3,7.3,0.7,2.7,11.8,21.6,,0.1,0.1,0.2,0.118,,1.8,1.1,2.9
11,Christian Williams,20,0,101,10.5,0.418,0.357,0.214,0.321,31,9.7,8.4,9,10,2.3,0,15.7,18.8,,0,0.1,0.2,0.065,,-1,1.7,0.8
12,Okey Ukah,8,0,21,17.3,0.503,0.571,0,0.286,6,5.2,5,5.1,0,5.5,5.1,0,18.8,,0,0,0.1,0.132,,0.1,4.4,4.5
13,Andrew Fleming,12,0,80,6.9,0.449,0.432,0.545,0.455,27,2.7,9.2,6,23.7,0,1.3,25.2,22.2,,0,0.1,0,0.013,,-2.1,-0.5,-2.7
14,Michael Soukup,6,0,15,9.3,0.335,0.375,0.75,0.25,4,0,7,3.6,32.5,0,0,0,14.8,,0,0,0,0.071,,0.7,-3.1,-2.4
15,Steven Soukup,6,0,14,-6.1,0,0,0.5,0,1,0,30.2,15.3,10.5,0,0,0,14.2,,-0.1,0,0,-0.094,,-10.7,1.4,-9.2
