Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,DeAndre Kane,36,36,1240,22,0.561,0.532,0.251,0.566,662,4.4,16.4,10.7,30.8,2,0.8,16,25.6,,3.3,1.9,5.2,0.167,,5.4,3.5,8.9
2,Melvin Ejim,34,33,1093,23.2,0.591,0.555,0.291,0.365,566,9.1,18.7,14.1,10.8,2,2,13.2,26.3,,3,1.8,4.8,0.177,,5.1,2.9,8
3,Dustin Hogue,36,36,1077,20.1,0.632,0.615,0.244,0.546,401,9.4,20.4,15.1,5.7,1.5,1.8,9.8,16.6,,3,1.7,4.8,0.177,,4.6,3.1,7.7
4,Monte Morris,36,17,1013,14.5,0.57,0.508,0.385,0.402,287,2,7.6,4.9,20.4,2.5,0.7,11.6,11.6,,2.1,1.3,3.4,0.134,,3.6,2.9,6.6
5,Georges Niang,34,34,1025,19.3,0.548,0.526,0.314,0.222,541,3.7,11.9,8,23.6,1.1,2,13.7,28.5,,2.1,1.3,3.3,0.13,,4,1.7,5.7
6,Nazareth Mitrou-Long,36,7,731,12.1,0.598,0.593,0.804,0.141,221,2,6.2,4.2,9.2,0.5,0.4,7,15.2,,1.4,0.6,2,0.109,,4.7,-0.3,4.5
7,Matt Thomas,36,15,763,9.6,0.506,0.489,0.728,0.183,182,0.9,9.5,5.4,8.2,1.5,0.9,8,13.6,,0.7,0.9,1.5,0.08,,1.8,1.9,3.8
8,Daniel Edozie,24,2,138,12.6,0.58,0.6,0,0.8,27,8.2,20.3,14.5,2.2,0.8,5.6,8.8,8,,0.2,0.2,0.4,0.125,,-0.6,4.5,4
9,Percy Gibson,14,0,71,10.3,0.464,0.4,0.067,0.467,17,7.9,20.4,14.4,0,1.6,6.8,17.9,15.3,,0,0.1,0.1,0.076,,-5.6,2.4,-3.1
10,K.J. Bluford,7,0,38,9.2,0.432,0.432,0.818,0,17,3,0,1.4,14.6,1.5,0,4.3,29.5,,0,0,0,0.049,,2.9,-4.8,-1.9
11,Sherron Dorsey-Walker,20,0,114,5.3,0.403,0.365,0.577,0.308,29,4.9,6.4,5.7,12.1,2,1.7,25.1,17,,-0.1,0.1,0,0.006,,-2.6,2.1,-0.5
12,Tyler Ellerman,7,0,21,13.8,0.443,0.5,0,0.667,7,10.7,24.6,18,0,0,0,0,18.3,,0,0,0,0.094,,-4.5,-5,-9.6
