Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Tamin Lipsey,G,32,32,897.3,17,0.598,0.473,0.376,358,3.8,6.2,5,17.8,3.8,0.8,15.3,17.2,2.2,1.9,4.1,0.164,3.8,5.2,9,
2,Curtis Jones,G,32,9,978,20.7,0.565,0.523,0.293,497,1.9,14.7,8.6,15.1,2.2,0.6,8.1,27.2,2.9,1.9,4.7,0.194,6,2.7,8.7,
3,Joshua Jefferson,F,33,33,966,23.4,0.601,0.186,0.479,448,7.7,22.1,15.2,19.5,4.1,3,17.6,22.5,2.5,2.6,5.1,0.21,5.4,6.3,11.7,
4,Keshon Gilbert,G,29,28,-916,16.3,0.569,0.274,0.414,401,2.3,10.6,6.7,24.2,3.1,0.4,21.6,23.9,1.2,1.8,3,0.13,2,3.4,5.4,
5,Milan Momcilovic,F,26,25,707,14.2,0.584,0.614,0.185,251,2,11.8,7.1,6,0.8,1.2,8.3,19.7,1.4,1.1,2.5,0.142,3.4,1.3,4.7,
6,Nate Heise,G,33,5,700,11.8,0.595,0.512,0.19,155,4,13.6,9,7.6,3.5,0.5,16.5,11.4,0.8,1.5,2.3,0.129,1,5.2,6.2,
7,Dishon Jackson,C,33,31,622,22.7,0.626,0.006,0.788,285,13.2,19.2,16.3,6.6,1.6,6.9,13.7,21.3,1.9,1.4,3.4,0.216,2.9,3.6,6.6,
8,Brandton Chatfield,F,33,2,478,15.3,0.649,0.012,0.405,142,14.3,11.1,12.6,3.6,1.1,4.5,13,12.1,1.1,0.8,2,0.165,1.6,2.9,4.5,
9,Demarion Watson,G,17,0,156,14.4,0.514,0.44,0.6,40,12.2,19.3,15.9,4.1,1.8,8.4,13.5,12,0.2,0.4,0.6,0.153,1,4.3,5.4,
10,Nojus Indrusaitis,G,14,0,84,3.8,0.407,0.467,0.567,29,0,6.9,3.6,8.4,1.4,0,11.6,25.8,-0.1,0.1,0,0.019,-9,-0.6,-9.6,
11,Cade Kelderman,G,13,0,57,5.2,0.357,0.571,0,10,4.4,4.1,4.2,18.9,3,0,30,8.8,0,0.1,0.1,0.065,-3,2.7,-0.3,
12,JT Rock,C,8,0,19,13.8,0.667,0,0,4,6.7,18.3,12.7,0,0,6.3,0,7.9,0,0,0.1,0.147,0.5,2,2.6,
13,Kayden Fish,F,8,0,19,-3.4,0.303,0,0.5,3,6.7,12.2,9.5,0,0,0,28.8,18.4,-0.1,0,0,-0.074,-9.5,-2.6,-12,
14,Conrad Hawley,F,1,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0.034,-5.2,-1.8,-7.1,
,Team Totals,,33,33,6700,,0.585,0.369,0.385,,,,,,,,,,14.1,13.7,27.7,0.165,3.2,3.9,7.1,
