Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Darian Adams,30,30,1030,19.6,0.548,0.503,0.475,0.286,477,3.1,13.7,8.7,22,2.5,1.4,15.2,25.4,,2.5,1.7,4.2,0.163,,2.1,0.5,2.6
2,Demaree King,31,3,767,19.8,0.668,0.661,0.771,0.119,303,2.8,6.5,4.8,16.9,1.8,0,13.5,19.5,,2.5,0.8,3.3,0.175,,4.9,-0.6,4.3
3,Kayne Henry,31,31,815,17.9,0.589,0.562,0.438,0.341,289,9.1,15.1,12.3,6.3,1.5,2.3,13.1,18.5,,2,1.2,3.2,0.155,,1.1,-0.2,0.9
4,Jalen Finch,30,28,873,14.8,0.549,0.509,0.291,0.272,304,0.4,11.6,6.4,27.7,2.2,0.1,19.4,17.7,,1.7,1.2,2.9,0.133,,-1.3,0.4,-0.9
5,Jalen Gibbs,31,31,924,14.2,0.562,0.531,0.697,0.276,308,1.9,12.4,7.5,10.5,1.8,0.1,13,19,,1.7,1.2,2.9,0.127,,0.2,-0.3,-0.1
6,Brandon Huffman,31,31,597,22.3,0.636,0.648,0.006,0.447,233,7.7,26.3,17.6,2.2,1.2,6.6,17.2,22.8,,1.2,1.3,2.5,0.165,,-1.5,0.5,-1
7,Jay Pal,27,1,313,17.4,0.554,0.544,0.368,0.561,88,7.9,17.8,13.2,10.2,2.5,4.7,15.3,14.1,,0.6,0.6,1.2,0.148,,1,2.6,3.7
8,Maros Zeliznak,31,0,425,11.6,0.545,0.597,0.013,0.455,114,14.3,14.1,14.2,3.9,0.8,3.2,23.6,15,,0.3,0.6,0.9,0.086,,-3.9,-0.7,-4.6
9,Juwan Perdue,30,0,351,11.4,0.548,0.535,0.042,0.465,100,9.6,11.5,10.6,5.7,0.8,2.1,21,16.2,,0.3,0.4,0.8,0.087,,-2,-0.5,-2.4
10,Semaj Henderson,14,0,61,8.6,0.304,0.227,0.636,0.727,16,8.1,12.5,10.5,23.6,3.9,0,25.3,16.8,,0,0.1,0.1,0.046,,-12.1,-2.2,-14.3
11,Marcellus Brigham,11,0,43,7.8,0.432,0.417,0,0.333,13,8.7,20.3,14.9,8.6,0,2.9,22.3,21.6,,0,0.1,0,0.026,,-7.9,-2.4,-10.2
12,Tanguy Touze,7,0,16,11.6,1,1,1,0,4,0,0,0,0,0,0,25,13,,0,0,0,0.092,,-22.6,-4.3,-26.9
13,Caleb Byrd,13,0,60,1.5,0.371,0.357,0.381,0.19,15,2.1,14.6,8.7,3.1,4,0,28.2,27.6,,-0.2,0.1,-0.1,-0.086,,-11.3,-3.2,-14.5
