Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,T.J. Bickerstaff,34,33,795,28.5,0.628,0.622,0.014,0.556,449,12.9,27.1,20.2,13.9,2.5,1.9,13.5,25.5,,3,2.1,5,0.254,,4.2,1.5,5.6
2,Noah Freidel,34,34,1031,18,0.604,0.565,0.672,0.278,386,4.5,15.2,10,9,1.5,2.9,7.6,17.3,,2.9,2,5,0.192,,3.1,1.3,4.4
3,Terrence Edwards,34,34,1030,20.7,0.545,0.479,0.288,0.428,589,4.5,11.5,8.1,20.5,1.7,0.9,13.1,29.2,,2.8,1.9,4.7,0.182,,3.5,-0.1,3.4
4,Julien Wooden,34,34,849,17.3,0.637,0.617,0.481,0.218,302,4.2,9.9,7.1,8.2,2.1,2.4,11.4,16.9,,2.1,1.6,3.7,0.174,,2.2,1.2,3.4
5,Raekwon Horton,34,1,735,17.1,0.641,0.627,0.392,0.348,236,7.8,13.8,10.8,7.8,3.5,0.6,15.6,14.3,,1.6,1.6,3.2,0.176,,1.2,2.5,3.7
6,Jaylen Carey,34,0,506,25.7,0.672,0.697,0.125,0.421,230,11.7,19.8,15.8,9.4,2.4,2.1,9.4,19.2,,1.9,1.2,3.1,0.243,,3.7,1.5,5.2
7,Xavier Brown,34,15,708,13.7,0.479,0.454,0.575,0.242,227,1,12.4,6.8,15.7,4.1,1.2,9.8,17.4,,0.9,1.7,2.5,0.142,,-1.6,3.5,1.8
8,Michael Green,34,18,731,11.5,0.49,0.481,0.551,0.106,268,0.9,5.7,3.4,24.9,2.4,0.3,16.2,19.5,,0.8,1.3,2.1,0.113,,-2.1,0.1,-2
9,Bryant Randleman,33,1,299,9.6,0.469,0.48,0.137,0.314,62,0.4,6.9,3.7,13.9,3.7,2.1,15.8,11.2,,0.1,0.6,0.8,0.102,,-3.9,3.1,-0.9
10,Jerell Roberson,12,0,54,17.7,0.533,0.536,0.143,0.714,22,16.9,16.1,16.5,6,3.1,2,17.6,20.3,,0.1,0.1,0.2,0.159,,-6.2,-1.1,-7.3
11,Quincy Allen,8,0,-57,11.2,0.557,0.538,0.423,0.077,24,6,15.3,10.7,0,1,1.9,20.6,28.7,,0,0.1,0.1,0.067,,-4.8,-2.3,-7.2
12,Shane Feden,10,0,23,15.7,0.504,0.5,0.6,0.4,7,5,14.2,9.7,13.1,2.4,0,0,12.5,,0.1,0,0.1,0.17,,1.1,0,1.1
13,Hollman Smith,11,0,30,5.5,0.352,0.278,0.778,0.222,6,0,25.4,13,0,1.9,0,0,16,,0,0.1,0.1,0.076,,-12.4,-2.2,-14.6
14,Aidan Mckeon,6,0,11,18,1,1,0,0,3,20.8,0,10.1,13.8,0,9.7,50,8.8,,0,0,0,0.145,,-4.7,-2.5,-7.2
15,Jarrell Pope,8,0,17,-9.6,0.288,0.278,0.556,0.333,5,0,6.4,3.3,0,3.3,0,22.3,38,,-0.1,0,-0.1,-0.207,,-18.4,-6,-24.3
