Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Perry Ellis,38,38,1150,23.9,0.605,0.563,0.143,0.397,582,7.2,14.4,11.1,8.5,0.9,1.7,9.6,25.5,,4.1,1.9,6.1,0.211,,5.3,2.2,7.4
2,Frank Mason,38,38,1272,18.1,0.55,0.494,0.317,0.515,535,2.6,11.4,7.4,23.4,2.3,0.2,14.1,20.3,,3.3,2.2,5.5,0.174,,5.1,3.7,8.8
3,Devonte' Graham,38,36,1238,16.8,0.604,0.58,0.543,0.288,436,1.3,9.9,5.9,19.1,2.5,0.4,15.2,16.9,,2.9,2.2,5.1,0.164,,6.2,3.7,9.9
4,Wayne Selden,38,37,1134,17.9,0.576,0.566,0.474,0.291,494,3.3,9.5,6.6,16.3,1.4,1,13.5,23.1,,2.7,1.8,4.4,0.156,,5.6,2.3,7.8
5,Landen Lucas,36,19,664,20.4,0.658,0.643,0.009,0.774,230,15.4,25.9,21.1,5.3,1.4,4.2,19.5,14.7,,1.7,1.6,3.3,0.2,,3.9,5.6,9.6
6,Brannen Greene,30,1,371,19,0.747,0.708,0.75,0.595,143,1.3,17,9.8,11.4,1.4,0.3,20.6,18.3,,1.1,0.7,1.8,0.191,,6.7,2.1,8.8
7,Sviatoslav Mykhailiuk,35,0,449,15.7,0.584,0.574,0.617,0.168,173,3.3,8.3,6,12.7,1.5,1.2,13.9,20.8,,0.9,0.7,1.6,0.144,,4.8,1.5,6.4
8,Jamari Traylor,37,8,503,12.7,0.568,0.532,0,0.519,126,9.9,16.8,13.6,6,2.6,6.9,29.9,13.6,,0.2,1.2,1.5,0.117,,0.3,8.7,9.1
9,Carlton Bragg Jr.,38,0,338,19.4,0.588,0.579,0.061,0.158,144,13.6,18,16,9.7,2.4,2.2,19.1,22.4,,0.6,0.7,1.4,0.164,,2.7,4.3,7
10,Hunter Mickelson,26,11,201,21.3,0.472,0.439,0.018,0.281,70,12.4,20.8,16.9,10.2,3.7,12,9.8,17.8,,0.4,0.6,1,0.194,,1.4,11.9,13.3
11,Cheick Diallo,27,1,202,20.5,0.572,0.569,0,0.466,74,10.5,27,19.4,0.9,2,11.9,19.4,21.7,,0.2,0.6,0.8,0.159,,-2.7,6.9,4.2
12,Lagerald Vick,19,0,91,18,0.7,0.72,0.68,0.24,34,1.4,4.7,3.2,15.8,1.9,1.1,17.5,18.8,,0.2,0.1,0.4,0.16,,6.1,0.7,6.8
13,Evan Manning,15,1,37,12.8,0.75,0.75,1,0,7,0,11.6,6.2,4.3,6.2,0,25,10.8,,0,0.1,0.1,0.14,,4.8,6.3,11
14,Clay Young,9,0,20,5.9,0.69,1,0,4,3,0,16.1,8.6,0,0,0,25.6,9.7,,0,0,0,0.073,,-1.9,-0.1,-2.1
15,Tyler Self,14,0,30,-9.8,0.232,0.25,0.833,0.167,6,4.1,3.6,3.8,19.7,1.9,0,51.9,22.4,,-0.2,0,-0.1,-0.169,,-10,1.2,-8.7
