Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Dean Wade,32,32,1075,26.5,0.632,0.606,0.254,0.358,502,5,17.9,11.7,17.9,2.7,3.1,10.1,23.2,,3.9,1.8,5.7,0.214,,6.7,4.6,11.4
2,Barry Brown,33,33,1132,19.3,0.562,0.515,0.307,0.401,516,2.2,9,5.7,20.5,3.2,0.3,14.9,26,,2.3,1.5,3.8,0.135,,3.2,1.9,5.1
3,Xavier Sneed,33,33,1024,16.8,0.534,0.498,0.562,0.263,350,4.5,14.7,9.8,11.1,3,1.3,9.7,19.3,,1.8,1.6,3.4,0.132,,3.4,3.3,6.7
4,Makol Mawien,33,33,637,17.8,0.663,0.641,0.059,0.314,209,8.1,14.1,11.2,2.9,1.1,7,16.2,17.6,,1.3,0.9,2.2,0.14,,0.8,4,4.8
5,Cartier Diarra,33,18,776,11.8,0.607,0.574,0.444,0.325,242,3.2,8.6,6,16.3,1.8,0.3,25,17.9,,0.8,0.8,1.6,0.08,,1.2,1.3,2.5
6,Kamau Stokes,26,16,670,14.6,0.515,0.464,0.566,0.357,256,1.3,9.4,5.5,25.3,2.5,0,17.3,22.1,,0.8,0.8,1.6,0.096,,1.9,0.7,2.6
7,Amaad Wainright,32,0,435,11,0.509,0.513,0.462,0.256,96,6.8,13.9,10.5,6.9,2.6,1.1,14.6,12.6,,0.3,0.6,1,0.089,,0.4,3.2,3.6
8,Levi Stockard III,32,0,286,7.6,0.549,0.532,0,0.383,64,9,15.7,12.4,1.9,1,0.9,20.1,13,,0.2,0.3,0.5,0.074,,-2.5,0.7,-1.8
9,Mawdo Sallah,19,0,159,11.1,0.55,0.556,0,0.519,38,7.3,23.6,15.7,4.6,0.8,5.4,21.1,14.3,,0.1,0.3,0.3,0.086,,-3.5,4,0.5
10,Brian Patrick,24,0,202,5.4,0.438,0.426,0.851,0.043,43,3.2,6.6,4.9,8.7,1.5,0,11.1,14.3,,0,0.2,0.2,0.042,,-0.2,-0.1,-0.4
11,James Love,13,0,67,3.3,0.44,0.444,0,0.556,9,1.9,7.2,4.7,0,0.9,9.2,8.1,9.9,,0,0.1,0.1,0.044,,-5,4.8,-0.2
12,Pierson McAtee,9,0,19,14.7,0.808,0.75,0.75,0.5,7,0,12.8,6.6,9.8,0,0,28.8,19.6,,0,0,0.1,0.114,,2.1,-2,0.1
13,Nigel Shadd,8,0,50,7.8,0.455,0.375,0,0.5,12,18,21.8,20,0,0,0,23.3,13.8,,0,0.1,0.1,0.065,,-5.2,-3.9,-9.1
14,Kade Kinnamon,10,0,11,-4.8,0,0,1,0,1,0,0,0,14.1,0,11.2,0,14.6,,0,0,0,-0.143,,-10.4,1,-9.3
15,Mike McGuirl,8,0,64,6.1,0.364,0.3,0.467,0.4,17,4,11.4,7.8,18.8,0,1.9,14.4,17.4,,0,0.1,0,0.021,,-3.3,0.1,-3.1
16,Mason Schoen,10,0,18,-11.7,0,0,0.5,0,1,0,0,0,8.6,0,0,20,14.9,,-0.1,0,-0.1,-0.195,,-13.3,-3.3,-16.5
