Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Chris Youngblood,34,34,1064,20.7,0.614,0.575,0.545,0.324,464,5.2,12.6,8.9,11.7,1.9,1.4,9.8,21.4,,3.4,1.7,5.1,0.191,,3.5,-0.1,3.4
2,Terrell Burden,34,34,1022,18.7,0.561,0.526,0.213,0.505,475,1.6,10.5,6.1,27.8,3.2,1.4,19.2,25,,1.9,1.8,3.7,0.144,,0.5,0.9,1.4
3,Demond Robinson,34,31,778,23.2,0.562,0.542,0.058,0.464,363,11.5,18,14.8,7.4,2,4.7,10.4,24.3,,2.1,1.5,3.6,0.184,,1.5,0.4,1.9
4,Brandon Stroud,34,33,869,17.6,0.53,0.526,0.402,0.418,329,8.3,21.6,15,12.2,3.2,1.1,14,20.4,,1.4,1.9,3.2,0.149,,0,1.5,1.4
5,Kasen Jennings,32,18,766,10.6,0.558,0.522,0.614,0.272,196,1.2,7,4.1,11.8,2.2,1.2,14.8,13.8,,0.9,1.1,2,0.105,,-2,0.8,-1.3
6,Spencer Rodgers,34,16,878,9.8,0.48,0.465,0.643,0.127,223,1.1,13.7,7.4,14.2,2.1,0.8,15.4,15.4,,0.4,1.4,1.8,0.083,,-1.6,0.9,-0.8
7,Alex Peterson,31,3,436,14,0.568,0.57,0,0.336,137,5.7,17.9,11.8,9.7,1.7,2.2,18.4,17.7,,0.5,0.8,1.2,0.112,,-2.5,0.4,-2.1
8,Quincy Ademokoya,34,1,500,10.2,0.6,0.591,0.733,0.224,133,1.4,10.7,6.1,6.1,0.9,0.9,16.8,15.6,,0.5,0.6,1.1,0.091,,-0.8,-1.1,-1.9
9,Simeon Cottle,32,0,335,11.2,0.543,0.505,0.485,0.303,123,0.7,7.3,4,19.5,2.6,0.4,21.5,21.8,,0.2,0.5,0.7,0.089,,-3.8,-0.8,-4.6
10,Armani Harris,5,0,17,15.8,0.593,1.5,1,5,4,13.8,6.9,10.3,0,3.4,0,0,10,,0,0,0.1,0.126,,-5.5,-4.2,-9.7
11,Ahmad Johnson,5,0,28,18.3,0.618,0.5,0.375,0.875,13,4.2,16.6,10.5,6.5,2,0,15,24.1,,0.1,0,0.1,0.186,,-28.3,-2.9,-31.2
12,Cole LaRue,19,0,122,6.3,0.509,0.514,0.27,0.297,41,9.6,19.1,14.4,3.2,0.5,1,26.2,23.7,,-0.1,0.2,0.1,0.025,,-9.6,-1.8,-11.4
13,Matt Brown,6,0,12,3.2,0.339,0,1,1,2,0,48.6,24.4,0,0,0,25.3,16.7,,0,0,0,-0.004,,11,3.2,14.1
14,Eric Holland,6,0,12,2.5,0.169,0,0.5,1,1,0,38.8,19.5,12.7,4.8,0,25.3,16.7,,0,0,0,-0.029,,1.5,19.8,21.3
15,Yves Nkomba,9,0,25,11.1,0.341,0.333,0,1.5,8,9.4,18.6,14.1,6.9,2.3,14.2,16.3,24.8,,-0.1,0.1,0,0.018,,-8.5,-9.3,-17.8
16,Charle Stone,6,0,12,5.8,0.5,0.5,0.5,0,2,0,19.4,9.8,0,4.8,0,33.3,12.7,,0,0,0,0.029,,-18.4,-3.7,-22.1
