Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jimmy Hall,36,34,1172,28.6,0.567,0.523,0.039,0.366,681,13.2,22.6,17.7,17.6,1.5,4.4,14.7,28.2,,4,2,6.1,0.207,,3.5,3.2,6.6
2,Deon Edwin,36,30,1031,20.6,0.556,0.514,0.303,0.433,465,6.4,15,10.6,16,2.6,1.6,15,22.8,,2.6,1.6,4.1,0.161,,2.5,1.6,4.1
3,Jaylin Walker,34,21,1055,16,0.52,0.489,0.564,0.216,475,5.1,10.3,7.6,5.7,1.4,0,11.8,25.9,,2.1,1.1,3.1,0.119,,1.4,-2.8,-1.4
4,Jalen Avery,35,25,850,10.8,0.542,0.486,0.612,0.41,196,1.7,7,4.3,14.6,0.9,0,10.7,10.3,,1.5,0.7,2.1,0.101,,0.4,-1.1,-0.6
5,Desmond Ridenour,35,5,589,13.1,0.445,0.417,0.4,0.18,164,5.2,10.3,7.7,16.5,3.2,0.9,11.9,14.7,,0.7,0.8,1.5,0.104,,-0.4,1.6,1.3
6,Mitch Peterson,36,25,689,10.2,0.462,0.44,0.582,0.185,179,4.4,12.1,8.1,6.3,1.8,1.4,11.9,15.4,,0.5,0.9,1.4,0.081,,-1.5,0.3,-1.2
7,Kevin Zabo,36,9,650,8.9,0.476,0.439,0.489,0.247,203,1.5,6.9,4.1,15.7,2,0.2,17.2,18.5,,0.5,0.7,1.1,0.07,,-1.8,-1.3,-3.1
8,Danny Pippen,29,12,289,13.5,0.472,0.442,0.346,0.41,92,12,17.1,14.5,4.3,1.4,6.6,16.9,18.2,,0.2,0.5,0.7,0.096,,-2.9,2.1,-0.7
9,Adonis De La Rosa,36,15,477,10.2,0.457,0.413,0.009,0.706,143,11.7,18.6,15.1,4,1.1,5.8,24.1,18.8,,-0.1,0.8,0.6,0.053,,-6,2.1,-3.9
10,Alonzo Walker,28,2,309,9.7,0.533,0.54,0.12,0.46,70,11.3,12.7,12,2.2,1.6,2.4,24.7,12.3,,0.1,0.4,0.5,0.071,,-3,0.8,-2.2
11,Jerrelle DeBerry,11,0,109,18.2,0.639,0.595,0.757,0.297,45,3.9,8.3,6,1.7,1.6,0,12.4,20.7,,0.3,0.1,0.4,0.161,,2.8,-3.9,-1.1
12,Leo Edwards,18,1,80,10.3,0.392,0.409,0,0.091,19,11.9,14.1,12.9,0,2.1,4,8,14.6,,0,0.1,0.1,0.074,,-6,-1.1,-7.1
13,Jon Fleming,9,1,18,6.8,0.505,0.375,1,0.5,5,0,0,0,18,0,0,16.8,15.5,,0,0,0,0.075,,-2.2,-8.1,-10.3
14,Rosel Hurley,3,0,7,22.2,0.309,0.333,0.167,0.167,6,30.1,0,15.5,73.8,8.1,0,13.4,50,,0,0,0,0.034,,11.7,10.1,21.8
