Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tyler Ulis,35,35,1288,23.9,0.567,0.497,0.362,0.441,666,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,,5.4,1.7,7.1,0.221,,8.5,1,9.6
2,Jamal Murray,36,36,1267,22.7,0.59,0.559,0.515,0.283,649,4.9,11.2,8.2,12.1,1.6,0.9,12.1,27.1,,4.4,1.8,6.1,0.194,,8.1,1.1,9.1
3,Alex Poythress,31,23,732,21.3,0.643,0.619,0.116,0.515,284,8.8,19.2,14.3,2.5,1.5,2.8,13.1,19.2,,2.1,1.4,3.5,0.193,,4,2.2,6.2
4,Marcus Lee,36,20,785,18.9,0.638,0.68,0,0.413,229,13,17.5,15.4,2.4,0.9,7.3,16.3,13.5,,1.6,1.5,3.1,0.157,,3.2,5.4,8.6
5,Derek Willis,32,11,596,21.7,0.667,0.64,0.714,0.214,212,5.9,17.3,11.9,3.5,2.1,4,10.6,17.2,,1.9,1.2,3,0.204,,7.1,3.2,10.3
6,Isaiah Briscoe,34,33,1094,12.3,0.453,0.447,0.123,0.412,360,5.3,12.8,9.2,16.7,1.9,0.5,15.5,19.3,,0.8,1.7,2.5,0.091,,1.2,3.4,4.6
7,Skal Labissiere,36,18,567,18.5,0.54,0.516,0.011,0.326,214,7.3,14.6,11.1,3.6,0.9,10.3,13.1,22.1,,0.9,1.1,2,0.142,,-0.4,5.6,5.2
8,Dominique Hawkins,27,0,249,11.1,0.527,0.457,0.63,0.543,66,6.1,3.8,4.9,8.2,1.4,1.2,9.4,12.7,,0.5,0.3,0.7,0.12,,4.2,1.3,5.6
9,Charles Matthews,36,3,370,9,0.448,0.452,0.077,0.654,76,10.2,7.8,8.9,5.5,2.4,1.6,21.8,11.7,,0.1,0.5,0.6,0.069,,0.8,4,4.8
10,Isaac Humphries,23,1,210,10,0.447,0.39,0,0.366,49,11.2,18.2,14.9,1.5,0.6,7.6,17.2,13.7,,0.1,0.4,0.5,0.095,,-2.1,4.5,2.4
11,Mychal Mulder,24,0,90,8.9,0.286,0.25,0.6,0.1,20,11.8,21.3,16.8,13.4,0.7,0,8.7,12.6,,0,0.1,0.2,0.085,,0.8,2,2.9
12,Jonny David,10,0,11,-5.2,0.339,0,1,1,2,0,0,0,0,0,0,25.3,17.8,,0,0,0,-0.068,,-4.5,-2.4,-6.9
13,EJ Floreal,12,0,16,-1.4,0,0,0,2,1,7.4,33.2,21,0,0,0,33.9,9.1,,-0.1,0,0,-0.049,,-10.6,-1,-11.5
