Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Otega Oweh,G,33,33,927,22,0.579,0.19,0.474,490,4.1,13.5,9,10.8,3.1,2.1,9.6,26.7,2.6,1.2,3.8,0.164,4.4,3.1,7.5,
2,Koby Brea,G,33,13,908,16,0.637,0.698,0.117,317,1.3,11,6.3,7.8,1,1.2,5.1,16.6,2.3,0.7,3,0.131,5.8,1.3,7.1,
3,Andrew Carr,F,32,26,757,21,0.639,0.3,0.484,331,6.9,15,11.1,12.4,1.5,3.1,9.7,18.5,2.5,0.8,3.3,0.176,5.8,2.6,8.4,
4,Amari Williams,F,33,33,743,24.6,0.606,0.018,0.794,410,10.8,29.5,20.5,24.1,1.3,6.1,20.4,24.5,2.1,1.3,3.3,0.18,5.4,4.6,10,
5,Jaxson Robinson,G,24,24,674,16,0.569,0.642,0.148,277,2.5,10.7,6.8,10.6,1.1,1.8,7.4,21.3,1.4,0.5,2,0.117,4.6,0.9,5.5,
6,Lamont Butler,G,24,24,549.9,19.8,0.59,0.307,0.492,304,3.7,8.1,6,29,3.4,0.9,17.1,22.2,1.6,0.7,2.3,0.154,3.9,3.1,7,
7,Brandon Garrison,C,32,0,557,16.2,0.551,0.233,0.24,207,7.2,16.7,12.2,17.9,2.5,4,18.5,17.8,0.8,0.8,1.6,0.112,2.2,3.9,6.1,
8,Ansley Almonor,F,33,7,486,15.9,0.716,0.757,0.261,161,4.7,7.5,6.2,5,0.8,0.7,5.1,13.5,1.5,0.3,1.8,0.147,5.8,0.9,6.7,
9,Travis Perry,G,30,4,294,6.7,0.48,0.692,0.256,86,3.1,6.4,4.8,9.4,2.1,0.4,19.4,17.8,0,0.2,0.2,0.028,-1.2,0.9,-0.3,
10,Collin Chandler,G,27,0,268,6,0.466,0.651,0.19,68,2.1,8.6,5.5,11.3,3.1,0.8,25.1,16.5,-0.2,0.3,0.1,0.018,-3.7,2.6,-1.1,
11,Trent Noah,F,21,0,239,9.8,0.566,0.708,0.104,62,8.1,12.3,10.3,6.4,0.7,0.5,15.2,12,0.3,0.2,0.5,0.08,2.1,0.9,2.9,
12,Kerr Kriisa,G,9,1,157,12.4,0.432,0.884,0.163,59,4.4,10.7,7.7,32.7,1.4,1.4,16.3,17,0.2,0.1,0.3,0.089,2.5,1.9,4.4,
13,Walker Horn,G,4,0,4,8.9,,,,1,0,0,0,33.8,0,0,,0,0,0,0,0.095,2.8,0.7,3.5,
14,Grant Darbyshire,G,1,0,0,,,,,,,,,,,,,,0,0,0,,,,,
15,Zach Tow,F,1,0,0,,,,,,,,,,,,,,0,0,0,,,,,
,Team Totals,,33,33,6625,,0.592,0.417,0.359,,,,,,,,,,15.1,7.2,22.3,0.134,4.1,2.4,6.5,
