Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Dan Trist,33,32,892,29.2,0.612,0.576,0,0.353,519,11.4,19.5,15.7,12,0.8,2.8,13.9,33.1,,3.4,0.3,3.8,0.169,,2.1,-3.5,-1.4
2,Seth Hinrichs,33,33,1027,21.5,0.608,0.571,0.425,0.276,431,7,15.6,11.6,16.1,1.7,2.4,16.2,22.6,,2.9,0.4,3.3,0.128,,3.9,-1.5,2.4
3,Nick Lindner,31,31,994,19.9,0.614,0.547,0.286,0.498,430,1.7,6.2,4.1,30.6,1.2,0.2,16.4,20.7,,3.5,-0.2,3.3,0.133,,3.5,-5.4,-1.9
4,Joey Ptasinski,32,28,967,16.5,0.658,0.642,0.739,0.11,267,1.2,9.6,5.7,10.9,2.5,0.5,10.2,14.4,,2.4,0.2,2.5,0.105,,4.7,-2.4,2.3
5,Bryce Scott,33,29,954,14.6,0.565,0.539,0.586,0.223,281,2.9,10.9,7.1,14.8,2.1,0,12.9,16,,1.9,0.1,2,0.084,,2.6,-2.8,-0.2
6,Zach Rufer,33,2,478,14.2,0.637,0.632,0.625,0.236,108,3.9,11.2,7.8,12.2,2.7,0.9,10.1,10.2,,1.1,0.2,1.2,0.103,,3,-1.5,1.5
7,Matt Klinewski,33,1,296,14.1,0.497,0.465,0.012,0.407,104,12.2,12.9,12.5,3.9,1.7,4.5,15.6,22.4,,0.3,0.1,0.4,0.055,,-3.9,-2.7,-6.5
8,Michael Hoffman,32,1,278,9.2,0.502,0.489,0.404,0.17,53,4.8,15.4,10.4,6.1,0.7,2.8,13.6,11.6,,0.2,0,0.3,0.038,,-2,-2.2,-4.2
9,Nathaniel Musters,24,0,109,5.8,0.545,0.6,0,0.6,9,6.1,12,9.2,1.5,2.3,3,31.8,4.7,,0,0,0.1,0.025,,-2.5,0,-2.4
10,Jake Newman,13,0,35,10,0.521,1,0,8,6,3.8,17,10.8,9.1,0,0,0,7.5,,0.1,0,0.1,0.062,,-1.4,-3.7,-5.1
11,Monty Boykins,31,7,391,10.6,0.493,0.477,0.466,0.275,137,2.4,11.6,7.2,12.1,1.6,0.6,18.7,25.4,,0,0,0,0.004,,-3.2,-4.8,-8
12,Billy Murphy,10,0,17,15.3,0.5,0.5,0.625,0,7,0,7,3.7,12.2,3.6,0,11.1,28.9,,0,0,0,0.038,,-0.4,-6.1,-6.5
13,Alan Flannigan,18,1,61,2.8,0.377,0.321,0.429,0.286,13,2.2,19.5,11.3,8.3,0,1.8,20.1,17.8,,-0.1,0,-0.1,-0.041,,-7.3,-4.1,-11.3
14,Ben Freeland,20,0,66,2.9,0.368,0.353,0,0.588,18,10.1,12.6,11.4,5.3,0.9,0,15.5,21.3,,-0.1,0,-0.1,-0.036,,-7.6,-5.6,-13.1
15,Eric Stafford,16,0,60,4.9,0.455,0.455,0.545,0,14,11.1,6,8.4,11.3,2.1,5.5,42.1,17.3,,-0.1,0,-0.1,-0.05,,-4.8,0,-4.8
