Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Scottie James,34,33,845,31,0.705,0.693,0.094,0.524,440,15.8,27.9,22.2,9.7,0.8,2.5,15,24.2,,4.1,2,6.1,0.29,,4.7,0.8,5.5
2,Lovell Cabbil,33,32,986,18.9,0.64,0.59,0.44,0.4,377,2,12.6,7.6,16.5,2.7,0.7,19.5,20.5,,2.4,2.2,4.5,0.184,,2.1,1.4,3.5
3,Caleb Homesley,34,25,936,20.4,0.539,0.529,0.449,0.108,401,2.4,21.8,12.6,20.1,1.6,2.9,11,25,,2,2.2,4.3,0.182,,0.8,2.1,2.9
4,Georgie Pacheco-Ortiz,34,33,859,15.2,0.645,0.607,0.548,0.286,248,0.8,6.8,4,15.3,1.8,0.6,14,14.2,,2.1,1.5,3.6,0.166,,2,-0.2,1.8
5,Elijah Cuffee,34,34,895,13.1,0.616,0.59,0.635,0.185,258,1,8,4.7,12.6,1.8,2.1,17.8,16.2,,1.4,1.7,3.2,0.141,,1,0.9,1.8
6,Darius McGhee,34,0,729,16.1,0.517,0.498,0.727,0.082,242,2,13.5,8.1,9.5,2.8,1.3,6.6,20.5,,1.2,1.6,2.8,0.154,,1,0.5,1.6
7,Keenan Gumbs,34,12,571,16.8,0.556,0.522,0.327,0.289,205,6.3,10.3,8.4,11.6,2.7,0.9,13.8,20.2,,1.1,1.2,2.3,0.162,,0.2,0.7,0.9
8,Myo Baxter-Bell,34,1,507,14.2,0.527,0.5,0.065,0.283,184,7.4,13.2,10.5,16.8,2.7,1.9,21.2,21.5,,0.5,1.2,1.7,0.136,,-2.6,2.3,-0.4
9,Keegan McDowell,30,0,321,9.8,0.614,0.604,0.687,0.045,75,1.3,7.8,4.7,7.6,0.8,0.4,16,13.9,,0.4,0.5,0.9,0.112,,-0.5,-1.4,-1.9
10,Zach Farquhar,22,0,84,11.5,0.587,0.563,0.938,0.25,19,0,11.4,6,7.9,0.7,1.5,5.3,12.3,,0.2,0.1,0.3,0.144,,0.5,-1.1,-0.6
11,Brendan Newton,23,0,66,21.8,0.583,0.684,0.053,0.842,31,18.3,12.7,15.3,6.3,0.9,9.3,20.8,27.9,,0.1,0.2,0.3,0.152,,-2.6,2.1,-0.5
