Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Colin Porter,G,34,34,1083,15.4,0.643,0.557,0.265,353.0,0.7,6.9,4.0,23.0,2.9,0.1,16.9,14.9,2.4,2.4,4.8,0.177,0.7,2.1,2.8,
2.0,Kaden Metheny,G,33,33,1056,14.8,0.584,0.718,0.155,395.0,0.7,9.3,5.4,11.5,1.6,0.0,10.6,21.9,1.6,2.1,3.7,0.14,1.5,0.1,1.6,
3.0,Zach Cleveland,F,31,31,993,16.7,0.51,0.06,0.532,433.0,6.0,16.5,11.7,28.7,1.3,3.4,18.9,22.6,1.5,2.4,3.9,0.156,0.5,2.7,3.2,
4.0,Jayvon Maughmer,F,34,32,981,13.4,0.56,0.543,0.162,286.0,3.3,14.0,9.1,9.3,2.0,1.6,12.8,16.9,1.0,2.3,3.3,0.134,-0.1,1.8,1.7,
5.0,Owen Aquino,F,34,34,841,19.2,0.613,0.1,0.448,328.0,8.0,18.2,13.5,15.7,1.8,4.8,17.0,19.0,1.9,2.2,4.1,0.197,0.2,3.3,3.5,
6.0,Taelon Peter,G,34,2,772,27.8,0.732,0.582,0.314,374.0,1.8,18.7,10.9,9.8,2.3,0.6,5.9,24.1,3.4,2.0,5.3,0.276,7.1,2.2,9.3,
7.0,Zander Yates,F,31,0,248,14.7,0.605,0.872,0.103,86.0,4.2,13.0,8.9,7.3,1.4,0.4,6.8,19.3,0.5,0.5,1.0,0.163,1.3,0.1,1.4,
8.0,Gabriel McKay,G,31,0,242,3.7,0.334,0.909,0.045,35.0,1.1,12.4,7.2,7.7,2.7,0.9,13.5,11.7,-0.3,0.6,0.3,0.055,-6.0,2.1,-3.9,
9.0,Isaiah Ihnen,F,11,4,198,27.2,0.651,0.456,0.228,95.0,9.2,18.5,14.2,5.4,3.0,1.6,7.4,26.0,0.6,0.5,1.2,0.238,4.3,0.8,5.1,
10.0,Brett Decker Jr.,G,26,0,175,20.8,0.641,0.681,0.333,91.0,1.5,7.6,4.8,11.3,0.0,0.6,9.7,28.8,0.6,0.3,0.8,0.191,0.9,-3.7,-2.7,
11.0,Curtis Blair III,G,14,0,86,19.7,0.611,0.423,0.346,36.0,10.6,15.5,13.2,4.3,2.8,0.0,9.0,21.1,0.2,0.2,0.4,0.207,-8.9,-1.7,-10.7,
12.0,Bryson Spell,F,12,0,57,17.1,0.85,0.4,0.0,15.0,6.8,21.4,14.7,6.2,0.0,3.7,16.7,11.5,0.1,0.1,0.3,0.193,-6.3,-0.3,-6.7,
13.0,Kai Yu,F,14,0,45,21.8,0.606,0.0,2.333,24.0,14.4,27.1,21.3,0.0,2.7,0.0,13.7,26.6,0.1,0.1,0.3,0.25,-7.5,-2.0,-9.5,
14.0,JC Shirer Jr.,G,8,0,42,4.7,0.25,0.5,0.0,7.0,6.2,13.2,10.0,11.2,1.4,0.0,11.1,11.7,0.0,0.1,0.1,0.049,-6.4,-0.7,-7.0,
15.0,Will Gibson,F,3,0,8,-14.5,0.202,0.0,0.5,2.0,16.2,27.7,22.4,0.0,0.0,0.0,16.8,40.5,-0.1,0.0,0.0,-0.25,-28.9,-9.4,-38.3,
,Team Totals,,34,34,6827,,0.602,0.485,0.293,,,,,,,,,,13.5,15.9,29.5,0.173,0.9,1.6,2.5,
