Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Garrison Mathews,32,31,974,25.8,0.629,0.573,0.516,0.559,623,4.5,15.4,10,11.6,1.5,1,11.1,29.7,,3.9,1.5,5.4,0.223,,5.6,-2,3.7
2,Rob Marberry,32,32,914,24.3,0.641,0.619,0.003,0.343,472,7.6,14.6,11.1,14.5,1.2,2.5,10.5,22.4,,3.2,1.4,4.6,0.203,,2.6,0.8,3.4
3,Eli Pepper,32,32,775,13.8,0.549,0.545,0.317,0.467,253,8.5,27.4,18,13.7,1.1,2.9,22.4,15.5,,0.7,1.5,2.2,0.115,,-2.1,2.8,0.7
4,Matt Rose,32,8,639,14.3,0.586,0.552,0.803,0.266,242,3.6,12.5,8.1,8.6,0.6,1,9.5,18.1,,1.4,0.8,2.2,0.137,,1.7,-2,-0.4
5,Michael Buckland,30,26,906,10.3,0.547,0.494,0.598,0.374,249,2.2,13.3,7.8,16.8,1.7,2.4,23.8,13.6,,0.6,1.5,2.1,0.093,,-1.6,1.9,0.4
6,Kenny Cooper,30,29,816,12.6,0.483,0.435,0.217,0.453,331,2.2,8,5.1,25.8,4,1.2,22.8,22.4,,0.1,1.6,1.6,0.08,,-3.5,1.3,-2.2
7,Aaron Korn,32,0,492,11.3,0.503,0.479,0.655,0.303,152,7.6,19.1,13.4,11.5,1.2,0.4,16,15.1,,0.5,0.8,1.3,0.102,,-1.3,-0.2,-1.4
8,George Brammeier,32,1,258,8.7,0.502,0.515,0,0.47,80,9.4,12.3,10.8,2.8,2.2,1.2,21.4,18.2,,0,0.4,0.4,0.06,,-6,-0.5,-6.5
9,Greg Jones,32,0,341,3.4,0.392,0.368,0.593,0.11,78,1.9,6.7,4.3,9.6,1.7,1.2,19.4,15.9,,-0.3,0.5,0.1,0.014,,-5.9,-0.8,-6.7
10,John Matt Merritt,12,0,53,10.2,0.618,0.625,0.5,0.167,15,4.2,6.2,5.2,9.8,1,0,13.4,12.9,,0.1,0.1,0.1,0.112,,-0.7,-2.3,-3
11,Asa Duvall,10,0,55,2.9,0.203,0.111,0.667,0.778,7,4,11.9,8,5.4,1.9,3.8,7.5,11.1,,-0.1,0.1,0,0.008,,-7.1,1.9,-5.2
12,Zach Flener,7,0,14,-0.1,0.5,0.5,0,0,2,0,0,0,11.5,0,0,33.3,9.8,,0,0,0,0.007,,-8.2,-4.9,-13.2
13,Andrew Fleming,31,1,263,3.6,0.406,0.33,0.396,0.516,98,5.9,10,7.9,11.6,1.2,0.4,23.1,25.6,,-0.4,0.4,-0.1,-0.014,,-8.1,-2.4,-10.5
