Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Jacob Ognacevic,F,34,34,1143,26.1,0.671,0.285,0.507,617.0,6.8,20.2,14.0,8.7,0.5,1.3,10.7,26.2,4.7,2.0,6.8,0.237,4.9,-1.1,3.9,
2.0,Will Pruitt,G,34,34,1095,18.8,0.584,0.427,0.366,451.0,4.2,15.9,10.5,14.6,1.6,1.1,9.8,20.5,2.9,2.0,4.9,0.178,1.8,0.0,1.8,
3.0,Joe Anderson,G,34,34,1091,20.1,0.617,0.596,0.163,423.0,0.3,11.5,6.3,22.2,4.3,0.7,13.4,19.1,2.6,2.4,5.0,0.184,2.5,3.1,5.6,
4.0,Gyasi Powell,G,34,34,1065,14.7,0.568,0.628,0.178,363.0,2.7,10.0,6.6,8.3,1.9,0.2,8.0,18.6,2.0,1.7,3.7,0.139,1.0,0.0,0.9,
5.0,Charlie Williams,F,34,16,551,14.7,0.558,0.576,0.079,198.0,3.8,9.7,7.0,18.0,1.5,3.4,13.6,18.9,0.9,1.0,1.9,0.136,0.2,1.0,1.2,
6.0,Miles White,G,34,0,464,9.7,0.497,0.772,0.196,106.0,4.6,12.9,9.1,6.6,2.0,2.0,10.7,12.8,0.4,0.9,1.3,0.108,-2.6,1.4,-1.2,
7.0,Grant Asman,C,28,5,409,10.3,0.502,0.5,0.413,112.0,6.7,11.0,9.0,10.9,1.9,3.4,20.1,15.4,0.2,0.8,1.0,0.096,-4.1,1.2,-2.9,
8.0,Dylan Faulkner,F,15,13,262,32.7,0.631,0.078,0.461,163.0,12.8,21.3,17.4,25.4,1.8,10.1,14.5,29.2,1.1,0.7,1.8,0.273,4.8,4.0,8.8,
9.0,Kellan Boylan,G,28,0,238,13.0,0.571,0.511,0.556,70.0,3.1,17.1,10.6,11.6,2.5,0.4,18.6,15.4,0.3,0.5,0.8,0.133,-3.6,1.0,-2.6,
10.0,Logan Suber,G,32,0,222,9.7,0.443,0.415,0.561,66.0,6.7,11.6,9.3,19.2,4.0,0.0,25.7,16.6,0.0,0.5,0.5,0.093,-6.4,1.8,-4.6,
11.0,Rylan Houck,F,21,0,110,12.6,0.435,0.143,0.143,33.0,4.5,20.5,13.1,22.0,1.1,1.9,14.3,16.7,0.1,0.2,0.3,0.1,-2.7,-0.2,-2.9,
12.0,Ross Candelino,G,20,0,108,18.5,0.589,0.684,0.105,42.0,5.8,13.9,10.1,5.2,2.2,2.0,7.0,20.9,0.2,0.2,0.5,0.168,-1.4,0.4,-1.0,
13.0,Jack Ingold,G,14,0,31,5.0,0.375,0.25,0.0,7.0,4.0,3.5,3.7,10.9,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.055,-11.1,-3.9,-15.0,
14.0,Zach Lamey,G,10,0,20,14.0,0.6,0.2,0.0,6.0,6.2,10.7,8.6,9.3,0.0,0.0,0.0,13.1,0.1,0.0,0.1,0.153,-8.2,0.0,-8.2,
15.0,Luke Carter,G,9,0,17,17.7,0.612,0.333,1.333,6.0,7.3,6.3,6.8,0.0,3.5,0.0,0.0,15.2,0.1,0.0,0.1,0.22,-4.4,0.5,-3.8,
,Team Totals,,34,34,6826,,0.593,0.472,0.306,,,,,,,,,,15.6,12.9,28.5,0.167,1.0,0.8,1.7,
