Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Aboubacar Traore,35,30,1079,21.9,0.572,0.529,0.081,0.728,481,9.5,19.7,14.6,26.2,2.8,5.4,19.9,19.9,,2.3,1.9,4.3,0.158,,2.6,2.3,4.8
2,Lassina Traore,34,33,1032,19,0.576,0.537,0.014,0.535,416,12.1,25.1,18.6,7.6,1.5,2,15.3,19.3,,2.1,1.6,3.7,0.143,,0.4,-1,-0.6
3,Jadon Jones,33,28,998,17,0.59,0.548,0.66,0.287,354,1.7,10.2,5.9,9.8,3.2,3.9,10.3,17.9,,2.1,1.4,3.5,0.141,,2,1.8,3.8
4,AJ George,35,17,979,15.4,0.591,0.553,0.118,0.395,342,4.8,11.4,8.1,9.4,1.4,2.2,14.5,17.5,,1.7,1,2.7,0.108,,0.9,-0.5,0.3
5,Marcus Tsohonis,30,26,872,19.2,0.5,0.447,0.28,0.359,501,3.6,8.4,6,21,2.5,0.7,9.6,31.9,,1.7,0.9,2.7,0.123,,2.6,-0.9,1.7
6,Amari Stroud,31,6,438,8.4,0.509,0.486,0.132,0.274,115,6,15.2,10.6,4,1.8,2.7,20,16,,0,0.6,0.6,0.053,,-6.1,-0.3,-6.4
7,Chayce Polynice,28,1,171,12.5,0.494,0.488,0.275,0.45,49,7.6,10.8,9.2,8,1.3,5.5,11,15,,0.2,0.2,0.4,0.087,,-2.7,-0.9,-3.6
8,Messiah Thompson,34,18,628,7.8,0.446,0.434,0.507,0.131,200,0.9,4.7,2.8,18.3,2,0,15.7,20,,-0.1,0.5,0.4,0.028,,-3.2,-1.9,-5.2
9,Jason Hart,23,1,156,7.8,0.469,0.375,0.375,0.563,46,6.3,8.4,7.3,16.6,1.1,0.8,21.3,15.5,,0.1,0.1,0.2,0.05,,-5.4,-1.1,-6.5
10,Varrick Lewis,30,0,177,9.1,0.433,0.409,0.714,0.104,61,3.7,5.5,4.6,4.1,3.1,0.7,9,23.5,,0,0.2,0.2,0.042,,-2.9,-0.9,-3.9
11,Isael Silva,35,14,445,5.9,0.401,0.384,0.323,0.202,100,2.7,6.9,4.8,15.8,2.1,1.1,19.3,14.2,,-0.2,0.4,0.2,0.021,,-5,-0.6,-5.7
12,Jeffrey Yan,10,1,23,15.5,0.504,0.5,0,0.333,8,23.6,9.5,16.6,0,0,0,12.6,16.2,,0,0,0.1,0.089,,2.8,-6.3,-3.4
13,Eli Djordjevic,5,0,22,3.3,0.119,0.143,0,0.429,4,19.8,34.7,27.2,7.1,0,0,0,18,,-0.1,0,0,-0.044,,2.2,-0.1,2.1
14,Maddox Monson,11,0,30,3.7,0.352,0.389,0.556,0.222,6,0,3.6,1.8,5.7,3.7,0,9.1,17.1,,0,0,0,-0.01,,-7.5,2,-5.5
