Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Walyn Napper,34,32,1109,17.5,0.501,0.48,0.212,0.296,518,4.1,10.5,7.2,28.7,2.9,1,16.3,26.1,,1.7,2,3.7,0.135,,0.4,0.2,0.6
2,Michael Christmas,34,34,929,17.2,0.553,0.512,0.313,0.336,364,7.8,19.3,13.3,6.2,1.1,0.9,12.2,21.2,,2,1.6,3.6,0.154,,1.5,-1.1,0.4
3,Szymon Zapala,34,24,569,28.4,0.646,0.636,0.014,0.531,304,15.1,25.2,20,4.9,0.7,6.3,15.8,26.8,,1.9,1.2,3.1,0.219,,2.5,-0.3,2.2
4,Johnathan Massie,33,17,834,17.2,0.479,0.425,0.327,0.464,365,4.8,20.4,12.4,14,2.8,2.1,11.9,26.2,,1.2,1.8,3,0.144,,0.2,1.1,1.3
5,Elijah Tucker,33,9,604,18.9,0.6,0.575,0,0.48,247,12.5,15.9,14.2,3,2,1.4,16.7,21.4,,1.3,1.1,2.4,0.159,,-1.3,-1,-2.3
6,D'Avian Houston,30,19,744,11.7,0.547,0.497,0.566,0.414,209,2.8,8,5.3,15.5,2.5,0.7,16.9,14.4,,1.1,1.2,2.3,0.125,,-2,1.3,-0.6
7,Jesper Granlund,34,34,923,8.1,0.482,0.436,0.596,0.404,181,4.2,6.2,5.2,9.7,1.3,1.1,11.1,10.1,,1,1.3,2.2,0.097,,-2.3,0,-2.3
8,Emanuel Richards,34,0,586,11.3,0.541,0.54,0.448,0.2,149,8.2,10.8,9.5,6,2.6,0.6,18,14,,0.6,1,1.6,0.109,,-1.8,0.3,-1.5
9,Johan Nziemi,29,1,198,24.1,0.592,0.556,0,0.759,89,18,24.6,21.2,4.9,1.8,0,9.8,20.2,,0.7,0.4,1.1,0.219,,2.8,-1,1.8
10,Saxby Sunderland,21,0,134,15.9,0.581,0.531,0.594,0.5,44,9.4,11.8,10.6,2.6,2.6,2.8,11.2,16.3,,0.3,0.3,0.6,0.17,,0.1,1.3,1.5
11,Leo Nordberg,15,0,93,11.3,0.641,0.647,0.765,0.118,25,6.2,9.2,7.6,14.9,1.9,2.7,21.8,12.1,,0.2,0.2,0.3,0.14,,-1.2,-0.2,-1.4
12,Jaylen Benard,15,0,134,5.9,0.45,0.403,0.639,0.167,32,0.9,18.2,9.3,5.1,1.3,0.9,15.3,16.8,,0,0.2,0.2,0.07,,-10.8,-0.3,-11.1
13,Mateo Esmeraldo,11,0,36,18.3,0.36,0.333,0.167,0.333,10,6.4,13.5,9.8,41.1,6.5,0,22.3,12.2,,0,0.1,0.1,0.144,,-6.9,1.3,-5.6
14,Trey Hicks,1,0,7,-7.3,0.333,0.333,0,0,2,0,34.8,16.9,0,0,0,25,28,,0,0,0,-0.102,,-21.3,-5.2,-26.5
