Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan Brown,32,32,1014,26.2,0.589,0.575,0.038,0.544,578,9.5,22.8,16.3,12.3,1.2,3.9,14.9,30.5,,3.1,1.7,4.8,0.191,,2.4,-0.2,2.3
2,Terence Lewis,33,33,765,28.1,0.656,0.618,0.021,0.336,353,13.8,24.8,19.5,8.5,2.1,0.9,9.2,19.8,,3.3,1.3,4.6,0.242,,6.3,-0.1,6.2
3,Greg Williams,33,33,974,19.9,0.62,0.589,0.526,0.47,386,3.5,10.3,7,8.1,2.2,1.7,8.6,19.6,,3.1,1.3,4.4,0.183,,4.4,0.8,5.2
4,Kentrell Garnett,33,32,919,10.1,0.609,0.587,0.789,0.187,192,0.9,7.7,4.4,4.9,1.9,0.3,10.9,11,,1.4,1,2.4,0.104,,-0.4,0.6,0.2
5,Themus Fulks,33,33,952,13.8,0.504,0.466,0.156,0.359,387,2.1,9.9,6.1,35.2,1.9,0.1,24.8,21.4,,1.1,1.1,2.3,0.095,,-1.1,-1.6,-2.7
6,Joe Charles,32,0,605,15.7,0.545,0.554,0.473,0.203,178,9.6,16.5,13.1,5.6,3.3,2.3,13.8,15.5,,0.9,1.1,2,0.135,,0,2.2,2.2
7,Jalen Dalcourt,33,1,530,11.8,0.514,0.494,0.601,0.156,176,3.3,6.8,5.1,8.5,1.9,1.1,11,19.7,,0.8,0.6,1.4,0.103,,0.1,-0.1,-0.1
8,Michael Thomas,27,0,340,10.8,0.466,0.392,0.443,0.38,109,2.9,7.9,5.5,23.9,2.7,0.3,23.1,17.8,,0.3,0.4,0.7,0.082,,-2.5,0.3,-2.1
9,Kobe Julien,21,0,200,14.4,0.492,0.472,0.535,0.183,77,8,7,7.5,11.5,2.3,2.5,11.5,21.8,,0.3,0.3,0.6,0.121,,1.4,0.3,1.8
10,Isaiah Richards,31,1,191,13.5,0.568,0.536,0,1.071,54,12.3,26.2,19.4,3.4,2.7,3.1,26.2,15,,0.2,0.4,0.6,0.118,,-4.3,0.9,-3.4
11,Vinny Sigona,5,0,33,12.4,0.583,0.583,0.75,0,12,0,3.5,1.8,11,0,0,7.7,19.7,,0.1,0,0.1,0.123,,18,1.7,19.7
12,Chancellor White,14,0,104,8.6,0.445,0.417,0.5,0.389,38,8.3,16.8,12.7,6.6,1.1,2.9,19,25.3,,0,0.1,0.1,0.044,,-6.4,-4.2,-10.6
