Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Elfrid Payton,35,34,1258,25.2,0.551,0.524,0.116,0.648,732,7.1,11.7,9.4,32.9,3.6,1.7,17.2,27.6,,3.7,1.9,5.6,0.177,,4.7,2.1,6.8
2,Shawn Long,34,32,999,29.7,0.582,0.558,0.17,0.389,575,13.4,26.6,19.9,4.2,1.3,9.2,11.9,29.1,,3.3,1.9,5.3,0.212,,1.3,1.4,2.7
3,Xavian Rimmer,35,24,947,13.2,0.623,0.573,0.644,0.434,291,1.9,8,4.9,10.6,1.5,0.1,13.9,14.3,,2.1,0.8,2.9,0.123,,2.9,-1.5,1.4
4,Bryant Mbamalu,23,21,669,14.8,0.522,0.5,0.383,0.323,267,6.8,9.9,8.3,8.3,1.6,0.3,12.3,21.8,,1.1,0.6,1.8,0.106,,1.1,-2,-0.9
5,Kasey Shepherd,20,1,338,22.1,0.711,0.667,0.485,0.333,145,2,14.2,8,14.4,4,0.6,20.2,20.1,,1,0.5,1.6,0.185,,4.3,0.5,4.8
6,J.J. Davenport,35,7,423,16.4,0.544,0.479,0,0.59,170,13.3,19.8,16.5,5.9,0.5,0.2,13.8,19.4,,0.9,0.5,1.4,0.134,,-1,-2.8,-3.8
7,Kevin Brown,35,13,732,8.5,0.474,0.445,0.608,0.265,188,1.7,7.4,4.5,9.3,2.5,0.3,13.9,15.3,,0.4,0.8,1.2,0.066,,-0.7,-0.8,-1.5
8,Elridge Moore,30,27,707,8,0.456,0.427,0.055,0.455,146,7.3,11.2,9.2,7.7,1.4,2.1,21.2,11.3,,0.2,0.8,0.9,0.054,,-2.3,1.4,-0.8
9,Steven Wronkoski,33,14,606,5.9,0.525,0.487,0.681,0.319,142,3.3,9.3,6.2,7,0.7,0,23.9,14,,0.1,0.5,0.6,0.039,,-1.6,-2,-3.6
10,Hayward Register,27,0,165,11.7,0.486,0.479,0.8,0.029,59,3.3,6.2,4.8,4.4,1.7,0,5.3,21.5,,0.3,0.1,0.4,0.098,,1.1,-4.8,-3.6
11,Vieux Kande,25,0,122,10.4,0.585,0.667,0,1.133,27,8.1,11.3,9.7,2.7,1.4,3.3,14.8,10.5,,0.1,0.1,0.3,0.095,,-1.4,0.3,-1.1
12,Braylon Lazare,12,1,56,24.4,0.559,0.55,0,0.25,29,23.7,10.2,17.1,18.1,3,1.8,11.8,21.4,,0.2,0.1,0.3,0.208,,5.8,0.9,6.7
13,Donovan Williams,12,1,45,21.7,0.587,0.531,0.563,0.25,20,7.4,7.6,7.5,8.3,2.5,2.2,5.3,19.8,,0.2,0.1,0.2,0.192,,4.5,-1.7,2.8
14,Aaron Leblanc,6,0,21,17,0.5,0.5,0,0,7,15.8,16.4,16.1,8.7,0,9.6,14.3,15.7,,0,0,0.1,0.116,,-1.6,2.9,1.3
15,Luka Kamber,12,0,61,4.6,0.365,0.3,0.6,0.2,8,3.6,22.5,12.9,0,2.8,1.7,26.8,11.6,,-0.1,0.1,0,0.015,,-7.4,-1.3,-8.7
