Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tari Eason,32,4,787,33.5,0.612,0.558,0.213,0.508,492,10.6,19.9,15.2,10.2,4.6,6.3,13.5,31.4,,3.3,2.5,5.8,0.295,,9,5.8,14.8
2,Darius Days,32,32,947,20.8,0.544,0.524,0.518,0.195,399,7.7,21.5,14.6,6.4,2.9,1.3,9,22.7,,2.4,2.5,4.9,0.208,,5,3.2,8.2
3,Brandon Murray,32,31,988,12.4,0.519,0.496,0.409,0.221,309,2.8,8,5.4,12.1,1.9,1,14.3,17.8,,1.2,1.8,3,0.122,,1.1,2.6,3.7
4,Eric Gaines,33,8,895,14.9,0.514,0.438,0.329,0.504,325,2.8,11.1,7,20.2,4.4,2.3,23.6,21.1,,0.6,2.3,2.9,0.13,,0.2,5.5,5.7
5,Mwani Wilkinson,33,29,794,9.9,0.564,0.567,0.543,0.171,135,5,8.9,6.9,6.4,2.9,4.1,20.9,8.8,,0.6,1.7,2.3,0.118,,0.1,5.3,5.4
6,Xavier Pinson,27,26,754,14.2,0.484,0.418,0.41,0.377,310,2.4,7.4,4.9,31.4,3.9,0,23,23.5,,0.6,1.7,2.2,0.119,,0.4,3,3.4
7,Efton Reid,33,33,651,12.7,0.526,0.53,0.108,0.145,198,8.6,16,12.3,4.9,1.5,5.5,18.5,18.1,,0.4,1.5,1.9,0.119,,-2.4,3.3,0.9
8,Alex Fudge,28,1,401,13.4,0.473,0.447,0.165,0.435,105,11.2,14.5,12.9,3.6,3.4,5.5,20.8,15.7,,0.1,1,1.2,0.115,,-0.4,4.3,3.9
9,Justice Williams,19,1,206,6.7,0.38,0.308,0.282,0.308,39,3.3,5.4,4.4,10.6,2.7,1.3,16.8,12.6,,0,0.4,0.4,0.069,,-1.2,4.3,3.2
10,Shareef O'Neal,13,0,124,10.1,0.525,0.532,0.226,0.484,38,10,16.2,13.1,1.6,0.9,5.5,25.4,20,,0,0.3,0.2,0.078,,-4,1.7,-2.3
11,Jerrell Colbert,4,0,27,10.9,0.25,0.25,0.25,0,4,8.3,12.4,10.4,12.1,4.2,15.2,20,9,,0,0.1,0.1,0.104,,-5.7,8.4,2.7
12,Parker Edwards,7,0,35,5.9,0.41,0.333,0.583,0.25,10,0,3.2,1.6,5.1,1.6,0,6.9,20,,0,0.1,0.1,0.073,,-6.1,0.5,-5.5
13,Bradley Ezewiro,7,0,29,14.1,0.428,0.4,0,0.6,11,15.5,7.7,11.6,0,0,4.7,7.2,23.1,,0,0,0.1,0.102,,-2.2,-1.6,-3.7
14,Adam Benhayoune,2,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.039,,0.1,0.5,0.6
15,Brandon Egemo,5,0,9,-11.8,0,0,1,2,0,0,0,0,0,6.3,0,33.9,15.9,,-0.1,0,0,-0.174,,-17.2,2.7,-14.5
16,Spencer Mays,2,0,2,-22.2,0,0,1,0,0,0,0,0,0,0,0,0,24.2,,0,0,0,-0.279,,-21.2,-8.2,-29.4
