Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Montrezl Harrell,35,35,1229,24.8,0.588,0.578,0.098,0.508,521,10,19.1,14.5,9.2,1.6,3.7,12.9,22.3,,3.6,3,6.6,0.214,,4.6,4.7,9.2
2,Terry Rozier,36,35,1260,22.1,0.509,0.457,0.301,0.338,591,3.8,13.9,8.8,19.7,3.5,0.5,11.6,27.8,,3,3,6,0.191,,4.7,3.7,8.4
3,Wayne Blackshear,36,36,1129,16.5,0.533,0.485,0.542,0.353,379,3.3,11.9,7.6,7.6,2,2,8.7,19.4,,2.4,2.4,4.8,0.17,,3.9,3,6.8
4,Chris Jones,26,24,807,19.7,0.496,0.444,0.382,0.405,361,4,10.3,7.1,25.1,4,0.1,14.3,26.6,,1.5,1.9,3.4,0.17,,4.7,3.4,8.1
5,Chinanu Onuaku,35,26,623,14.4,0.596,0.616,0,0.411,126,12.3,16.3,14.3,5.7,2.5,7.3,33.5,10.8,,0.3,1.7,2,0.129,,-0.2,8.7,8.5
6,Mangok Mathiang,34,9,635,12.6,0.416,0.388,0,0.675,123,13.9,13.9,13.9,4.5,1.8,7.9,19.7,10.6,,0.3,1.6,1.9,0.118,,-1,8.1,7.1
7,Quentin Snider,36,10,589,8.1,0.429,0.411,0.441,0.25,149,1.7,9.3,5.5,15.5,1.1,0.2,14.6,17.3,,0.1,1,1.1,0.076,,-1.1,0.9,-0.1
8,Anas Mahmoud,30,2,236,11.6,0.57,0.52,0,0.48,43,8,11.4,9.7,8.5,1,9.2,31.3,9.7,,0.1,0.5,0.7,0.112,,-1.6,8,6.4
9,Anton Gill,31,0,292,7.3,0.415,0.418,0.506,0.224,74,0.8,8.8,4.8,11.6,3.1,1.5,17.5,20,,-0.2,0.6,0.4,0.055,,-2.4,2.7,0.3
10,Jaylen Johnson,23,0,106,14.3,0.494,0.5,0.037,0.185,31,13.6,16.9,15.2,3.9,2.3,3.1,17,17.1,,0.1,0.3,0.4,0.136,,-1.2,3.4,2.2
11,David Levitch,21,1,101,9.4,0.52,0.4,0.667,1.133,26,4.4,2.2,3.3,10.5,2.4,0,17.8,14.2,,0.1,0.2,0.3,0.119,,1.5,1,2.5
12,Shaqquan Aaron,23,2,166,2.6,0.327,0.321,0.548,0.119,30,4,7.4,5.7,5.6,1.1,1.3,15.3,16.2,,-0.2,0.3,0.1,0.015,,-4,1.2,-2.8
13,Akoy Agau,3,0,11,-8.2,0,0,1,0,0,0,10.2,5.1,0,0,0,50,9.3,,0,0,0,-0.1,,-10.6,0.7,-9.9
14,Dillon Avare,8,0,27,0.2,0.311,0.2,0.8,0.6,4,4.1,12.4,8.2,0,0,0,13.5,14.1,,0,0,0,0.017,,-5.3,-2.5,-7.8
15,Trent Gilbert,4,0,16,8.2,0.5,0.5,0.833,0,6,6.9,7,7,26,0,0,25,25.6,,0,0,0,0.078,,1.9,-2.1,-0.2
16,Matz Stockman,4,0,22,15.8,0.336,0.4,0,0.4,5,10.1,45.7,27.8,8.8,5.5,19.7,33.5,20.8,,-0.1,0.1,0,0.084,,-10,18.4,8.4
